row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
0,Justice for Kith,B5hfPmp6yziYuLw7VbeZ5mge359H3Y8KhqyjN9M4pump,16.09%,99999%,99999%,,,9.9M,933.88,4152,41min,15.81%,0%,-,https://t.me/JusticeforKith,2024-11-22 02:22:39
1,CHILL STEVE,9yfTr7qNbbHHHKsecmSMwPZHU5ixNVzK1XpZY2Npump,36.41%,321%,7064.2%,726,455.9K,770.2K,231.1,4400,1h,4.32%,,-,https://t.me/CHILLESTEVE,2024-11-22 02:22:39
2,Mango Mango Mango,AR93GKHVzGKsY5MVUur8S9yq2KucVL62job4qsdhpump,48.65%,73.85%,261.3%,770,236.5K,1.7M,389,9625,22h,12.48%,0%,-,https://t.me/SolMango,2024-11-22 02:22:39
3,Before GTA 6,CQAjHrpdwSXkMAwwSf6XkKYi92LMXNAwzdvE3exhMKRx,225.8%,136.8%,180.8%,599,569.2K,16.2M,852.1,2320,1d,31.66%,,-,https://t.me/beforegtasix,2024-11-22 02:22:39
4,one unchill gal,7p2Rs9KkiWNKZkWNDFUCxG7EUBxbCByQC95fCNQ8pump,17.02%,33.07%,72.9%,165,88.8K,7.8M,963.56,5737,2d,14.42%,0%,-,https://t.me/galCTO,2024-11-22 02:22:39
5,Kappy,CEhFvMotKm3zucKUBEHVvTaxQ4e9QVPaAjSfkzFLpump,8.34%,104.1%,88.35%,97,41.2K,3.1M,528.75,2502,1d,22.7%,,-,https://t.me/kappybruh,2024-11-22 02:22:39
6,Stream until 100M MC,9eF4iX4BzeKnvJ7gSw5L725jk48zJw2m66NFxHHvpump,,,,1432,609.3K,1.1M,271.34,1959,20min,15.35%,,-,,2024-11-22 02:22:39
7,Stream until 100M MC,9eF4iX4BzeKnvJ7gSw5L725jk48zJw2m66NFxHHvpump,,,,1427,616.2K,1.1M,271.34,1959,20min,15.35%,,-,,2024-11-22 02:22:39
8,Chill Family,CSr7HhUyBxatPMuTqAs3Z33fwQ4dx8cNAArMert1pump,16.37%,98.07%,8378.7%,789,101.9K,1.3M,299.65,6210,1h,5.82%,,-,https://t.me/ChillFamilyGuy,2024-11-22 02:22:39
9,Zerebro Token,ESn52mvYR7Yo1XyUe1zJRqfe3VorGXwndFB14H93pump,,,,571,165.5K,1.5M,293.21,2354,2h,15.69%,0%,-,,2024-11-22 02:22:39
10,Cheshire Grin,7JofsgKgD3MerQDa7hEe4dfkY3c3nMnsThZzUuYyTFpE,28.68%,58.6%,111.4%,83,32.1K,4.7M,736.43,1747,8d,19.9%,0%,-,https://t.me/CheshireGrin_SOL,2024-11-22 02:22:39
11,Aiko,mdx5dxD754H8uGrz6Wc96tZfFjPqSgBvqUDbKycpump,16.71%,271.3%,3573.6%,187,91.3K,4.4M,651.35,2456,2d,20.76%,0%,-,,2024-11-22 02:22:39
12,LONG,2HUDMBsnctpkQo2fdf6Z4ECrXhAJbemJ4NJr4X9Spump,8.22%,34.37%,35.24%,35,8.8K,4.8M,668.31,1918,9d,15.77%,Buy More,-,https://t.me/thetickerislong,2024-11-22 02:22:39
13,CIA'S AI MASCOT,9gzA3kSZvB25YwHj4JPfcx473KyZ6ZQZA59D9BiGpump,8.37%,40.66%,109.1%,79,23.6K,6.6M,867.3,1654,4d,22.94%,0%,-,,2024-11-22 02:22:39
14,Human Dev,DdkF88EdocA3kAK1D1kvXYcNTL5LYefXx4HgY7P3pump,,,,2212,736.2K,1.3M,255.06,2622,24min,18.62%,1%,-,,2024-11-22 02:22:39
15,LET HIM COOK,CDgpSoqx7LVf8qTJe86JysqEX7W3VQpXrBwoY7VXpump,90.35%,99999%,99999%,,,7.6M,673.04,3286,17min,21.58%,3.04% Buy More,-,https://t.me/+IzldLu2uvBszZDhh,2024-11-22 02:22:39
16,AVA Chiang Mai Night Safari,H1vAwYTZkL2Bq8tpS5DhC4pPJjhMLviH2ScGjuePpump,13.85%,35.88%,122%,38,9.6K,1.9M,375.66,2536,1d,15.43%,0%,-,https://t.me/avactosol,2024-11-22 02:22:39
17,divinely protected,GcWVDkoaBWZYW7bBgqCHDiqAmfnwwPxvbusA3s77pump,,,,785,731.7K,2.6M,424.9,1953,5h,19.52%,0%,-,https://t.me/thedivinelyprotectedcoin,2024-11-22 02:22:39
18,Just a chill girl,2xB9bxTqabJWFB2RuPh99EwQLXukvLmttkwyQBLipump,1.52%,44.09%,171.6%,67,6.2K,800K,246.21,2119,1d,26.46%,0%,-,https://t.me/CHILLGIRLY,2024-11-22 02:22:39
19,Crime onchain,7M3gDRgozcumFsiTeXwjB8cYxpg7Q9R7rH7rkw2Fpump,0.57%,34.81%,78.83%,13,1.9K,3.8M,764.42,2409,9d,17.38%,1.54% Buy More,-,https://t.me/crimeonchain,2024-11-22 02:22:39
20,#memecoin,GKmhAJjgdShHZccuwQLRUBhCMHA6MghHorfp5uUfpump,,,,,,2.1M,411.24,2446,16min,13.88%,0%,-,,2024-11-22 02:22:39
21,Game is game,BeV4PdcZsNX2WgKgwFTTEgLEnAkbD9CGgxdcVzPHpump,30.18%,51.54%,166.4%,98,52.9K,2M,565.94,3313,9d,16.26%,1.46% Buy More,-,https://t.me/gameisgamecoin,2024-11-22 02:22:39
22,Ozempic,3u61JCqvY9cZT69XsX4kia5xP3CpC6AeiPFfHBSZpump,50.49%,211.5%,-35.21%,440,129.4K,1.2M,345.83,5288,23h,18.01%,0%,-,https://t.me/Ozempicdealers,2024-11-22 02:22:39
23,Chrystal,BgHqzJCeSREccnbHwfH5GvgxPTDaabYpvBhfeZRzpump,18.26%,91.94%,246.3%,63,45.8K,1.5M,419.17,2638,4d,20.04%,0%,-,https://t.me/ChrystalSolana,2024-11-22 02:22:39
24,EMOTIONAL DAMAGE,2rWYVYWYipvq6B5rCJm3PSaRsyS18d5zTnCHUD62pump,71.02%,4659%,9733.5%,229,99.9K,680.8K,229.12,1664,50min,21.74%,3.13%,-,,2024-11-22 02:22:39
25,EMOTIONAL DAMAGE,2rWYVYWYipvq6B5rCJm3PSaRsyS18d5zTnCHUD62pump,,,,232,99.3K,701.7K,229.12,1664,50min,21.74%,3.13%,-,,2024-11-22 02:22:39
26,Watashi Wa Star,SMX9s3Acc8haxyRHA364eSvFwNVEQSmAn19HBCXpump,,,,998,663K,2.9M,433.18,1980,24min,19.55%,1.76%,-,https://t.me/WatashiStarWa,2024-11-22 02:22:39
27,WHEN KNEE SURGERY IS TOMORROW,G4iW1MkMapQyJ7oUvQZ9HfLVMD3ziWkjDfYLk49epump,2.5%,102.2%,85.61%,71,23.1K,2M,430.63,1761,8d,19.07%,0.01%,-,https://t.me/KneeCtoSol,2024-11-22 02:22:39
28,Galaxy Gas,AQurQty75sBzr4k7tUvX6G3qHDd6Rtiz4BwzCgW7TP8X,50.06%,412.8%,250.4%,227,88.8K,1.4M,419.9,5151,76d,19.88%,0%,-,https://t.me/+IVtZeKokNGYyYjA1,2024-11-22 02:22:39
29,Homer Uchiha,C1SQapeS7oBbbcRj22MpXUtwcRSqBFFSHA7G12oGpump,29.19%,56%,101.2%,52,20.9K,3.6M,540.24,1578,2d,23.08%,0%,-,https://t.me/homeruchihasol,2024-11-22 02:22:39
30,DIDDY,5QQRKwnJsoy5MHbYvUe1zgtNUGhesQ5SErQvnAZgpump,53.31%,198.1%,1863.6%,1332,253.5K,2.3M,597.49,7800,43d,16.63%,0%,-,https://t.me/DiddyIsYourDadCTO,2024-11-22 02:22:39
31,GIGA PNUT,9fNdmReKKfEGic9RxzrB7Jvjg1aSNNfGfUWwEMi1pump,,,,417,109K,1.4M,318.34,5906,1h,5.65%,1%,-,https://t.me/gigapnutsol,2024-11-22 02:22:39
