Name,Symbol,Market Cap,Volume 24h,24h Change (%),Liquidity,Address,decimals,symbol,name,price,liquidity,uniqueWallet30m,uniqueWallet30mChangePercent,uniqueWallet1h,uniqueWallet1hChangePercent,uniqueWallet2h,uniqueWallet2hChangePercent,uniqueWallet4h,uniqueWallet4hChangePercent,uniqueWallet6h,uniqueWallet6hChangePercent,uniqueWallet8h,uniqueWallet8hChangePercent,uniqueWallet12h,uniqueWallet12hChangePercent,uniqueWallet24h,uniqueWallet24hChangePercent,realMc,holder,numberMarkets,coingeckoId,telegram,twitter,website,discord
popo,popo,503K,1.73Mil,631.9985015148692,196018.3887185712,6kJhG826LGowg7zG6PLd6tg7mqvVSdq2WzHhsfc7pump,6,popo,popo,0.0004859442270435,145669.6983661743,30,200.0,39,160.0,56,3.7037037037037033,101,-28.368794326241137,,,208,-38.82352941176471,,,927,1754.0,486K,2012,3,popo-2,https://t.me/poposolana_cto,https://twitter.com/poposolanacto,https://popo.baby/,
Solod The Buddy,BUDDY,537K,1.00Mil,-52.52473730206522,126768.55163211103,6AH9xWmRkjsKL3wnMTixhWrht6ZgCsngfUCwt8pDpump,6,BUDDY,Solod The Buddy,0.0004852604430547,128519.45721429057,18,12.5,29,-3.333333333333333,55,61.76470588235294,82,-34.4,,,184,-12.38095238095238,,,598,36.84210526315789,485K,2842,5,solod-the-buddy,https://t.me/solod_portal,https://twitter.com/solod_diary,https://www.soloddiary.com/,
DEGEN TAYLOR,DEGEN,569K,35.78Mil,,126619.92652869348,ATEWnH7CyLUyDAYVnUS4jxBi243SWUnBmmpRf3QRpump,6,DEGEN,DEGEN TAYLOR,0.0005706026731202,128517.01974645116,122,10.909090909090908,228,-20.27972027972028,504,-29.411764705882355,1188,-45.3541858325667,,,3303,-35.00590318772137,,,8242,,571K,10970,2,,,,,
Omega,OMEGA,576K,4.34Mil,-38.22110901896976,134078.3586558308,FuVVu23hbFcXiiEM7ASp1CKY38DA3M7E626kGf7Upump,6,OMEGA,Omega,0.0005304734322409,123589.57876983631,52,36.84210526315789,83,50.90909090909091,128,15.315315315315312,219,-17.358490566037734,,,433,-52.62582056892779,,,2455,-3.0793525463876823,530K,2348,4,,,,,
Finance Wizard ,Wizard,577K,2.47Mil,1835.0021615228336,119344.3533411579,AU1rxhY276GepM4bm7VaYrgVPJW7tg4z2MtR2jfPpump,6,Wizard,Finance Wizard ,0.0005213566149159,150620.67559702235,35,-20.454545454545457,73,-20.65217391304348,144,-10.0,254,35.1063829787234,,,398,-57.341907824222936,,,1211,1536.4864864864865,516K,3992,1,finance-wizard,https://t.me/financewizardcto,https://twitter.com/financewizardio,https://financewizard.io/,https://discord.com/invite/titantrades
Shadow AI,SHADOAI,582K,1.49Mil,195.1488321217621,107460.05065293016,7VwxiPZeSYfQbQxqorGBctSyorPMJusrGDFkX5TFpump,6,SHADOAI,Shadow AI,0.0005879861672028,117089.16842044557,16,23.07692307692308,26,23.809523809523807,44,7.317073170731707,73,-37.60683760683761,,,171,-55.69948186528497,,,847,-38.97694524495677,588K,1245,4,,,,,
Lemonade Stand Duck,DUCK,583K,28.41Mil,,132874.48127372985,2ru7VX6NnaZ78znCtgGmYs2PdcAQRCr3UaPfRkDUpump,6,DUCK,Lemonade Stand Duck,0.0006471099978021,133919.389021616,987,-18.63149216817807,1946,11.967779056386652,3250,-20.499021526418787,6342,39.63011889035667,,,9141,-70.8011243851019,,,37845,,647K,6935,4,,,,,
Solaria Utopia,SOLARIA,587K,2.02Mil,101.8512152142191,113363.04938148808,H3c9RZhvCzxQSmLULh4RsJC8GuK9rVNV2bcoLhMQmoon,9,SOLARIA,Solaria Utopia,0.0005720344695274,113363.04938148808,10,-58.333333333333336,30,-28.57142857142857,65,-13.333333333333334,119,-56.56934306569343,,,341,-5.540166204986149,,,1032,-37.14981729598051,567K,817,4,,,,,
Eaten by a Pelican,PELICAN,598K,21.25Mil,202.95248744015683,113304.55260114024,SWKT3Sksvtcepkn7MRn74WPUNH1Lo8H25MAogVepump,6,PELICAN,Eaten by a Pelican,0.0004568995022265,104803.78265636408,112,-17.647058823529413,214,-6.140350877192982,380,-16.299559471365637,691,79.94791666666666,,,941,-31.112737920937043,,,7957,1362.6838235294117,457K,1838,6,,,,,
Goatse Forest Rave,GFR,604K,6.47Mil,,106046.1976053031,FN9tn6JQzegrUuHx7CyXyNsiSBZkRyoaHZuKF1Smpump,6,GFR,Goatse Forest Rave,0.0005924931517903,107509.60542222978,180,-38.775510204081634,403,-13.704496788008566,691,1.4684287812041117,1087,163.83495145631068,,,1302,-44.783715012722645,,,3262,,592K,1151,5,,,,,
