Token Name,Token Address,5min Change,1hr Change,6hr Change,5min Transactions,5min Volume,Market Cap,Liquidity (SOL),Total Holders,Time Since Open,Top 10 Holders %,Dev Holdings,Dev Tokens Burnt,Telegram Link,Timestamp
Moji The Explorer,CqnsQ2hLE5re9YqEjT11GDiT6YyaChV1BQmPhBA3pump,9.3%,41.68%,232.8%,0,$0,$20.1K,27.25 SOL,92,3h,29.75%,0%,-%,"https://t.me/US_GMGNBOT?start=CqnsQ2hLE5re9YqEjT11GDiT6YyaChV1BQmPhBA3pump, https://t.me/GMGN_sol_bot?start=CqnsQ2hLE5re9YqEjT11GDiT6YyaChV1BQmPhBA3pump, https://t.me/GMGN_sol02_bot?start=CqnsQ2hLE5re9YqEjT11GDiT6YyaChV1BQmPhBA3pump, https://t.me/GMGN_sol03_bot?start=CqnsQ2hLE5re9YqEjT11GDiT6YyaChV1BQmPhBA3pump, https://t.me/GMGN_sol04_bot?start=CqnsQ2hLE5re9YqEjT11GDiT6YyaChV1BQmPhBA3pump",2024-11-15 04:22:30 AM
goob,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,43.51%,104.8%,6947.8%,93,$21.7K,$389.9K,180.96 SOL,656,2h,23.72%,0%,-%,"https://t.me/US_GMGNBOT?start=74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump, https://t.me/GMGN_sol_bot?start=74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump, https://t.me/GMGN_sol02_bot?start=74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump, https://t.me/GMGN_sol03_bot?start=74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump, https://t.me/GMGN_sol04_bot?start=74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump",2024-11-15 04:22:30 AM
the top signaloooor,3WkhDD1fN17bG2m4W9ex85bmhuS6gJascV5RDMcApump,53.82%,12.69%,299.1%,16,$2.5K,$24.6K,28.64 SOL,40,59min,36.17%,0%,-%,"https://t.me/US_GMGNBOT?start=3WkhDD1fN17bG2m4W9ex85bmhuS6gJascV5RDMcApump, https://t.me/GMGN_sol_bot?start=3WkhDD1fN17bG2m4W9ex85bmhuS6gJascV5RDMcApump, https://t.me/GMGN_sol02_bot?start=3WkhDD1fN17bG2m4W9ex85bmhuS6gJascV5RDMcApump, https://t.me/GMGN_sol03_bot?start=3WkhDD1fN17bG2m4W9ex85bmhuS6gJascV5RDMcApump, https://t.me/GMGN_sol04_bot?start=3WkhDD1fN17bG2m4W9ex85bmhuS6gJascV5RDMcApump",2024-11-15 04:22:30 AM
TopProtocol,2icC5NjHcYjmwQjVc8fAhbR1hbu3w9reFGXi2Lxopump,124.9%,1445.9%,1445.9%,7,$23.6K,$181.4K,79.67 SOL,27,31min,78.99%,0%,-%,"https://t.me/US_GMGNBOT?start=2icC5NjHcYjmwQjVc8fAhbR1hbu3w9reFGXi2Lxopump, https://t.me/GMGN_sol_bot?start=2icC5NjHcYjmwQjVc8fAhbR1hbu3w9reFGXi2Lxopump, https://t.me/GMGN_sol02_bot?start=2icC5NjHcYjmwQjVc8fAhbR1hbu3w9reFGXi2Lxopump, https://t.me/GMGN_sol03_bot?start=2icC5NjHcYjmwQjVc8fAhbR1hbu3w9reFGXi2Lxopump, https://t.me/GMGN_sol04_bot?start=2icC5NjHcYjmwQjVc8fAhbR1hbu3w9reFGXi2Lxopump",2024-11-15 04:22:30 AM
GAY MASCOT,GLHuBtkyvkWRZrM9tZqsv6iktrXHMPDhEC7F4ANepump,28.34%,244.3%,244.3%,24,$2.7K,$20.8K,26.44 SOL,48,41min,23.96%,0%,-%,"https://t.me/US_GMGNBOT?start=GLHuBtkyvkWRZrM9tZqsv6iktrXHMPDhEC7F4ANepump, https://t.me/GMGN_sol_bot?start=GLHuBtkyvkWRZrM9tZqsv6iktrXHMPDhEC7F4ANepump, https://t.me/GMGN_sol02_bot?start=GLHuBtkyvkWRZrM9tZqsv6iktrXHMPDhEC7F4ANepump, https://t.me/GMGN_sol03_bot?start=GLHuBtkyvkWRZrM9tZqsv6iktrXHMPDhEC7F4ANepump, https://t.me/GMGN_sol04_bot?start=GLHuBtkyvkWRZrM9tZqsv6iktrXHMPDhEC7F4ANepump",2024-11-15 04:22:30 AM
Study conviction,7nVqEn9XabTLVs8q1xrZ2nC9bUEtAkSnGomkoNvdpump,419.1%,913.5%,1076.9%,110,$30.1K,$85K,67.08 SOL,85,1d,31.79%,0%,-%,"https://t.me/US_GMGNBOT?start=7nVqEn9XabTLVs8q1xrZ2nC9bUEtAkSnGomkoNvdpump, https://t.me/GMGN_sol_bot?start=7nVqEn9XabTLVs8q1xrZ2nC9bUEtAkSnGomkoNvdpump, https://t.me/GMGN_sol02_bot?start=7nVqEn9XabTLVs8q1xrZ2nC9bUEtAkSnGomkoNvdpump, https://t.me/GMGN_sol03_bot?start=7nVqEn9XabTLVs8q1xrZ2nC9bUEtAkSnGomkoNvdpump, https://t.me/GMGN_sol04_bot?start=7nVqEn9XabTLVs8q1xrZ2nC9bUEtAkSnGomkoNvdpump",2024-11-15 04:22:30 AM
Pumpfun Mascot,CmHCJAb8Zh9NjTgFDotS5xPF2HhvWYSp6ybRNBmQpump,213%,384.4%,363.5%,130,$17.8K,$28.9K,28.09 SOL,81,5h,36.26%,0%,-%,"https://t.me/US_GMGNBOT?start=CmHCJAb8Zh9NjTgFDotS5xPF2HhvWYSp6ybRNBmQpump, https://t.me/GMGN_sol_bot?start=CmHCJAb8Zh9NjTgFDotS5xPF2HhvWYSp6ybRNBmQpump, https://t.me/GMGN_sol02_bot?start=CmHCJAb8Zh9NjTgFDotS5xPF2HhvWYSp6ybRNBmQpump, https://t.me/GMGN_sol03_bot?start=CmHCJAb8Zh9NjTgFDotS5xPF2HhvWYSp6ybRNBmQpump, https://t.me/GMGN_sol04_bot?start=CmHCJAb8Zh9NjTgFDotS5xPF2HhvWYSp6ybRNBmQpump",2024-11-15 04:22:30 AM
Cost Cutting Manager,AHY1Vr38n2JhuHZLZVFYkZw7jsu7fL9tNmzAjBwGpump,86.98%,698.8%,698.8%,67,$8.4K,$49.2K,54.2 SOL,273,55min,24.73%,0%,-%,"https://t.me/US_GMGNBOT?start=AHY1Vr38n2JhuHZLZVFYkZw7jsu7fL9tNmzAjBwGpump, https://t.me/GMGN_sol_bot?start=AHY1Vr38n2JhuHZLZVFYkZw7jsu7fL9tNmzAjBwGpump, https://t.me/GMGN_sol02_bot?start=AHY1Vr38n2JhuHZLZVFYkZw7jsu7fL9tNmzAjBwGpump, https://t.me/GMGN_sol03_bot?start=AHY1Vr38n2JhuHZLZVFYkZw7jsu7fL9tNmzAjBwGpump, https://t.me/GMGN_sol04_bot?start=AHY1Vr38n2JhuHZLZVFYkZw7jsu7fL9tNmzAjBwGpump",2024-11-15 04:22:30 AM
Peanut the Doge,FzKq5Sd6XfgckbVbAZfBRPCBHAyuMxeJYiGWZetWAryk,0.39%,577.5%,577.5%,0,$0,$48.9K,56.76 SOL,66,0min,47.74%,0%,-%,"https://t.me/US_GMGNBOT?start=FzKq5Sd6XfgckbVbAZfBRPCBHAyuMxeJYiGWZetWAryk, https://t.me/GMGN_sol_bot?start=FzKq5Sd6XfgckbVbAZfBRPCBHAyuMxeJYiGWZetWAryk, https://t.me/GMGN_sol02_bot?start=FzKq5Sd6XfgckbVbAZfBRPCBHAyuMxeJYiGWZetWAryk, https://t.me/GMGN_sol03_bot?start=FzKq5Sd6XfgckbVbAZfBRPCBHAyuMxeJYiGWZetWAryk, https://t.me/GMGN_sol04_bot?start=FzKq5Sd6XfgckbVbAZfBRPCBHAyuMxeJYiGWZetWAryk",2024-11-15 04:22:30 AM
PWOG,EeFoBvweu2Y5sTXjR1ZXJBKEjS2HorcJquoKy5FYpump,13.55%,213.9%,213.9%,23,$1.6K,$19K,24.57 SOL,106,42min,30.16%,0%,-%,"https://t.me/US_GMGNBOT?start=EeFoBvweu2Y5sTXjR1ZXJBKEjS2HorcJquoKy5FYpump, https://t.me/GMGN_sol_bot?start=EeFoBvweu2Y5sTXjR1ZXJBKEjS2HorcJquoKy5FYpump, https://t.me/GMGN_sol02_bot?start=EeFoBvweu2Y5sTXjR1ZXJBKEjS2HorcJquoKy5FYpump, https://t.me/GMGN_sol03_bot?start=EeFoBvweu2Y5sTXjR1ZXJBKEjS2HorcJquoKy5FYpump, https://t.me/GMGN_sol04_bot?start=EeFoBvweu2Y5sTXjR1ZXJBKEjS2HorcJquoKy5FYpump",2024-11-15 04:22:30 AM
