row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,message_timestamp,timestamp
0,Justice for Kith,B5hfPmp6yziYuLw7VbeZ5mge359H3Y8KhqyjN9M4pump,16.09%,99999%,99999%,,,9.9M,933.88,4152,41min,15.81%,0%,-,https://t.me/JusticeforKith,2024-11-22 02:13:48,2024-11-22 06:00:33
1,Before GTA 6,CQAjHrpdwSXkMAwwSf6XkKYi92LMXNAwzdvE3exhMKRx,225.8%,136.8%,180.8%,599,569.2K,16.2M,852.1,2320,1d,31.66%,,-,https://t.me/beforegtasix,2024-11-21 20:31:52,2024-11-22 06:00:33
2,one unchill gal,7p2Rs9KkiWNKZkWNDFUCxG7EUBxbCByQC95fCNQ8pump,17.02%,33.07%,72.9%,165,88.8K,7.8M,963.56,5737,2d,14.42%,0%,-,https://t.me/galCTO,2024-11-21 20:15:15,2024-11-22 06:00:33
3,CIA'S AI MASCOT,9gzA3kSZvB25YwHj4JPfcx473KyZ6ZQZA59D9BiGpump,8.37%,40.66%,109.1%,79,23.6K,6.6M,867.3,1654,4d,22.94%,0%,-,,2024-11-21 08:18:11,2024-11-22 06:00:33
4,LET HIM COOK,CDgpSoqx7LVf8qTJe86JysqEX7W3VQpXrBwoY7VXpump,90.35%,99999%,99999%,,,7.6M,673.04,3286,17min,21.58%,3.04% Buy More,-,https://t.me/+IzldLu2uvBszZDhh,2024-11-21 07:11:54,2024-11-22 06:00:33
5,blob,92kxUXDsBQLy5ptGxtmH9CDYd5E6ZQynzf2eFPiUpump,9.33%,75.56%,286.4%,148,107.8K,5.3M,825.34,1823,15d,18.17%,0%,-,https://t.me/justablob,2024-11-20 13:26:23,2024-11-22 06:00:33
6,WINTER ARC,4j2gUEmfbSAacvSSd6yXo8yEzXCAUVeoXrqLVV3apump,15.71%,73.3%,1376.1%,915,223.2K,6.9M,990.41,8032,51d,14.2%,2.79%,-,https://t.me/winterarcsolana,2024-11-20 04:55:15,2024-11-22 06:00:33
7,I understand it now,C1ia2bYoa2V9sSGy9S5139nztQy6Uzz4gzYwuCkRpump,118.3%,244.2%,693.1%,228,315.3K,6.7M,702.89,2045,13d,17.81%,0%,-,https://t.me/understandonsol,2024-11-20 01:55:41,2024-11-22 06:00:33
8,Blobana pet,DgG9sM56ZcVidBV8bNArQPm93a2rmjzHkrrUntGSpump,24.23%,99999%,99999%,,,8.2M,927.03,3289,26min,16.05%,1.76%,-,https://t.me/blobana,2024-11-19 20:59:45,2024-11-22 06:00:33
9,we go higher,EHRZ7UTweF6uoeVWtKCRXatss9nwbSPDY1tPBt2fpump,57.21%,69%,61.73%,224,134K,5.9M,697.98,8564,10d,15.39%,0%,-,https://t.me/euphoricjoin,2024-11-19 20:39:46,2024-11-22 06:00:33
10,Naval AI,7wM4MnbsPsG95A3WhZgbrPWvMtydKmJjqKr2ZVJVpump,9.57%,17.28%,15.22%,463,965.9K,5.3M,874.56,4596,12d,19.69%,0.03% Sell Part,-,https://t.me/NavalMachine,2024-11-19 20:37:19,2024-11-22 06:00:33
11,Tensorium,HHoXk7WursT9DLBBhHzBWBbuQkfvvoNyHKpJi61mpump,25.67%,95.82%,75.42%,100,101.3K,8M,800.28,2659,3d,21.72%,6.23% Buy More,-,,2024-11-19 19:32:52,2024-11-22 06:00:33
12,Dogefather,EcYK2XNG4wWr2vDg2M2Hrts6SrU2QB4NzXLBf888pump,,,,,,7M,687.59,5645,35min,13.23%,0%,-,https://t.me/Dogefathersols,2024-11-19 06:29:50,2024-11-22 06:00:33
13,The Society Library,7wUwkXo8Qjt3cYM8BaHHHeyfDY7ZSn7qvod92pNupump,23.42%,39.65%,26.86%,32,38.2K,8.9M,958.46,1856,22d,22.01%,0%,-,https://t.me/sl_coin_portal,2024-11-19 05:34:52,2024-11-22 06:00:33
14,spencience,7hfP5T1rirsb1EhhLrRnsM8EN3FCaio7cmAwMdcypump,52.53%,142.6%,138.2%,204,141.4K,5.3M,738.37,2209,5d,16.25%,2.01% Buy More,-,,2024-11-19 02:47:22,2024-11-22 06:00:33
15,Crime onchain,7M3gDRgozcumFsiTeXwjB8cYxpg7Q9R7rH7rkw2Fpump,50.86%,26.9%,402.7%,196,60.5K,5.5M,900.54,2495,7d,16.86%,1.54% Buy More,-,https://t.me/crimeonchain,2024-11-19 00:19:57,2024-11-22 06:00:33
16,Arie The Sealion,4ZiYgt9nyPXvSfBWADGYHiWnTdnogrFgLTALdFWVpump,252.3%,266.6%,450.8%,,,18.9M,922.84,9213,9d,16.31%,0%,-,https://t.me/ariectosol,2024-11-18 20:03:02,2024-11-22 06:00:33
17,Dark PNUT | The Chronicles,5ztN73tntZbv7JC6ZzmEfXmzaUvJm6UEgNjzEfTtpump,17.78%,120.1%,295.8%,189,238.4K,10.3M,918.5,2903,1d,15.96%,0.71%,-,,2024-11-18 18:41:48,2024-11-22 06:00:33
18,Trump Official Dance Move,QcNnhASrCxLpkqndMvLJmBu8HAkdViZzdipBAoypump,13.77%,27.23%,183.3%,49,28.2K,5.3M,668.54,1843,6d,19.06%,0%,-,https://t.me/SHIMMYCTO,2024-11-18 12:44:57,2024-11-22 06:00:33
19,ZOA AI,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,3.75%,31.61%,26.06%,60,52.2K,5.2M,858.31,2292,21d,18.56%,2.46%,-,http://t.me/ZOAAIBUNNYGIRL,2024-11-18 11:18:45,2024-11-22 06:00:33
20,DeSci,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,67.15%,250.1%,262%,1151,762.1K,7.9M,798.6,7102,1d,10.44%,0%,-,https://t.me/DeSci_Real_CTO,2024-11-17 20:14:07,2024-11-22 06:00:33
21,Just a chill guy,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,22.14%,64.88%,164.7%,77,56.6K,6.5M,719.7,2411,1d,17.76%,0%,-,,2024-11-17 18:55:22,2024-11-22 06:00:33
22,Ropirito,CtaVq7fp5xwYFenGQypqdK97LJhTD72GgRsY8e4Npump,5.77%,19.84%,21.86%,32,23.9K,7.1M,986.2,3732,5d,13%,0%,-,,2024-11-17 16:06:54,2024-11-22 06:00:33
23,The Society Library,7wUwkXo8Qjt3cYM8BaHHHeyfDY7ZSn7qvod92pNupump,0.93%,21.78%,135.4%,72,15.4K,6.9M,917.64,1771,20d,22.37%,0%,-,https://t.me/sl_coin_portal,2024-11-17 15:15:51,2024-11-22 06:00:33
24,MineTard AI,42yzLyxGDjD5RFFQFYNVy7Pzubz6QPCK7HFK52f1pump,49.72%,63.41%,276.8%,113,104.2K,6.3M,650.98,2230,4d,18.13%,1.76%,-,,2024-11-17 11:40:53,2024-11-22 06:00:33
25,fur-nancial advisor,DQc6FTgu2HiB1PMUkHj8SATCtxsCeeMz5hiaqwk1pump,,,,,,5.5M,576.97,4185,32min,16.48%,0%,-,,2024-11-17 10:35:03,2024-11-22 06:00:33
26,BOSSU,5h5YCbybHMpVj378FrxrypY9eXKoy92Vpw9xyru1pump,94.85%,63.23%,244.2%,209,102.3K,5M,855.78,3222,4d,15.07%,1.18% Buy More,-,https://t.me/bossuportal,2024-11-17 03:00:45,2024-11-22 06:00:33
27,hop cat,ECZxKmKGEkyKhYUau7WkUE1L9Jp2yLebwX4SnKc1pump,27.14%,71.47%,10.46%,96,109.3K,5M,689.02,2469,10d,19.52%,0%,-,https://t.me/hopcatctoxoxo,2024-11-22 06:03:29,2024-11-22 06:00:33
28,WHAT IF WE ALL HOLD,BDhAFmRfBku6h6R8ePC3Br67HHeqbMnNQydQaHKDzgLq,,,,742,585.3K,5.4M,711.08,4807,1h,17.62%,0%,-,,2024-11-22 08:13:10,2024-11-22 06:00:33
29,XENOMORPH,J5LugyRpwHi4TYB16UYWpDuSx6z5zsuJ7pMjU95Cpump,,,,379,239.2K,5.1M,626.78,3899,2h,18.67%,0%,-,https://t.me/XENOMORPH_SOL,2024-11-22 09:34:53,2024-11-22 06:00:33
