row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,message_timestamp,timestamp
0,Justice for Kith,B5hfPmp6yziYuLw7VbeZ5mge359H3Y8KhqyjN9M4pump,16.09%,99999%,99999%,,,9.9M,933.88,4152,41min,15.81%,0%,-,https://t.me/JusticeforKith,2024-11-22 02:13:48,2024-11-22 02:57:31
1,CHILL STEVE,9yfTr7qNbbHHHKsecmSMwPZHU5ixNVzK1XpZY2Npump,36.41%,321%,7064.2%,726,455.9K,770.2K,231.1,4400,1h,4.32%,,-,https://t.me/CHILLESTEVE,2024-11-22 00:53:44,2024-11-22 02:57:31
2,Mango Mango Mango,AR93GKHVzGKsY5MVUur8S9yq2KucVL62job4qsdhpump,48.65%,73.85%,261.3%,770,236.5K,1.7M,389,9625,22h,12.48%,0%,-,https://t.me/SolMango,2024-11-21 22:59:54,2024-11-22 02:57:31
3,Before GTA 6,CQAjHrpdwSXkMAwwSf6XkKYi92LMXNAwzdvE3exhMKRx,225.8%,136.8%,180.8%,599,569.2K,16.2M,852.1,2320,1d,31.66%,,-,https://t.me/beforegtasix,2024-11-21 20:31:52,2024-11-22 02:57:31
4,one unchill gal,7p2Rs9KkiWNKZkWNDFUCxG7EUBxbCByQC95fCNQ8pump,17.02%,33.07%,72.9%,165,88.8K,7.8M,963.56,5737,2d,14.42%,0%,-,https://t.me/galCTO,2024-11-21 20:15:15,2024-11-22 02:57:31
5,Kappy,CEhFvMotKm3zucKUBEHVvTaxQ4e9QVPaAjSfkzFLpump,8.34%,104.1%,88.35%,97,41.2K,3.1M,528.75,2502,1d,22.7%,,-,https://t.me/kappybruh,2024-11-21 16:48:19,2024-11-22 02:57:31
6,Stream until 100M MC,9eF4iX4BzeKnvJ7gSw5L725jk48zJw2m66NFxHHvpump,,,,1432,609.3K,1.1M,271.34,1959,20min,15.35%,,-,,2024-11-21 16:18:45,2024-11-22 02:57:31
7,Stream until 100M MC,9eF4iX4BzeKnvJ7gSw5L725jk48zJw2m66NFxHHvpump,,,,1427,616.2K,1.1M,271.34,1959,20min,15.35%,,-,,2024-11-21 16:18:44,2024-11-22 02:57:31
8,Stream until 100M MC,9eF4iX4BzeKnvJ7gSw5L725jk48zJw2m66NFxHHvpump,,,,1427,616.2K,1.1M,271.34,1959,20min,15.35%,,-,,2024-11-21 16:18:43,2024-11-22 02:57:31
9,Chill Family,CSr7HhUyBxatPMuTqAs3Z33fwQ4dx8cNAArMert1pump,16.37%,98.07%,8378.7%,789,101.9K,1.3M,299.65,6210,1h,5.82%,,-,https://t.me/ChillFamilyGuy,2024-11-21 16:12:57,2024-11-22 02:57:31
10,Zerebro Token,ESn52mvYR7Yo1XyUe1zJRqfe3VorGXwndFB14H93pump,,,,571,165.5K,1.5M,293.21,2354,2h,15.69%,0%,-,,2024-11-21 15:53:33,2024-11-22 02:57:31
11,Meow Meow Meow Meow,AcJTj14wb9VjVtVrR7E7eoxeK4HayqZ9bPdNvkiEpump,90.73%,412.7%,412.4%,119,57.5K,3.2M,471.02,3079,1d,16.17%,0%,-,,2024-11-22 03:39:30,2024-11-22 02:57:31
12,pepeAI,2wqkw3idoEYFV8fyM54PvS5BYHieT8rAZqzdHg6aqZby,32.36%,25.82%,89.85%,33,40.8K,3.5M,518.55,2348,4d,22.44%,Sell Part,-,https://t.me/pepeaiagent,2024-11-22 05:00:33,2024-11-22 02:57:31
