row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
0,FURIJI,EHwxErsezo8uVY5TibATP3mdUi5bdJBoswQGmsASpump,315.6%,505.4%,505.4%,113,25.2K,42.5K,17.28,16,5min,35.92%,6.71%,-,,2024-11-17 23:17:02,32.4K,+416.7%
1,MANKAR,7rsk9aUkjMyt7TM9x6PpUoKpfg1McCYw2ne9nFyapump,281.3%,281.3%,281.3%,105,19.7K,25.9K,26.44,45,1min,34.02%,3.46%,-,,2024-11-17 23:17:02,19.1K,+281.3%
2,Havoc AI,8SxcU3doVBC1KhVhPT6Kxzyc9CGxfBLKJchWMWsvpump,626.9%,626.9%,626.9%,101,28.2K,49.5K,52.39,62,2min,3.46%,3.46%,-,,2024-11-17 23:17:02,42.8K,+628%
3,Let’s FUCKING GO,12c8CwouQ9xdGHaWWx6i3RG47nRXkwCxMmhkxhN3pump,427.4%,427.4%,427.4%,105,10.1K,38.2K,41.44,74,1min,27.5%,9.75%,-,,2024-11-17 23:17:02,30.2K,+417.7%
4,Hole,FgVRFC2oJFZHATGQSLc1MGtYLjRVdtVRd9srdwgJpump,1189.9%,1189.9%,1189.9%,131,57.6K,89.1K,22.25,80,1min,35.97%,4.95%,-,,2024-11-17 23:17:02,82.2K,+1189.9%
5,Havoc AI,8e1mHyvw23YLLi4YjCis9FatFrf9iMNy4sCEEZXYErTD,195.6%,667.5%,667.5%,311,68.6K,57.9K,60.9,143,6min,30.72%,9.31%,-,,2024-11-17 23:17:02,49K,+245%
6,Official Mascot of Hinduism,8hyd3wPvaZ746H2nXx9v7UWoHgEvsHZRxyH6cc1jpump,491.8%,491.8%,491.8%,104,10.7K,40.4K,44.1,165,2min,13.86%,0.05%,-,,2024-11-17 23:17:02,33.5K,+491.4%
7,SYPHER TERMINAL,8RgtuMXbgkXoQjPRF4ovCDobKvR57GYZcaLA9A2Cpump,550.3%,550.3%,550.3%,138,50.3K,43.8K,41.48,72,1min,41.99%,1.93%,-,,2024-11-17 23:17:02,53.8K,+800%
8,BONY DUCK,12UQ3hP2Bha6oEm7aXMkEwss2QBgRqwmD7VdYudTqGAy,291.6%,291.6%,291.6%,164,62.8K,30.9K,52.28,28,1min,10.89%,0%,-,,2024-11-17 23:17:02,33.8K,+427.3%
9,FIRST DOG PC VIRUS,8RVNpVcMHDLJTLVVURHjyFayaikWp5iqhT9YiArJpump,266%,266%,266%,113,32.8K,25.4K,21.95,56,1min,36.76%,0%,-,,2024-11-17 23:17:02,18.8K,+272%
10,Clicking Cat,FcXYY8k5eecKseYAT27LtDkw5B9cwbh8gHrEPmg7pump,263%,537.8%,537.8%,128,16K,46.1K,40.96,81,8min,32.2%,0%,-,,2024-11-17 23:17:02,29.5K,+232.3%
11,Bony,uRMRUBz9ptNVAXWU7mwH2vnYNstRhZxkzGj22wwpump,1105.7%,1105.7%,1105.7%,187,71.5K,82.7K,57.91,70,1min,39.8%,0%,-,,2024-11-17 23:17:02,17.2K,+251.1%
12,Magic 8-Ball,J2JpQKqMCJaKuqWJ27v3f9VG81bi4MAcxK6W37i9pump,313.2%,313.2%,313.2%,108,35.1K,56.7K,70.74,73,2min,59.95%,37.1% Sell Part,-,,2024-11-17 23:17:02,69.5K,+506.3%
