row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
0,21,4hT6V1Nzi537hD68ZgxQxQxvjSgE38EZ3hM5d2dsMAqm,563.6%,563.6%,563.6%,104,11.8K,45K,45.12,46,2min,38.44%,0%,-,,2024-11-21 03:38:15,34.2K,+503.4%
1,DIDDY IS FREE,8bm2x6KDi9NY1cTehkUM9eYzhn1ycTyQvSuw34PvxjA5,274.5%,274.5%,274.5%,139,55.5K,26.4K,42.3,67,1min,32.19%,0%,-,,2024-11-21 03:38:15,18.5K,+262.5%
2,Justice For Elvis,9ucubLH4FEqXUxmPzuybJ1DNf1yoyYpV69sbZDjY5xJT,59.94%,59.94%,59.94%,189,49.2K,11.3K,26.72,55,1min,23.57%,0%,-,,2024-11-21 03:38:15,14.3K,+202.7%
3,Enter The Pepetrix,2koVgeuwsGZJyTfnLvGH5p4PfdWhaFpCDEhx6YDGcfDF,820.2%,820.2%,820.2%,109,15.8K,63.3K,54.1,47,2min,44.73%,0%,-,,2024-11-21 03:38:15,50.9K,+740%
4,21,EzG93Y2AatLFaafrfyqYAkZVhcYNErXKFPTK3LKipump,779.5%,779.5%,779.5%,183,43.6K,59K,13.66,113,1min,35.25%,1.76%,-,,2024-11-21 03:38:15,29.1K,+433.7%
5,Trump Shuffle,C7qvXJCrJb3xsvGqaDH2AmtVc4urLAx21n2sNBXhpump,610.8%,610.8%,610.8%,323,12.4K,48.5K,49.32,234,1min,10.3%,0.07%,-,https://t.me/TrumpShuffle,2024-11-21 03:38:15,38.1K,+557.9%
6,Sumomo,HpdDZaTp9vk59suhBU6em2EuSgoxnEYzUog6DE3st2EZ,59.57%,59.57%,59.57%,135,29.8K,10.7K,36.57,35,56s,29.74%,1.76%,-,,2024-11-21 03:38:15,25.7K,+383.2%
7,Justice for Hamster,D9NNVbnFNLdrtE3s3JYwRVBBbBNMUADh1Yadzu1YvqVf,453.1%,453.1%,453.1%,105,50.6K,66.6K,65.15,101,3min,21.36%,0%,-,,2024-11-21 03:38:15,64K,+531%
8,Sumomo,E2KyK9NqUbXdgFtxZ1oGYW3zJ4zooBg9zJ5RZDWvNTYu,633.8%,633.8%,633.8%,121,13.4K,49.6K,48.58,51,2min,38.44%,0%,-,,2024-11-21 03:38:15,39.8K,+588.6%
9,PINKO,9QRwdmdcBn6NEdpGFRZWBvvqWCdBSfm1LqxrnFqhpump,499.8%,499.8%,499.8%,121,10.6K,40.9K,44.52,192,1min,14.7%,0.03%,-,https://t.me/+1kzHuHtnThAzZmIy,2024-11-21 03:38:15,34K,+498%
10,blep,8mBiMhEFKsgbLaZgEsf5ZF4DLCx45HHaTro6E8WnA3Jk,219.7%,219.7%,219.7%,176,24.2K,23.2K,21.87,75,4min,28.78%,0%,-,,2024-11-21 03:38:15,16.7K,+230.4%
11,Boomer,8Fb5ssHSiUQS8iXPE9WBgDHYSRWifncJfpsmpuJ9eyeW,233.2%,233.2%,233.2%,124,29K,23.3K,16.89,52,1min,37.07%,6.39%,-,,2024-11-21 03:38:15,16.3K,+233.2%
12,Vibe Dog,ErvCnobB3WQxJYrMwNBoj8ZKTrXLfYD6RdkjuBLT2bok,506%,506%,506%,114,11K,41.7K,44.94,141,2min,11.55%,0.18%,-,https://t.me/CTOvibedog,2024-11-21 03:38:15,34.8K,+505.5%
13,Belly Dance,VRm8cCB5tPHKKhXRo1CAA9uPSNT7nJCGW8MsFu5LTzH,840.2%,840.2%,840.2%,127,16.1K,66.5K,63.71,87,2min,51.13%,0%,-,,2024-11-21 03:38:15,58.3K,+823.6%
14,El Salvador Mascot,EkQwf4D2QSHPzX37vcsE3Far6XFd6piaD1hisbnopump,383.8%,383.8%,383.8%,122,28.5K,32.9K,32.94,71,1min,29.75%,0%,-,,2024-11-21 03:38:15,24.5K,+360.4%
15,🟦🟧🟥🟪🟩🟨,4jFHALPTXVixcCLYWkhWooKEWHYeCfL8SFpuJLCFpump,472%,472%,472%,135,10.1K,39K,40.73,133,49s,38.65%,3.46%,-,,2024-11-21 03:38:15,32.1K,+471.2%
16,Loose Screw Coin,ABgtKamVQzyWEG8wxNbazaYsfbSocETK95Fcq4mhpump,245.6%,302.4%,302.4%,132,13.2K,26.6K,19.81,19,18min,25.7%,0.07%,-,,2024-11-21 03:38:15,20.2K,+261.7%
17,El Salvador Mascot,HoEXaUbC6oY9SjNDEa7fk9FLi3QPbCw81QLAtkzGM9ye,641.3%,641.3%,641.3%,109,13.1K,50.2K,48.52,45,2min,38.44%,0%,-,,2024-11-21 03:38:15,42.6K,+629.3%
18,ApexLegends,Dtht14gqfUZGHCvUbEV81snnXbKLqUhdb3ZCDNM9pump,480.6%,480.6%,480.6%,111,10.2K,39.6K,43.35,186,1min,33.08%,1.23%,-,,2024-11-21 03:38:15,32.7K,+480.1%
19,UNEMPLOYED NIGGA,BJtjktQda9EiUkgm7k7Vahiuw9bb4j24Xq8VkSQupump,253%,253%,253%,247,63.8K,24.1K,30.77,138,1min,34.92%,0%,-,,2024-11-21 03:38:15,23.2K,+339.3%
20,Philb Chill Guy,8xpmig2ApL3MAnkn7NFDgNpVptqWtHEYaZASrcVGAaqr,230.9%,230.9%,230.9%,104,32.2K,29.8K,33.67,57,3min,49.66%,0%,-,,2024-11-21 03:38:15,21K,+233.4%
21,FIRST AI MADE FROM REAL RAT,6uezbSxb2UA5G7bpiz6zG49VftnNe3a9R8dtH1Xbpump,228%,228%,228%,108,30.1K,22.6K,25.36,45,3min,41.83%,0%,-,,2024-11-21 03:38:15,14.6K,+211.8%
22,Just a chill pepe,CQNoR8dXiAKU25RnhX1LDWMkYAPcj3jB2HiKAdVoZX83,187.1%,187.1%,187.1%,112,23.3K,19.9K,27.96,55,1min,32.53%,0%,-,,2024-11-21 03:38:15,18.6K,+268.1%
23,NOT GONNA LIE,HHMmLWVF16R49VgUMdyjep7ZeuA31WQZ7K2mw7WUHGgw,850.3%,850.3%,850.3%,138,16.7K,65.5K,50.25,50,2min,44.73%,0%,-,,2024-11-21 03:38:15,51K,+739.9%
24,Hank The Tank,3GrryxhaR1frPF28jAdXni7Fx98SNzr9JJFVGcY5pump,265.4%,265.4%,265.4%,133,47.5K,25K,17.72,46,46s,40.66%,0%,-,,2024-11-21 03:38:15,17.8K,+260.3%
25,Weed Guy,85ovDcgLP9P4u2Q9BbWCEcfu2hwQyascgDAH6DNepump,518.6%,518.6%,518.6%,126,11.3K,42.2K,43.89,198,49s,20.11%,0.06%,-,https://t.me/weedguyonsol,2024-11-21 03:38:15,35.3K,+517.8%
