name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
Goatseus Poppimus,2QS2usHangAzUTrH5EAboCX6HwEso95M5q26otpRpump,474.9%,474.9%,474.9%,100,9.6K,36.7K,42.91,128,1min,35.39%,3.21%,-,https://t.me/popgoatsol,2024-11-16 03:24:48,30.3K,+474.9%
Fetterman,6N6frQfziqy7RH6xEyZX9sSc5yh12F1bfb2urMDKpump,454.9%,454.9%,454.9%,109,27.8K,47.8K,57.62,51,3min,36.99%,5.26% Sell Part,-,,2024-11-16 03:24:48,35.8K,+416.2%
Mike Tysons Pigeon,D8h9xELSJdmjFSkpUEbzBnt4axQKjYyUXc4NAwMei5b7,424%,424%,424%,103,11.2K,33.1K,37.44,52,2min,37.55%,0%,-,,2024-11-16 03:24:48,26.8K,+424%
MikeTysonTrumpSonic10Inu,5VUm4QUGEk3fLBheAwRGEpCfq5BEoKZomiPFSh8epump,237.9%,237.9%,237.9%,102,15.4K,21.4K,28.95,55,1min,29.37%,0%,-,,2024-11-16 03:24:48,15.4K,+242.6%
ClosedAI,6otGxo7aqmaPiAfbjxLJoZYBqyM9wk7kFTweRMzspump,1123.2%,1123.2%,1123.2%,117,37.9K,75.7K,83.75,64,4min,34.14%,0.71%,-,,2024-11-16 03:24:48,69.9K,+1129.5%
Porbo,8RQYP1JiSh5fZDxBh1dtRPFhvSXhCBp9E7wxHHjgpump,423%,423%,423%,106,26.4K,33.6K,61.63,57,3min,23.59%,0%,-,,2024-11-16 03:24:48,25.4K,+395.9%
MIKE TYSON,3pmG8URDDNDrDzkt82WJ8XHcWk5EnDWZdDGQKUUTpump,233.4%,233.4%,233.4%,107,20.7K,21.2K,28.41,44,4min,31.44%,3.46%,-,https://t.me/PvTcoin,2024-11-16 03:24:48,15.6K,+245%
goob cto,74HDpi814E8Q84CYNZA2VDLdPgEuAmMoAkzEkUu6pump,322.1%,322.1%,322.1%,109,21.3K,26.3K,33.44,64,1min,32.5%,0.89%,-,https://t.me/goobportalcto,2024-11-16 03:24:48,19.7K,+317.3%
GetW,4dTea8Db38NxBcxkGBrkwkQnKk3zT4dox3zm6VAMpump,222.7%,275.5%,275.5%,121,34.8K,26.1K,29.64,47,13min,26.35%,0%,-,https://t.me/getwsol,2024-11-16 03:24:48,18K,+222.7%
MARS2026,G2Dvs4Bxd9NcqWqYn7sQHjhyFktqtSgC49zZbPq9pump,502.6%,502.6%,502.6%,115,13.2K,38.4K,44.07,180,1min,12.27%,0.04%,-,http://t.me/token_MARS2026,2024-11-16 03:24:48,31.2K,+490.1%
SUINAMI ($NAMI,AwNJsR3ZR3bt1HudViHE4XCWqvSG9wveAfKkcyEMpump,249.4%,249.4%,249.4%,217,28.2K,22.2K,20.36,46,1min,25.95%,0%,-,https://t.me/suinamionsui,2024-11-16 03:24:48,15.6K,+245.6%
Original Binance Logo,CYjoMkbWLu4EYbF6JXjV9L6jx9M4kTwieShBfcocpump,577.7%,577.7%,577.7%,133,67.3K,43.1K,34.93,65,47s,41.28%,3.46%,-,,2024-11-16 03:24:48,43.5K,+683.3%
The League of Extraordinary Meme,5w3VYRzdThQvAh72oiH4nFtoKjYAgj7WX8qNZKETjfUc,490.3%,490.3%,490.3%,172,86K,40K,46.91,86,38s,41.26%,0%,-,,2024-11-16 03:24:48,43.3K,+639.8%
SOMETHING,9Z1yNLmZuz9ogsaeeeiK3WtDeQeYmY52f4t9iTakpump,492.5%,492.5%,492.5%,104,41.1K,58.4K,61.93,57,2min,29.71%,0%,-,,2024-11-16 03:24:48,48.6K,+492.5%
League Extraordinary Memecoins,ARXVgmvo3SJatts5nVX9GhpbHKZ9YQA6FK1nQ38opump,564.6%,564.6%,564.6%,162,60.4K,45K,18.45,82,43s,41.92%,0%,-,,2024-11-16 03:24:48,29.2K,+431.1%
