row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
0,Chill Guy First Character,4uuJfFUuXuKWARsRRMweUfv1v2hBp5gQFvrqgg9epump,333.2%,333.2%,333.2%,125,24.3K,30.2K,12.47,79,2min,35.52%,0%,-,,2024-11-19 23:41:12,23.2K,+332.8%
1,Just a chill dog,GWdmwKSGCydH1o9WRq7chdCT7No8aeMmfSMYGrnYpump,385.1%,385.1%,385.1%,107,30.6K,34.3K,45.2,55,1min,31.96%,0%,-,,2024-11-19 23:41:12,32K,+451.7%
2,GUPPY,BGqGPuUoytS4AQfRZBkqRiUu47Pw2CtbMnbrVKdhpump,427%,427%,427%,154,39.3K,36.2K,42.81,84,1min,33.52%,3.46%,-,,2024-11-19 23:41:12,32.7K,+477%
3,KIKA,HnWbSfM4TPLR8KQUrTNiHH7SSMoAKeyiD5NZbstapump,522.5%,600.5%,600.5%,103,15.2K,47.4K,39.59,36,9min,27.94%,0%,-,,2024-11-19 23:41:12,37.1K,+451%
4,rothIRA,625e8SdLp4E5XXytrrYzzJeAJir39WjYpbaPJB5Kpump,356.7%,356.7%,356.7%,104,15K,31.3K,36.51,76,3min,31.28%,3.46%,-,,2024-11-19 23:41:12,24.5K,+357.7%
5,Asuka Terminal,FvuGNuK6soN47yhgPzUddFNw3vUxjowjb1pRrJwVpump,371.3%,371.3%,371.3%,139,40K,32.6K,28.92,74,1min,34.64%,4.29%,-,https://t.me/AsukaTerminal,2024-11-19 23:41:12,15.9K,+229.1%
6,kinu.ai,FZ8WvkWHwLaYLr6hXCYVZsR5vHcn8qD6j7cVknpwpump,412.3%,412.3%,412.3%,102,36.1K,52.1K,52.8,69,3min,37.09%,0%,-,,2024-11-19 23:41:12,40.6K,+398.9%
7,Munkis the Monkey,F3pPj2hzhtNKL1qByBLBL9rVwavgKuH5AtFrzCcipump,682.8%,682.8%,682.8%,114,14.3K,55.2K,56.43,90,1min,45.65%,0%,-,https://t.me/munkisthemonkey,2024-11-19 23:41:12,46.3K,+657.4%
8,#meninwomenfields,6hsckGwbrScbNMdW4QSk3pQfvx6vRFuY6ooBjnrmpump,194.1%,514%,514%,107,23.8K,40.8K,41.75,63,14min,35.82%,0.53%,-,,2024-11-19 23:41:12,25.2K,+223.2%
9,Just a fun guy,ExG6T5JG44hJk7a8DyF58R6S8YWJAhNryvCbShQrpump,239.9%,239.9%,239.9%,120,28.3K,23.7K,30.34,48,1min,32.39%,0%,-,,2024-11-19 23:41:12,18.9K,+271.3%
10,Just a chill cat,FRauV5nSHUbnUn13Sf1bBjnawCY4HcALwnMmW7Wkpump,375.4%,375.4%,375.4%,184,68.8K,33.1K,37.17,77,51s,40.74%,5.11%,-,https://t.me/chillcatspl,2024-11-19 23:41:12,21.1K,+303.4%
11,Chill Guy Real Name,D28tcpwU2x8tFTWn1BVxjNgiEGkLryXMdEvzKu1Apump,216.1%,216.1%,216.1%,158,20.7K,22.4K,16.94,42,1min,17.18%,0.73% Buy More,-,,2024-11-19 23:41:12,14.8K,+209%
12,Lester the Shepherd,Aq3X46iVfw9pzVRQXqwBddddAUMzxp4Ed5DZGC6jT2Ri,772.5%,772.5%,772.5%,186,88K,63.9K,54.58,92,52s,39.63%,0%,-,,2024-11-19 23:41:12,53.2K,+726.8%
13,WomenInMenFields,CDe4d9Zm3SBZhW1feyZBdPmA8CmpRPSUBkrumR13pump,282.2%,282.2%,282.2%,111,21K,27.5K,24.31,63,1min,37.89%,8.25%,-,,2024-11-19 23:41:12,17.6K,+244.8%
14,Just a horny guy,5agiFwUrUWhib3oa2HYEydxo17nqhTQPVc5VjEqXpump,153.5%,153.5%,153.5%,168,55.6K,17.4K,26.09,52,1min,29.98%,0%,-,,2024-11-19 23:41:12,14.4K,+209.6%
