row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
0,FIRST TOKEN ON YOUTUBE,uXekqzn4NKp3y7R9dUJNG2TjZVTeBJPPE5pW31ppump,413.5%,413.5%,413.5%,208,84.5K,35.1K,29.22,117,51s,33.24%,3.46%,-,,2024-11-20 01:42:26,50.4K,+737.6%
1,Phan Phan,9WuwEjNj8j4adkstepaUaLcPHQWXpmt3ASwMqaU8pump,747%,747%,747%,116,17K,56.9K,57.35,90,2min,22.1%,1.76%,-,https://t.me/PhanPhan_SOL,2024-11-20 01:42:26,49.3K,+733.7%
2,toker,71pEk71b4F84AWSUnvn46oiozmPsxHUoj72RWuKrpump,314.5%,314.5%,314.5%,100,16.1K,30K,34.01,62,4min,23.37%,2.93% Sell Part,-,https://t.me/tokerSolana,2024-11-20 01:42:26,22.8K,+314.5%
3,Good Boy Coin,GrQ4aNizRhonJQaZn9Qmr1W454fttePpFRLHuHC1pump,469.7%,469.7%,469.7%,130,46.4K,38.3K,39.32,65,57s,43.94%,0%,-,,2024-11-20 01:42:26,30.9K,+459.1%
4,drippy cheese,5scXE9KLbz3Upjz8Yx9Fd1n4VzoHSw1aYBy6mAjHpump,353.5%,353.5%,353.5%,136,31.7K,30.9K,31,60,1min,41.62%,3.13%,-,,2024-11-20 01:42:26,25.5K,+374.6%
5,PAINT,29E1HBmH9ZuumvxrmhFgAjLVcbWJ9kWS2nhv1jLEpump,391.2%,391.2%,391.2%,167,41.6K,33.9K,29.53,84,1min,33.96%,0%,-,,2024-11-20 01:42:26,18.2K,+264.1%
6,drippy cheese,8SPdyrnhZHmsPWT9GK4j7zC8QXvciX2T2ouqowZk91bt,35.7%,35.7%,35.7%,171,79.8K,9.6K,66.07,60,4min,11.28%,0%,-,,2024-11-20 01:42:26,67.3K,+948.6%
7,The Last Thing,Cv4qYBs9YRmXXTVmsuHNVWu6o4N1vFuBWntMcMqVpump,485.8%,485.8%,485.8%,123,24.2K,41.9K,29.46,73,1min,34.09%,0%,-,,2024-11-20 01:42:26,31.2K,+435.9%
8,FEIN FEIN FEIN FEIN,CJMjyWJDrnNQ38M1ank3DnJxjvNb2bxLn2j6h2zgpump,257.9%,257.9%,257.9%,115,31.5K,25.2K,23.3,34,1min,37.58%,0%,-,,2024-11-20 01:42:26,14.1K,+200.2%
9,#1 Tiktok Law Firm,JA5KvimYeA7Gfb4Di72rfcEw7HkWG3biuSCq5jYLpump,235.1%,235.1%,235.1%,112,38.6K,23.6K,28.25,47,50s,32.34%,0.73% Buy More,-,,2024-11-20 01:42:26,17.6K,+249.6%
