Name,Symbol,Market Cap,Volume 24h,24h Change (%),Liquidity,Address,decimals,symbol,name,price,liquidity,uniqueWallet30m,uniqueWallet30mChangePercent,uniqueWallet1h,uniqueWallet1hChangePercent,uniqueWallet2h,uniqueWallet2hChangePercent,uniqueWallet4h,uniqueWallet4hChangePercent,uniqueWallet6h,uniqueWallet6hChangePercent,uniqueWallet8h,uniqueWallet8hChangePercent,uniqueWallet12h,uniqueWallet12hChangePercent,uniqueWallet24h,uniqueWallet24hChangePercent,realMc,holder,numberMarkets,coingeckoId,telegram,twitter,website,discord
Solaria Utopia,SOLARIA,516K,2.81Mil,261.84895351539194,101711.37187462024,H3c9RZhvCzxQSmLULh4RsJC8GuK9rVNV2bcoLhMQmoon,9,SOLARIA,Solaria Utopia,0.0005195280850787,101711.37187462024,14,-22.22222222222222,32,-34.69387755102041,77,-58.82352941176471,225,-2.1739130434782608,,,378,-16.55629139072848,,,1295,-7.697790449037776,515K,824,4,,,,,
Chad Grammatical Model Launch,PEMDAS,540K,11.80Mil,,102825.52481344566,6f41LGHuU2HVV67ao9GwJ6kv2jNUz9HL6FJPVYcJpump,6,PEMDAS,Chad Grammatical Model Launch,0.0005254696523179,103577.6901547404,200,10.497237569060774,305,-30.681818181818183,605,23.46938775510204,905,-39.58611481975968,,,2017,-45.76499058886797,,,4825,,525K,1694,2,,,,,
Red Siberian Husky ,KOVU,569K,3.51Mil,-82.14592034159355,103718.67882892354,Acud16jqA9j1Hc83JrHYeiN2BpK8LYYQ1h6FGnYrpump,6,KOVU,Red Siberian Husky ,0.0005269815262079,103718.67882892354,40,-37.5,86,-4.444444444444445,156,-12.849162011173185,284,-6.578947368421052,,,524,-51.83823529411765,,,2400,-19.02834008097166,527K,1556,1,,,,,
popo,popo,574K,1.69Mil,621.2426423303457,196018.3887185712,6kJhG826LGowg7zG6PLd6tg7mqvVSdq2WzHhsfc7pump,6,popo,popo,0.0005524866115565,196018.38880314663,21,110.0,30,20.0,51,-17.741935483870968,97,-38.607594936708864,,,218,-46.95863746958637,,,912,1800.0,552K,2015,3,popo-2,https://t.me/poposolana_cto,https://twitter.com/poposolanacto,https://popo.baby/,
queefcoin,queef,593K,6.67Mil,670.9287333344744,143153.53468202852,4VdCEb24qJ24yvq8H14skQ5gJpyT9xCMcg4ssA4zpump,6,queef,queefcoin,0.0006046603306094,143156.99975489487,87,335.0,101,206.0606060606061,125,-17.763157894736842,225,-43.03797468354431,,,515,-67.9925419515227,,,2088,1086.3636363636365,604K,1220,3,,,,,
memOS AI,memOS,597K,20.50Mil,,125373.3269940365,3KCDgWw1C6PdjUsUXonYm6TGaDWKsLxmEjdBP7s8pump,6,memOS,memOS AI,0.0005287786509856,118874.35922068072,271,30.288461538461537,410,14.84593837535014,648,-5.539358600583091,1130,-27.42453436095055,,,2281,-66.67640613586559,,,7967,,529K,2278,6,,,,,
Shadow AI,SHADOAI,618K,1.79Mil,233.31618693666235,107460.05327263486,7VwxiPZeSYfQbQxqorGBctSyorPMJusrGDFkX5TFpump,6,SHADOAI,Shadow AI,0.0005883056906906,107460.05596809417,20,66.66666666666666,28,86.66666666666667,39,-42.64705882352941,98,-31.46853146853147,,,214,-46.365914786967416,,,1065,-6.167400881057269,588K,1255,4,,,,,
Straight Tuah Prison,TUAH,619K,16.95Mil,48.49040705005176,185811.7275224332,AkukwSXUTkDSeh2c1ypyvN4unzyr4xb2T4SmKkix6bT8,6,TUAH,Straight Tuah Prison,0.0006161965197694,185943.18425725508,18,-35.714285714285715,43,95.45454545454544,63,-34.375,145,11.538461538461538,,,251,-38.78048780487805,,,1052,-24.207492795389047,616K,16397,10,,,,,
Eaten by a Pelican,PELICAN,634K,20.76Mil,113.54499280154047,120215.8477346446,SWKT3Sksvtcepkn7MRn74WPUNH1Lo8H25MAogVepump,6,PELICAN,Eaten by a Pelican,0.0007129164062956,116586.63239806786,214,125.26315789473684,271,34.82587064676617,405,83.2579185520362,542,4.431599229287091,,,935,-75.65738089039313,,,7836,1193.069306930693,713K,1854,6,,,,,
infinite backrooms,IB,634K,2.34Mil,485.3744304465083,170205.80085854692,4J5HoZWoKcbo2JQxEEVCKRBfUQtEroY1QdRrKtZFpump,6,IB,infinite backrooms,0.0006457149246648,170334.90048856367,35,75.0,51,-21.53846153846154,101,-30.344827586206897,206,-74.28214731585518,,,879,721.4953271028038,,,950,573.7588652482269,645K,3980,4,infinite-backrooms,https://t.me/IB_CTO,https://twitter.com/ibtoken,https://www.infinitebackrooms.com/,
Omega,OMEGA,707K,5.23Mil,-26.27873395912146,134078.3586558308,FuVVu23hbFcXiiEM7ASp1CKY38DA3M7E626kGf7Upump,6,OMEGA,Omega,0.0007071587626389,134078.3586558308,38,11.76470588235294,64,20.75471698113208,109,-20.437956204379564,210,-41.34078212290503,,,505,-62.28528752800597,,,2821,34.141702330004755,707K,2391,4,,,,,
Orami ,Orami,725K,37.40Mil,,273719.3238453223,EURfLGofpk6vvNquBqpSTZaTUXPpfdvtYZCfhGUB2fWG,6,Orami,Orami ,0.0006366429588369,147727.433585812,311,-1.5822784810126582,327,-1.8018018018018016,358,25.174825174825177,365,,,,365,,,,365,,657K,368,1,,,,,
