row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
0,first fallen soldier,5UB6Ew2c4bidb6n876XqXW1G5BPmdNx1fkcsoaUzpump,186.3%,202.2%,202.2%,501,103.4K,21K,79.01,151,1min,29.69%,0%,-,,2024-11-19 01:41:16,13.6K,+186.3%
1,Trump Shuffle,DueNdyyx5a1ZMeaZr5kSSK3BjM5ADnDmhnD8ya4R8pGE,30.11%,12.52%,97.27%,4299,26.4K,906.8K,284.37,2043,2d,23.34%,0.22%,-,https://t.me/TrumpShuffle,2024-11-19 01:41:16,209.8K,+30.11%
2,Fush,6YJoieaYEvAeQKKew3qDnsd3DxVE17mr8KqUcwbrca36,27.03%,-57.53%,-5.85%,2281,309.7K,194.7K,56.69,2239,7h,15.08%,0% Add Liquidity,-,https://t.me/FushCoin,2024-11-19 01:41:16,110.3K,+131.6%
3,McDog Real Name,FFBv3A95Db6QpEfbPxhzAQq4fMWUP9jzRaoAnULZpump,141.6%,141.6%,141.6%,503,194.9K,17.3K,79.01,134,3min,21.23%,0%,-,,2024-11-19 01:41:16,9491.3091,+132.7%
4,Cortana AI,5QoTG1HiN6aqZj8tkyBFNtWn41ivYUf5g8daKRTFyc73,457.6%,2555.2%,2555.2%,504,216.3K,187.7K,79.01,202,59s,21.17%,0%,-,,2024-11-19 01:41:16,154.1K,+457.6%
5,Ants of Empires,5ZjBJV3LPRkz37jDMBNWoynWDpYnZEAsCzHeyA94pump,1594.5%,2089.5%,2089.5%,517,168.8K,150.8K,79.01,196,1min,26.19%,2.29% Sell Part,-,https://t.me/Ants_of_Empires,2024-11-19 01:41:16,141.9K,+1594.5%
6,Ripping Fags,CXPbyjJ15zpt1C3bArxPqbFQ2yrxkmrYtuAHgHDnpump,110.5%,3175.3%,3175.3%,507,261.3K,223.1K,133.49,293,5min,28.44%,0%,-,,2024-11-19 01:41:16,117.1K,+110.5%
7,Bingo,CyjDsZm4QKr4cQrTQHBsBdVecTchkb8fMfwfmFwApump,39.47%,99999%,99999%,669,278.7K,219.7M,295.39,369,7min,29.22%,0%,-,https://t.me/bingocoinchat,2024-11-19 01:41:16,56.8,+36.08%
8,The Cat,28YzyNEccxa6MdqfCNnUsP9KNExYhUY4W2tEH4sTpump,58.89%,1512.8%,1512.8%,567,382.8K,3.5M,416.44,353,7min,12.94%,0%,-,https://t.me/thecatsolana,2024-11-19 01:41:16,1.3,+58.89%
9,npcs,6cVVkYchorBCufiEsE9Z3fTFiZE32bzee4dCa2Xnpump,144.3%,1688.8%,1688.8%,514,123.8K,131.7K,79.01,343,53s,23.65%,0%,-,,2024-11-19 01:41:16,77.8K,+144.3%
10,Cobie's Frog,H5bFekTSXjrRL2vEbNroCNxQ62Qu5UwxLsnBWUWapump,54.57%,1257.3%,1257.3%,600,109.3K,212.6K,107.93,1624,37min,15.05%,0%,-,,2024-11-19 01:41:16,73.9K,+53.99%
11,yap yap yap,9WRFtchg6B2Tg3DM7doSHjnuzn3YZFR47mgHQkXXpump,347.2%,347.2%,347.2%,506,472.1K,925.4K,372.38,310,4min,10.66%,0%,-,,2024-11-19 01:41:16,718.4K,+347.2%
12,Pepe Gold,8VWCCadA5Hm8cPoBXogwXMy8zf4i6djyk331ynLJC5Nq,34.58%,47.9%,2174.7%,775,20.2K,5M,158.57,1322,1h,43.78%,0.19%,-,https://t.me/pepegoldportal,2024-11-19 01:41:16,1.3,+34.58%
13,Barking Dog,HWcmFw19wHSuxJFXz4xSzLqVz9sAFykNYdBc4eGfpump,30.24%,36.96%,-19.09%,4227,30.6K,1.9M,401.48,16245,13h,9.65%,1.6%,-,https://t.me/barkingdogonsol,2024-11-19 01:41:16,442.1K,+30.24%
14,npcs,9CHL9SBN9Y7kSjh8TXhDwmbAGaZCJw7mq5s6ZBRapump,96.1%,119.2%,119.2%,505,64.9K,201.2K,82.62,124,5min,11.55%,0% Add Liquidity,-,,2024-11-19 01:41:16,98.6K,+96.1%
15,Angel,8vaMCWi5KniRD2TGRvACeuSJcy3Tuc3VPUYexNceAXb8,37.24%,138.6%,316.7%,6080,6.8K,89.1K,73.06,442,16h,20.94%,0.37%,-,,2024-11-19 01:41:16,19.8K,+30.56%
16,4-(2-Aminoethyl,5X742twtV5sf8ZnSWSZ3WhxHgR9wmVeQmvzpnK7Gpump,32%,50.41%,24.86%,599,16.4K,1.8M,438.33,2504,2d,17.65%,0%,-,https://t.me/DOPAMINE_PORTAL,2024-11-19 01:41:16,445.8K,+32%
