name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
bol,SBGmFvSgapVGoCQgYMpcLe3xCpGkamRFxVvoSv8pump,6687.8%,6687.8%,6687.8%,549,374.5K,433.3K,79.01,165,1min,30.52%,4.46%,-,https://t.me/bol_world,2024-11-16 03:06:29,385.4K,+6036.4%
LONGO the Peanut Daddy,7SBx4mzmHRLKcWX1UdLvxQF9NVRQ4Kj6qECT6qEVpump,70.92%,1370.1%,1370.1%,502,341.9K,2.8M,349.02,381,5min,9.98%,0%,-,,2024-11-16 03:06:29,1.2,+70.92%
Squishy The Squirrel,F7TkhEjdSaAa5h2kyP2XE2ZJWQe7XiBnjdBbih5Hpump,78.72%,76.34%,4811.6%,1236,120.3K,328.2K,172.11,941,1h,20.25%,0%,-,https://t.me/squishyChatSol,2024-11-16 03:06:29,144.5K,+78.72%
pepeAI,GRoCPr38zsXp1veRtS3LXcxoaLwnNbNHTKmMfdjJpump,1056.9%,1056.9%,1056.9%,507,344.9K,2.2M,399.93,368,4min,12.46%,0%,-,,2024-11-16 03:06:29,2,+1056.9%
MOJO,5gY4epNYbVEuXvsnQhwLbi7L4Rjnp2bA2ZhZt4h6pump,69.53%,544.8%,544.8%,668,120.6K,151.6K,101.67,367,7min,7.14%,0%,-,,2024-11-16 03:06:29,62.2K,+69.53%
PNUTWIFHAT,FM8uAVSypt5PLg1ZNCriLy13D4gnKVxfCU7caCSCpump,85.87%,770.7%,770.7%,514,43.6K,205K,79.01,360,4min,11.61%,0%,-,https://t.me/pnutwif_hat,2024-11-16 03:06:29,181.7K,+771.8%
PunchCat,9c19QLrFNY9P1wToMh1kNfj9hnVymTnM5tSSQmiQpump,206.8%,206.8%,206.8%,507,43.3K,258.9K,82.8,246,3min,11.55%,0% Add Liquidity,-,https://t.me/+q77-mBvkS985ZWYy,2024-11-16 03:06:29,172.2K,+204.1%
SMOG,2QWFs7W33osQ1eiyAXNLD2Q1nosoQZMX6LGe9BRCpump,242.3%,99999%,99999%,511,199.6K,509.5M,264.94,402,5min,9.76%,0%,-,https://t.me/SMOGToken,2024-11-16 03:06:29,356.2,+239.3%
POLYGON MASCOT,CWR9o6fei1J92MhSoKqDootrhBo5zDgjsqeQecSzpump,31.4%,125%,9031.3%,1075,84.8K,899.4K,281.46,1756,3h,17.91%,0.24%,-,https://t.me/polyonsol,2024-11-16 03:06:29,214.9K,+31.4%
REAL NO1 TIKTOK MONKEY,3mbP9zqPLLPxJTw52ykeS667Q8JSAZFTztC3xSkJpump,456.4%,1427.8%,1427.8%,505,69.4K,109.2K,79.01,194,44s,26.87%,0%,-,,2024-11-16 03:06:29,89.6K,+456.4%
Lizzy the Dancing Lizard,6RNbfKpHJXiD5K3yJDou5zyPBJLQzEe75fsDmFkWpump,30.31%,320.7%,9859.9%,507,130.8K,577.5K,207.93,1452,2h,17.23%,0%,-,https://t.me/Lizzysols,2024-11-16 03:06:29,165.1K,+37.35%
AI Granny,9216tEwX3s7SQMQx5KPkMnqJKGHiBZPRAzZkCSYrpump,1145%,1145%,1145%,525,152.5K,78.8K,79.01,119,1min,33.43%,0%,-,,2024-11-16 03:06:29,75.8K,+1197.3%
Mike Tyson's Tiger,9tXb5k3r5SLke9cz3jJ7LJCU9pozDh68eNDxaSKupump,113.5%,113.5%,113.5%,572,72.5K,179.8K,85.99,245,3min,11.46%,0% Add Liquidity,-,,2024-11-16 03:06:29,86.4K,+102.6%
BRETT,DsBeSvFezNzS36aeCXqys69pUVYwNFYnsXnGv4fvpump,953.3%,953.3%,953.3%,506,323K,2M,379.06,376,4min,9.82%,0%,-,https://t.me/bretterbrett,2024-11-16 03:06:29,1.8,+953.3%
Butt Bird,2qzZnuQ1BUxxEKHn5yGtPAxJFsnZ7G3p8uz5Webopump,1083.8%,1083.8%,1083.8%,508,8.6K,279.5K,113.08,127,165d,16.82%,0%,-,https://t.me/ButtBird_sol,2024-11-16 03:06:29,255.9K,+1083.8%
WIFE CHANGING MONEY,3VgqB9Sy9RRanzkSryE2cRWpT8WwPXvHz9wzAZqrpump,31.8%,30.07%,-53.75%,1306,1K,16.5K,32,366,6h,15.04%,0%,-,https://t.me/wifechangingmoneysolanaa,2024-11-16 03:06:29,3968.8821,+31.8%
