row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
0,billywifhat,mLEokJqnAv5uEmQmicT5j4ouors5cfky9xSvjxFpump,886.7%,886.7%,886.7%,510,11.3K,248.6K,116.13,192,153d,15.84%,0%,-,https://t.me/billywifhatcoin,2024-11-17 22:18:19,223.4K,+886.7%
1,Abdu Rozik's Cat,2y1XYsTnVj68zbt6C2ns6qWC65A3Lc9aMJazBQiTpump,596.9%,3436.6%,4494.1%,553,192.2K,320.7K,79.01,333,1min,22.44%,0%,-,https://t.me/RenzoSol/,2024-11-17 22:18:19,274.7K,+596.9%
2,Piggy Smallz,Edmgh881qN8ecXd42cbHDk2sPnSDWPzNwUv67NZbpump,905.2%,8716.6%,8716.6%,519,224.4K,584.3K,79.01,153,1min,14.1%,1%,-,,2024-11-17 22:18:19,592.5K,+1019.4%
3,TRUMP'S NEW SQUIRREL,BFWnmAfXG3wTgJEWvjEjrNe6ruV5TbN2utLje78fpump,751.2%,751.2%,751.2%,519,188.6K,59K,79.01,162,36s,32.02%,0%,-,,2024-11-17 22:18:19,52.1K,+751.2%
4,Justice for Finn,Uru1ZawvNdMbkWP6yGDzz5znwRWtkAy777QJETQpump,32.03%,3348.7%,3348.7%,619,178K,237.8K,150.07,1230,30min,15.87%,0%,-,https://t.me/justiceforfinnonsol,2024-11-17 22:18:19,57.7K,+32.03%
5,CWAB,FtjHjWBrozFsP8jyxXg3D6N95Vhkp1n6GYayhhcspump,43.45%,136.5%,2117.9%,598,7.4K,147.1K,88.44,824,4h,16.63%,1.43% Buy More,-,https://t.me/cwabonsol,2024-11-17 22:18:19,44.6K,+43.45%
6,astra,H4XmTX6NBTkBjdddjm4bPovsxBPHztChsdsD8Zropump,30.43%,-76.84%,7648.6%,721,93.6K,527.5K,220.26,4565,4h,11.59%,0%,-,,2024-11-17 22:18:19,123.1K,+30.43%
7,send everything cycle,J76j63KU268KH7oeNhUAwWPYC9iNgTDSuwR8RM9Fpump,147.7%,2210%,2210%,505,107.2K,159.2K,79.01,493,1min,18.2%,0%,-,https://t.me/secsolanaportal,2024-11-17 22:18:19,94.9K,+147.7%
8,Psy The Cat,V45AAvmrvP8REvwS2xB3gv4GGsPLgL656MneJZSpump,3576.5%,5041%,5041%,539,255.5K,345.8K,79.01,135,1min,25.59%,2.28%,-,https://t.me/+2y8XXoyoTcBkZTI0,2024-11-17 22:18:19,247.9K,+3685.9%
9,qnn,5S4nnB9MH7Mq33Bku3UdX3Cv7aH4QAESDyMeDEdwpump,3322.9%,3322.9%,3322.9%,540,172.8K,151.7K,17.59,29,1d,38.35%,0%,-,,2024-11-17 22:18:19,147.2K,+3322.9%
10,Pepenews,CpMoRbW76v3uv54tu2mRXrhvDQCgFQFYP2zq8wGjpump,3001.3%,3001.3%,3001.3%,507,385.9K,217.3K,79.01,64,31s,29.64%,0%,-,,2024-11-17 22:18:19,210.3K,+3001.3%
11,non fren,4q1h6ifUdssct1JHKAz3RMawBijmCE2w56mCtiCLpump,148.4%,1857.9%,1857.9%,512,107K,130.8K,79.01,243,24s,27.59%,1.76%,-,,2024-11-17 22:18:19,78.2K,+148.4%
12,New GME Employee,7MUXx6CX4Md4hXjBp8AJQ94h4usDppm2MXta6SDhpump,5050.5%,5050.5%,5050.5%,644,578.5K,344.7K,79.01,153,25s,29.97%,1.76%,-,,2024-11-17 22:18:19,338K,+5050.5%
13,Yodai Agent,95yGthX8jHPGLHb4YWxPTi4CWncV4ffbdnSoNubMpump,2109.6%,2109.6%,2109.6%,527,220.6K,155.6K,79.01,247,2min,32.14%,2.02%,-,https://t.me/+LMSy0h0rW-1lMGE0,2024-11-17 22:18:19,148.6K,+2109.6%
14,PEPENEWS,13e1dcAfMJ2d9smnr4XbzLLX98tfkR7Xt22S5XvCA9sg,42.41%,1575.4%,1575.4%,512,162.3K,137.6K,79.01,267,4min,15.97%,0%,-,,2024-11-17 22:18:19,41K,+42.41%
15,Swipe Cat,dR5nCK6xPdav3N8aN4pXktc3m1P9RjdCTLPEGYjpump,59.97%,321.5%,1559.9%,524,131.4K,112.5K,79.01,320,2min,20.69%,0%,-,,2024-11-17 22:18:19,57.4K,+84.63%
16,🪞,6TQmQRyrfc2uUzUG5ndTJuR51brenv78RqQ3UZYF8rx2,734.1%,734.1%,734.1%,513,306.3K,60.1K,79.01,155,1min,45.09%,0%,-,,2024-11-17 22:18:19,52.9K,+734.1%
17,MIRROR,7TGXiW46eiYRN8tWwt8diz2f6JkeUuCPDrGgmjJMv3LA,3164.8%,3164.8%,3164.8%,541,371K,235.2K,79.01,402,1min,23.9%,0%,-,,2024-11-17 22:18:19,228K,+3164.8%
