row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
0,TikTok Quant,953FLztdC1KwT9SMb28Ba4diBBURpSzR8dnFxKSerQKS,316.2%,5163.7%,5163.7%,522,379.7K,372.1K,79.01,327,59s,25.65%,0%,-,,2024-11-20 01:23:35,282.7K,+316.2%
1,just a chill baby,HaigRoYiu3Wct3jiBq2uRa8EdTafU88VGo7Kecudpump,92.83%,848.8%,2302.5%,514,90.5K,188.4K,112.4,492,6min,33.42%,1.34%,-,https://t.me/justachillbaby,2024-11-20 01:23:35,90.7K,+92.83%
2,PUT THE PHONE DOWN,3fjZFK6iC8L75U25kF6iXGATsQBjPHwVAAefPK7fpump,110.4%,2872.4%,2872.4%,548,229K,203.4K,79.01,260,2min,19.34%,0%,-,,2024-11-20 01:23:35,91.6K,+94.77%
3,GERMAN TANK,D3BKJxzfaAxhxSmDiK6iMn2yF14dpMKPF8GPdTdzpump,57.9%,1085.3%,1085.3%,437,7.7K,304.7K,145.85,162,164d,15.17%,0%,-,https://t.me/GERMANYTANK,2024-11-20 01:23:35,134.4K,+84.04%
4,Chillgirl,AH9oMYaNWwwh93rthazxXcJB7kyFsLgZMxDJxbwpump,22.09%,19.14%,236.5%,761,218.5K,7M,742.96,7833,2d,22.45%,0%,-,https://t.me/chillgirl_cto,2024-11-20 01:23:35,1.9,+33.14%
5,yns,4d8BRqQjdyiPhqFmMd4aanMEmUg8VPGZwmTAPp7qpump,47.43%,73.48%,3775%,508,249.1K,3.3M,506.96,3673,47d,19.81%,0%,-,https://t.me/YNSGlobal,2024-11-20 01:23:35,1.1,+47.43%
6,TRINITY,6UWNmC8NHHquKQZShp4Mgj13HBE8pKj2BTq5UJPSpump,35.4%,-10.87%,7394.8%,532,61.1K,1.4M,388.29,4493,5h,13.29%,0%,-,https://t.me/trinitytokenai,2024-11-20 01:23:35,349.8K,+33.88%
7,Chuzz,88C7tdsE1Mf41yJHRxLYwr8F6y2sDvFUKvKscPF4pump,32.88%,309.9%,7651.7%,501,128.6K,584.3K,197.48,717,3h,27.58%,0%,-,,2024-11-20 01:23:35,144.6K,+32.88%
8,cockAI,9cp9Jy7JxHvSrMPMWdGeXw7JrYKDuEYzHvBUy49Ppump,40.38%,-43.76%,686%,521,157.8K,54.3K,61.16,219,5min,23.16%,4.13%,-,https://t.me/cocksAI,2024-11-20 01:23:35,15.6K,+40.38%
9,Just an unchill gal,9QfMQAwPU6wFVCya1KP6Pm4TkzZW3NkQDhUQxHRapump,148.1%,1663.4%,1885.7%,508,187.3K,238.4K,79.01,226,2min,24.4%,1.43% Buy More,-,,2024-11-20 01:23:35,142.3K,+148.1%
10,theydontloveyoulikeiloveyou,CbUPTbC4K7zdAEWxfa1nad4468xpX3LpWPhZVnzybhfN,36.79%,61.44%,191%,539,321.5K,7.2M,736.1,4720,12h,13.37%,0%,-,https://t.me/WAITcommunityPortal,2024-11-20 01:23:35,1.8,+34.9%
11,one unchill gal,7p2Rs9KkiWNKZkWNDFUCxG7EUBxbCByQC95fCNQ8pump,33.73%,110.6%,266.6%,501,349.1K,2.6M,460.22,1863,20h,14.47%,0%,-,https://t.me/galCTO,2024-11-20 01:23:35,661.5K,+33.73%
12,AI Dancing Cat,6W34k5VBA68DXFZPfLz4o8yJgJoiiR4YoQfbtAAZpump,48.56%,510.9%,4327.3%,611,721.5K,5.3M,590.34,1332,4d,22.05%,0%,-,https://t.me/solanaaicat,2024-11-20 01:23:35,1.7,+48.56%
13,TikTok Quant,dnq3qsXKHMrx9kdRBJuJHGcAaEcGtX2oXAxEnMEpump,41.36%,1965.4%,1965.4%,758,310.4K,136.6K,79.01,192,4min,31.28%,0%,-,,2024-11-20 01:23:35,40K,+41.36%
