row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
0,Mike Ass,9adFNXBWuuwZNKhdzbC2qDfbp3R1tvt9ChqFp4Pnpump,31%,-86.7%,4528.9%,777,82.3K,303.7K,198.43,3259,1h,21.95%,0% Sell Part,-,,2024-11-16 05:45:15,76.4K,+32.94%
1,PAUL vs TYSON,GG5wEx7jt8Y8uMXznbMmU2GS84M1JdUCKJSyCsaKpump,668%,668%,668%,506,319K,2M,389.4,324,4min,23.77%,0%,-,https://t.me/paulvstyson_sol,2024-11-16 05:45:15,1.7,+668%
2,LONGER,4ptz3Qxm7thqkxoPo2wShmMRBrZ6NqGtHxBPWKKeKDah,957.7%,1004.3%,1004.3%,514,106K,1.2M,258.17,352,7min,11.78%,47.44% Remove Liquidity,-,,2024-11-16 05:45:15,1.1,+960.2%
3,CODEXX102,AQGzHdyUcLx1sWcd4NRSAuHCGnCCu7W1YCN9raswpump,2392.9%,2392.9%,2392.9%,530,190.2K,156.6K,79.01,197,1min,29.47%,1.76%,-,,2024-11-16 05:45:15,150.2K,+2391.2%
4,BITING FIXATION,6efKfftLugYXqahtB5KndBjV7Sb5bWcawJdWcWJUpump,257.4%,257.4%,257.4%,539,112.7K,22.9K,79.01,219,37s,17.61%,0%,-,,2024-11-16 05:45:15,16.5K,+257.4%
5,TYSON BYTES,FWfdyjsFtHeyavJEBYptj1s8KB8x7rph3BNmBWXpump,834.5%,834.5%,834.5%,513,354.9K,1.8M,349.06,314,4min,9.99%,0%,-,https://t.me/+Hl1lS2TXRLAwYzAx,2024-11-16 05:45:15,1.5,+789.2%
6,Cherry($ Cherry,J7v1v7aZB1v9rvyBScH7n2z6fnERubr9j9wjFjaxpump,99999%,99999%,99999%,513,226.9K,277.7M,292.13,342,3min,29.27%,0%,-,https://t.me/cherrygame_io_bot,2024-11-16 05:45:15,277.6,
7,pleto,EcZyisCX2ZCANRNKi4YRGpifd3wbcJoSP7oAjPQspump,131.9%,902.4%,902.4%,527,43.6K,123.8K,79.01,231,2min,47.65%,41.34% Sell Part,-,,2024-11-16 05:45:15,70.9K,+133.9%
8,bitnut,3LbqbWJQX2GUMdxxEoKd79gwFmzQ4uY2V9PUwBC2XYgF,30.1%,88.34%,-4.41%,3252,16.1K,574.2K,157.28,3411,11h,16.96%,0% Add Liquidity,-,https://t.me/bitnutcto,2024-11-16 05:45:15,132.9K,+30.1%
9,Dept Of Gov Efficiency HQ,CFbEmC3JJ5HqXwfFNrKMzhAnFaMp64QkbBegcTw3Hpzh,32.38%,51.94%,57.48%,2572,1.4K,77.7K,37.06,429,6h,23.03%,0% Add Liquidity,-,https://t.me/DogeHQSol,2024-11-16 05:45:15,19K,+32.38%
10,CATIME,HYphn685w3NcFsqscYJg741uZLyKWNGdSbuUhJgBpump,74.9%,8471.8%,8471.8%,501,202.7K,545.1K,201.97,1242,36min,21.04%,3.46%,-,http://t.me/catimetravelsol,2024-11-16 05:45:15,233.4K,+74.9%
11,Sergio The Sea Lion,BurBSwi22AzQHKHk82vZqWzpgYuxoDLhRp3tytgrpump,69.19%,1044%,1630.3%,506,72K,106.7K,79.01,406,1min,22.93%,0%,-,,2024-11-16 05:45:15,38.4K,+60.86%
12,Falcon 9,2JfSocDLQ3Wqhdud4r3yvFXHmZApSp2xMXsCjUz1pump,31.14%,73.62%,56.28%,1778,6.3K,173.9K,102.07,336,6h,29.71%,0%,-,https://t.me/falcon9ai,2024-11-16 05:45:15,41.3K,+31.14%
13,WHO NEEDS SLEEP,HZzTKDg9QzPxo3qYcijAKv4N7Ws9vWoJJ1Sy48uypump,171.6%,1180.2%,1180.2%,608,56.8K,82.6K,79.01,240,10s,26.86%,0%,-,,2024-11-16 05:45:15,55K,+180.9%
14,NETFLIX MASCOT,5tNyNAwsPAYXz7GNU6NxSHRDuDBQruN1JrXEQ4ARpump,1551.5%,1987.5%,1987.5%,508,100.4K,150.4K,79.01,141,1min,16.42%,0%,-,https://t.me/NETFLIXMASCOT,2024-11-16 05:45:15,141.2K,+1551.5%
15,PULSE,9cMhEJjUCX8S1icaCagqSgncRiRAhKEB54jkuyt6nrvj,189.7%,3370.9%,3370.9%,568,22.2K,44.4K,27.21,227,17min,30.28%,5% Add Liquidity,-,https://t.me/pulsecoin_app,2024-11-16 05:45:15,27.6K,+167.5%
16,Baby Pnut,z9ysNwXCYrh4xXRyQG9ujWqxNrdcChoicoJA9ebd7iF,39.89%,-48.53%,-55.04%,1220,605.1K,6.6M,739.1,21346,2d,15.02%,0% Add Liquidity,-,https://t.me/babypeanutcto,2024-11-16 05:45:15,1.8,+38.58%
17,空灵,9ifhfs9VqWCcPZD9TtSqzSMJrUC5Pcrn6piXw9nkpump,241.2%,762.8%,762.8%,524,176.3K,54.8K,79.01,233,1min,28.84%,3.46%,-,,2024-11-16 05:45:15,38.7K,+241.2%
18,Genesis by Zerebro,5TGaLVBNtkCwPaWZ6Zy71PcgaJrRyPnTFtBC5gAUpump,138.2%,83.09%,9982.5%,515,213.1K,693.6K,255.25,1712,2h,26.36%,0%,-,https://t.me/Genesisscto,2024-11-16 05:45:15,387.1K,+132.9%
19,jake pol,DWH4W5ALtrSu62C3pD93Bdcsk83cF5jZCy6ceb1jpump,1276.5%,1276.5%,1276.5%,512,325.4K,2.7M,380.74,369,4min,20.68%,0%,-,https://t.me/JakePolSol,2024-11-16 05:45:15,2.5,+1276.5%
20,SHREMP,8VUu6WoiBoCfQ7BVKWZpoS7RBaM511ANxxskv6Mwpump,758.8%,758.8%,758.8%,503,385.7K,1.6M,380.98,354,4min,9.91%,0%,-,https://t.me/shrempmeme,2024-11-16 05:45:15,1.4,+758.8%
21,CATIME,HYphn685w3NcFsqscYJg741uZLyKWNGdSbuUhJgBpump,35.95%,233.2%,9989.9%,665,174.3K,641.6K,233.15,1840,1h,20.43%,3.46%,-,http://t.me/catimetravelsol,2024-11-16 05:45:15,169.7K,+35.95%
22,Just a Potato,4iqkd1cfz4koioz8SL4RzQ8wiXJUJaKuznjiSfgCpump,40.74%,151.1%,1334.3%,565,108.7K,88.8K,73.12,577,5min,17.53%,0%,-,https://t.me/JustAPotatoCTO,2024-11-16 05:45:15,22.2K,+35.31%
23,Bitcoin Mascot,CKkbnTjgeFYyg9nxKU9XD6M4g6imPkjurQKhB6H5pump,128.9%,1250%,1250%,514,86.8K,89.9K,79.01,342,1min,19.61%,0%,-,,2024-11-16 05:45:15,51.4K,+130.9%
24,meowcoins,AcAC98WwUb43ydXA6JxdXmi3rfoHcA1KXxwBny2Zpump,105.2%,333.3%,3942%,519,234K,543K,191.92,617,6d,27.28%,0%,-,,2024-11-16 05:45:15,278.4K,+105.2%
25,peanut patron saint of magnum,B5c8djQu38cwBHFu4yD7mDyZKwofV8oPnTCR7ctWpump,65.15%,1085.9%,1085.9%,529,115.5K,80.2K,79.01,312,2min,33.15%,9.75%,-,,2024-11-16 05:45:15,31.6K,+65.15%
26,ARICATO,9U1CYWU9cWwgSkJ4xQnKcLwPxE9Qq8QeS6foVBoVpump,99999%,99999%,99999%,504,235.6K,291M,260.62,375,3min,9.79%,0%,-,https://t.me/aricatosol,2024-11-16 05:45:15,290.9,
27,why,6KzUL3w7zP7focgAu3szW72DdRUEsyVr5ZtoXg7Npump,2435.5%,2435.5%,2435.5%,505,274.2K,2.7M,269.82,353,4min,15.94%,0%,-,https://t.me/whyenelephant,2024-11-16 05:45:15,2.6,+2435.5%
28,Sergio The Sea Lion,BurBSwi22AzQHKHk82vZqWzpgYuxoDLhRp3tytgrpump,40.93%,946.1%,6991%,712,171.5K,437.1K,165.87,1349,37min,20.53%,0%,-,https://t.me/sergiocto,2024-11-16 05:45:15,126.9K,+40.93%
29,kzl,HjdE4j3rHC7YMxFMHXSgEzXoNcVU6YBCfg9Q1gTJpump,2481.2%,2812.9%,3868.2%,536,137.6K,244.6K,79.01,137,1min,31.47%,6.04% Buy More,-,,2024-11-16 05:45:15,235.1K,+2481.2%
30,bitheaven,8aQnEWeiiEnR8XSyN2rUpfzGDhajFbzrQEzxSB1Ywd7k,519.3%,519.3%,519.3%,553,167.6K,41.7K,79.01,254,48s,24.91%,0%,-,,2024-11-16 05:45:15,34.9K,+519.3%
31,Franklin The Turtle Puppet,2o3W7YodiphwJeLjrCzTgaJqjRXbLDWHCM8Pyj2Xpump,80.74%,998.2%,1996.1%,504,75.6K,129.6K,79.01,348,3min,25.62%,0%,-,,2024-11-16 05:45:15,57.2K,+79.79%
32,Baby Pnut,z9ysNwXCYrh4xXRyQG9ujWqxNrdcChoicoJA9ebd7iF,33.64%,-48.88%,-62.29%,867,155.8K,5.1M,680.14,21149,2d,15.13%,0% Add Liquidity,-,https://t.me/babypeanutcto,2024-11-16 05:45:15,1.3,+33.64%
33,Team Tyson,3C9Z6rnEfX7dZq7XL7SBdTDtumhJLHokn6u3H9oPpump,1067%,1067%,1067%,515,334.8K,2.3M,379.18,343,4min,11.37%,0%,-,https://t.me/paulvstysonsolana,2024-11-16 05:45:15,2.1,+1067%
34,The Architect's Messenger,DofKMLT7X8GDqX1zk824tF9v3yamWpHNxFdpt3WBpump,2153.6%,2153.6%,2153.6%,548,124.6K,141.7K,79.01,253,27s,28.57%,2.96%,-,,2024-11-16 05:45:15,135.5K,+2153.6%
35,Anime Girl Intelligence,5gqYNAi3iRe6sHehQmh1cUktStzfB491CRJay77Vpump,80.19%,80.19%,80.19%,523,331.2K,12.5K,79.01,94,2min,26.48%,0%,-,,2024-11-16 05:45:15,5618.6563,+81.1%
