row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
0,Cult Of Omega,8wF3WJt7FLrHvjRRpb9suPSsb27MQUNGYPwsCZLWpump,38.78%,-72.56%,9059.6%,1060,228.5K,642.7K,260.8,4023,1h,21.79%,0%,-,,2024-11-17 22:44:21,179.6K,+38.78%
1,Justice For Peanut,3rAG66WeLBLocuafxXGanmYV3gMyiCcKhM3kCyzApump,35.42%,1868.2%,1868.2%,1442,44.4K,205.2K,114.35,664,42min,20.92%,0.24%,-,,2024-11-17 22:44:21,58.2K,+38.11%
2,Tyke the Elephant,9dJ7YzCCzAti2pRMkAzJCdK1uteScvcep7ANuGzDNeG6,30.74%,158.3%,966.1%,3344,149.9K,79.9K,104.34,102,2h,47.6%,15.49% Buy More,-,https://t.me/TyketheElephant,2024-11-17 22:44:21,19K,+31.27%
3,MEN COIN,8AvrFjrNq8VRHQtDPan19oFeb37DwgniFqRekPPapump,38.15%,99999%,99999%,536,190.6K,160.8M,239.33,416,20min,11.2%,0%,-,https://t.me/TurbomenSol,2024-11-17 22:44:21,44.4,+38.15%
4,Bureau of Internet Culture,5j1BukPp1Ek193976VunVccv1hAZerwXGGpssf5Fpump,3595.7%,4132%,4132%,563,244.9K,295.7K,79.01,85,1min,32.19%,0%,-,,2024-11-17 22:44:21,287.7K,+3595.7%
5,Abdu Rozik's Cat,CjX1djGZyFmS8u3xmmCuAUkeWpf754c3VGb9cf3K3Vbx,43.71%,292%,99999%,530,298.2K,3.9M,228.37,978,1h,15.46%,0% Add Liquidity,-,https://t.me/RenzoSol/,2024-11-17 22:44:21,1.1,+43.42%
6,STICKS AND STONES,G8tdoLKhWMeKQqoSYpgWUMJvRzo13WC1XYdVAtbEpump,35.03%,35.87%,187.6%,507,4.1K,109.8K,90.33,716,17h,21.65%,1.02%,-,https://t.me/STONE_AND_STICKS,2024-11-17 22:44:21,28.2K,+34.73%
7,GIF AI,FYE74CHTP6NBjJWJWj9kxR3g3pMER5GAQtjTfph8XJE4,1986.7%,1986.7%,1986.7%,606,301.4K,142K,79.01,283,41s,24.95%,4.19%,-,,2024-11-17 22:44:21,140.2K,+2061.5%
8,Pepzard by Matt Furie,GyHoUNNc4wLEN5SjC7Qp3v7qdbHgyWHM7Xox2cnfpump,183.7%,1258.4%,1258.4%,512,105.4K,133.5K,79.01,391,1min,19.1%,0%,-,,2024-11-17 22:44:21,86.5K,+183.7%
9,Magic 8-ball,38n936pHEiGXVWvnqy5ED4Xzkqcq7PkmXrN5pufrpump,3018.6%,3018.6%,3018.6%,536,314.2K,207.7K,79.01,281,16s,24.68%,0%,-,,2024-11-17 22:44:21,201K,+3018.6%
10,HAYES,G4qhk2xjNdG1fp19KpQwNjySpgk8hHQ2nKMMmaygpump,287.1%,2677.8%,2677.8%,504,170.9K,192.7K,79.01,190,3min,25.89%,1.07%,-,,2024-11-17 22:44:21,142.9K,+287.1%
