row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,message_timestamp,timestamp,fdv_surge_amount,fdv_surge_percent
0,POPBONK,Gtxg4hJ9s1SUytVGABbS5FF6NDgyMathooKUyzPjUAGJ,34.8%,-36.45%,-92.44%,502,48.4K,1.5M,277.18,15878,7h,1.64%,Add Liquidity,-,,2024-12-04 02:20:57,2024-12-04 10:41:44,399.9K,+34.8%
1,POPBONK,Gtxg4hJ9s1SUytVGABbS5FF6NDgyMathooKUyzPjUAGJ,84.59%,80.47%,-81.69%,513,166.4K,4.6M,373.14,15201,7h,1.67%,Add Liquidity,-,,2024-12-04 01:26:21,2024-12-04 10:41:44,2.1,+84.59%
2,Barbie Pepe,9m8rkmFsvpXdQ9Wkrf8T6MtqghTrScrEnH4XowYQvcXD,29.72%,-42.33%,92.11%,573,169.7K,344.8K,879.07,2006,5h,2.96%,Add Liquidity,-,,2024-12-03 23:33:04,2024-12-04 10:41:44,81.7K,+30.74%
3,Just a Chill Ripple,Br9QhBfjMoVDg3ZQZAWou8x3BPiJsjsm8rcRwHPoevGr,32.21%,-55.86%,88.31%,546,110.3K,1.2M,544.94,8996,4h,2.46%,Add Liquidity,-,,2024-12-03 20:17:53,2024-12-04 10:41:44,285.4K,+32.21%
4,Spooderman,3iurp5a4MmbN2dRKaUD55Q1dvT8SNQVdzkBnhccRYN6w,29.94%,0.54%,-70.04%,553,62K,1.2M,315.87,22129,15h,3.76%,Add Liquidity,-,https://t.me/Spooderman_Official_Portal,2024-12-03 16:26:17,2024-12-04 10:41:44,281.1K,+30.73%
5,Desmos,8A19wrGrEzofubsih7gPgbJSgi2FcRtauxMDxr2Fg7MZ,31.24%,-61.94%,-94.06%,628,69.2K,282.8K,211.03,8771,1d,2.47%,Add Liquidity,-,https://t.me/Desmos_Portal,2024-12-03 13:57:39,2024-12-04 10:41:44,67.3K,+31.24%
6,MOMOplanet,4BqaJAG4Xeb7MVCAeEB9aCMGjPGN2KseNXbJko82wUCq,33.81%,-55.77%,-82.56%,1349,154.9K,744.6K,231.56,19767,15h,3.44%,Add Liquidity,-,,2024-12-03 13:24:39,2024-12-04 10:41:44,182.3K,+32.76%
7,Desmos,8A19wrGrEzofubsih7gPgbJSgi2FcRtauxMDxr2Fg7MZ,33.12%,-56.06%,-78.23%,783,212.4K,638.3K,261.37,7911,1d,2.85%,Add Liquidity,-,https://t.me/Desmos_Portal,2024-12-03 13:13:48,2024-12-04 10:41:44,158.8K,+33.12%
8,MOMOplanet,4BqaJAG4Xeb7MVCAeEB9aCMGjPGN2KseNXbJko82wUCq,32.33%,6.99%,-51.14%,505,86.2K,2M,393.67,22241,14h,1.62%,Add Liquidity,-,,2024-12-03 12:45:04,2024-12-04 10:41:44,482.6K,+32.33%
9,Desmos,8A19wrGrEzofubsih7gPgbJSgi2FcRtauxMDxr2Fg7MZ,30.91%,-10.13%,-73.08%,1187,492.7K,787.6K,299.3,7717,1d,1.98%,Add Liquidity,-,https://t.me/Desmos_Portal,2024-12-03 12:31:52,2024-12-04 10:41:44,186K,+30.91%
