row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
0,sillybird,hiMH76fUqQtJ9yBPHwTZxRF84cYS8bm5tGFm2b1pump,61.44%,93.65%,615.7%,42,32.4K,1.9M,394.68,714,8d,20.17%,1.03% Buy More,-,https://t.me/sillybirdgangwee,2024-11-20 01:45:37
1,Chill Guy's Dog,HWaPPnGFnCuq6DSDy4x1FMY1Dgk8FEqsqcLRd4nGpump,32.61%,32.61%,1685.3%,177,53.8K,128K,79.01,172,2min,25.4%,0%,-,,2024-11-20 01:45:37
2,Director of Gov Efficiency,8Pge1x5tHHgPXzHTzLXfsiGoeDMAgAaf1xFUTrzopump,70.44%,2380.6%,2380.6%,137,41.2K,166.2K,79.01,139,1min,13%,1.03%,-,https://t.me/DirectorOGE,2024-11-20 01:45:37
3,Kuro,47GyuiCjN5BSyWwQueucifGwNjYpvTKPAapSKUPLpump,8.9%,58.24%,66.78%,23,5.1K,1.1M,307.58,1361,3d,19.46%,3.46%,-,https://t.me/kuropingu,2024-11-20 01:45:37
4,Valerie AI,HRmdKcpMEKNLreURXi4wk6vhRfQ9QmnBKkxhFwFt1GJd,104%,2314.3%,2314.3%,309,61.4K,168.2K,76.28,233,6min,28.92%,0%,-,,2024-11-20 01:45:37
5,just put my fries in the bag bro,85T9uzQ2vkb6Rn6bBq6su6WuUBD7JvKcrS2r87SDpump,33.69%,79.51%,135.3%,8,3.4K,65K,79.13,449,120d,24.08%,0%,-,https://t.me/friesportal,2024-11-20 01:45:37
6,Just a thoughtful guy,GBN48SzspkMYg4WxNCjxqdx7P12URnFYBAy2SDbipump,48.85%,252.5%,4780.2%,293,52.1K,335K,139,944,57min,23.25%,0.26%,-,https://t.me/ThoughtfulguySOL,2024-11-20 01:45:37
7,I understand it now,C1ia2bYoa2V9sSGy9S5139nztQy6Uzz4gzYwuCkRpump,118.3%,244.2%,693.1%,228,315.3K,6.7M,702.89,2045,13d,17.81%,0%,-,https://t.me/understandonsol,2024-11-20 01:45:37
8,Caity,CAiTYbs1u1Wu8wgoRGBFdzHpmywmRivUka18czy6Werp,248.7%,248.7%,4979%,92,43K,336.7K,79,114,47s,38.34%,0%,-,https://t.me/caity_community,2024-11-20 01:45:37
9,hop cat,ECZxKmKGEkyKhYUau7WkUE1L9Jp2yLebwX4SnKc1pump,24.38%,126.9%,35.7%,283,229.8K,3.6M,583.74,2675,8d,19.98%,0%,-,https://t.me/hopcatctoxoxo,2024-11-20 01:45:37
10,Do you not get the,BVjmDG31MZpgsmCKZCzvZk9afFW5fY3jnSwRDuPr7qzb,32.61%,1302.2%,1302.2%,129,26.6K,94.8K,80.3,291,30min,24.87%,0%,-,,2024-11-20 01:45:37
11,USElection,4kYaG6hGCuwsj26UJrFoxV4s92WaeaJ3JpbgFm2spump,20.78%,16.88%,16.93%,3,2.1K,113.3K,81.98,431,14d,11.94%,0.83%,-,https://t.me/DogesCommunity,2024-11-20 01:45:37
12,Bronke,8yqYN2NM1SDpmtTqg6erYKaYTbZqRxmuh9LnLyvGMvzL,1.35%,202.5%,202.5%,16,198.8,55.2K,57.22,57,,35.12%,4%,-,,2024-11-20 01:45:37
13,Sushi Moo Deng,EGt2Df56UpUP7uADnRPVgLvU6suwX6RKTEmtHaTypump,14.9%,965.4%,965.4%,51,2.2K,77.1K,72.33,335,54min,23.32%,0.79% Buy More,-,,2024-11-20 01:45:37
14,geekbar,Cf22fQUBsD1HcHpEwayVNaJPxjz6v7N9bPXZaevRpump,13.49%,903.1%,903.1%,37,4.1K,66.1K,64.08,238,47min,25.71%,0%,-,,2024-11-20 01:45:37
15,RizzSkibidiPetuniaSigmaAura69inu,J6qkNGJioam7GR7qgMtic5E2aue6szbuUysdUi2jpump,55.56%,800.2%,800.2%,53,7K,63.1K,58.97,140,30min,29.81%,0%,-,https://t.me/+N4gRwQpxJEs5Njg5,2024-11-20 01:45:37
16,Repeat,zaCHDMpvP1pz65US5mpPk57i6gF2VWEHGdxEUP7pump,3.43%,8.18%,1138.1%,9,617.3,83.2K,76.21,92,1h,31.18%,1.76%,-,,2024-11-20 01:45:37
17,ihopetheyplayfein,8Y9TgC6vbgDGgsqFBY621Xg7BmdTZfYhqyg397hopump,189.6%,215.3%,233.1%,90,28K,175K,75.01,328,35d,28.22%,0%,-,https://t.me/FEINPORTALSOL,2024-11-20 01:45:37
18,Princesscoin,DwcwvMGVefPENFXtZTToj6Vu2FDsM4AiaBpukq7B1HYB,310.1%,1401.6%,1401.6%,207,55.6K,71.5K,55.47,83,175d,39.2%,0%,-,,2024-11-20 01:45:37
19,RENKA,3vn1dudoPuoGJM3wgMGZKCd7TKmaxas32df35nfLpump,15.8%,1224.3%,1224.3%,399,55.9K,332.8K,145.68,1316,36min,11.7%,0%,-,https://t.me/renka_ai,2024-11-20 01:45:37
20,Chill Guy Lester,CBHXXc6RFrEFgEHZKzYH7gHUAw6gTEkohvvjF8M9pump,18.94%,982.8%,982.8%,173,3.5K,75.8K,71.22,78,30min,20.75%,0%,-,,2024-11-20 01:45:37
21,Catfolio,AohbF6AKqzjL5NZF481dQxUGUZnH3ou4xQP6SofdSjup,13.01%,1235.2%,1235.2%,59,8.4K,88.9K,75.16,219,38min,23%,0%,-,,2024-11-20 01:45:37
22,Pudgy Woke,EG7zHDPtmpsD99Z2mWHj3jz2eJ6FYuYAgLRKDjUMpump,54.79%,50.63%,137.8%,54,34.7K,1.5M,274.95,449,23h,27.07%,1.76%,-,https://t.me/PudgySolOwa,2024-11-20 01:45:37
23,Pudgy Woke,EG7zHDPtmpsD99Z2mWHj3jz2eJ6FYuYAgLRKDjUMpump,54.96%,50.81%,138.1%,57,34.7K,1.5M,274.95,449,23h,27.07%,1.76%,-,https://t.me/PudgySolOwa,2024-11-20 01:45:37
24,Pudgy Woke,EG7zHDPtmpsD99Z2mWHj3jz2eJ6FYuYAgLRKDjUMpump,54.89%,50.74%,138%,55,34.7K,1.5M,274.95,449,23h,27.07%,1.76%,-,https://t.me/PudgySolOwa,2024-11-20 01:45:37
25,Pudgy Woke,EG7zHDPtmpsD99Z2mWHj3jz2eJ6FYuYAgLRKDjUMpump,53.53%,50.3%,137.3%,64,34.9K,1.5M,274.95,449,23h,27.07%,1.76%,-,https://t.me/PudgySolOwa,2024-11-20 01:45:37
26,Man In Finance,33p9HMqMiLNRZCsYmdA3UQMQPc31hw7H98r7QPHSjNSU,639%,718.9%,707.7%,64,31.6K,121.2K,42.05,279,170d,29.11%,0%,-,https://t.me/MIF65_chat,2024-11-20 01:45:37
27,cracked,J9r94pCuoBdgV4JJqkKxLRGYArFpQdBxHZFyPWCXpump,70.37%,6604%,6604%,244,90.5K,438.2K,136.04,406,19min,26.5%,0.07% Buy More,-,,2024-11-20 01:45:37
28,TikTok Mascot,G5pBrcDuhjidrsrDUN5MKsGo8mBPG7j8kzsiVoqP5HTV,141.9%,278.2%,1037.6%,101,33.1K,68.6K,38.49,149,20d,33.94%,0%,-,,2024-11-20 01:45:37
29,Looksmaxxing,6tf6zb3iTtGsiKRi693W6n13U7QV7fuTrabBGPU3pump,15.36%,9198%,9198%,226,56.8K,646.6K,214.58,968,49min,19.63%,0%,-,,2024-11-20 01:45:37
30,Eruna,9stKmvvRBK52hQrD1vZRBgtjaQpafy6Tbg2f98UBpump,18.45%,876.4%,876.4%,333,73.6K,242.5K,130.34,714,25min,10.17%,0.04%,-,https://t.me/Erunasol,2024-11-20 01:45:37
31,Who did?,4yNP9V7UKcTybQHjMwCuYdYaBZ1VyGg7NqexQirupump,113.6%,393.9%,783.6%,124,57.5K,589.8K,229.46,660,12d,26.57%,0%,-,https://t.me/god_did_sol,2024-11-20 01:45:37
32,BOOK OF TIKTOK,2kzd9ys6zx4xvpvkp4PnHKwPJgVF2bdwmrwpcgPmpump,4.05%,3336.5%,3336.5%,759,175.5K,260.2K,109.28,751,12min,23.27%,1% Sell Part,-,https://t.me/bookoftiktokportal,2024-11-20 01:45:37
33,TikTok Official Coin,59WtMhHrTe4Sn9gfGNhFD5bQSTLjvykJPT3nTT2Dpump,,,,1086,766.4K,3.1M,611.26,5329,55min,12.68%,0%,-,,2024-11-20 01:45:37
34,Slay,7tZuvUwjw7DBiJ3mn2xPMnhfekrP59GRXVXU4k6cpump,288.7%,2912.7%,2912.7%,201,76.6K,205K,65.22,377,28min,27.53%,0%,-,,2024-11-20 01:45:37
35,Grimace,231Y5yfc5aeajFfqaM5P9WvwqSiMG5CyuwSib9Pbpump,2.74%,2.9%,28.37%,3,270.3,148.7K,102.65,122,8h,10.82%,0%,-,https://t.me/GrimaceTokenSOL,2024-11-20 01:45:37
36,GROK,2YJXBqtWJUXy7hMugezFdzRvFSu9UNvjzWXv9ZeUpump,46.96%,225.7%,225.7%,549,9.9K,725.3K,206.74,219,35d,20.02%,0%,-,https://t.me/grokchronicles,2024-11-20 01:45:37
