row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
0,deepfates,9qU2vTi1iMuUYqYREGFtrSLWBKhDcXuxou6naDBapump,,,,1025,710K,1.2M,333.59,925,30min,22.1%,0%,-,,2024-11-19 01:41:16
1,Crime onchain,7M3gDRgozcumFsiTeXwjB8cYxpg7Q9R7rH7rkw2Fpump,50.86%,26.9%,402.7%,196,60.5K,5.5M,900.54,2495,7d,16.86%,1.54% Buy More,-,https://t.me/crimeonchain,2024-11-19 01:41:16
2,hop cat,ECZxKmKGEkyKhYUau7WkUE1L9Jp2yLebwX4SnKc1pump,53.43%,61.34%,14.46%,105,28.3K,1M,288.56,852,7d,20.82%,0%,-,https://t.me/hopcatctoxoxo,2024-11-19 01:41:16
3,Meme Economy Simulation,MEMEo67vpBz4nUC28uwVWfWvctcVcD1PCgjtrzAXh4f,,,,1007,393.8K,1.1M,294.87,1294,30min,20.15%,0%,-,,2024-11-19 01:41:16
4,BAKKT,Hz4CJCpZky4YD75Zs2R2nBjP5wY6tYbraaT2hVZCpump,,,,2168,909.8K,3.7M,741.28,5354,1h,11.38%,0%,-,,2024-11-19 01:41:16
5,BAKKT OFFICIAL MASCOT,AmwhM9545oQTfbccfaf35PzHonffZRFHhgSsxaECpump,35.72%,7660.4%,7660.4%,454,169K,542.7K,159.09,774,30min,22.42%,0%,-,,2024-11-19 01:41:16
6,Bakkt Holdings Inc,GcH2fy7rKBSucKYwv4Af8SMxdrvqa7deT1zEyMFPpump,,,,,,4.6M,587.53,2802,21min,13.93%,0%,-,,2024-11-19 01:41:16
7,Arie The Sealion,4ZiYgt9nyPXvSfBWADGYHiWnTdnogrFgLTALdFWVpump,252.3%,266.6%,450.8%,,,18.9M,922.84,9213,9d,16.31%,0%,-,https://t.me/ariectosol,2024-11-19 01:41:16
8,Carrot,6kx78Yu19PmGjb9YbfP5nRUvFPY4kFcDKKmGpdSpump,23.99%,62.02%,200.8%,22,15.3K,3.8M,537.14,1579,10d,15.08%,0% Buy More,-,https://t.me/Carrots_portal,2024-11-19 01:41:16
9,Dark PNUT | The Chronicles,5ztN73tntZbv7JC6ZzmEfXmzaUvJm6UEgNjzEfTtpump,17.78%,120.1%,295.8%,189,238.4K,10.3M,918.5,2903,1d,15.96%,0.71%,-,,2024-11-19 01:41:16
10,RatSat,5JwABmJqJpgtYPa1hZrHonWeqUYnzTyQ5bk7B9xGpump,42.12%,624.4%,9963.3%,316,113.3K,1M,249.62,1317,1h,19.61%,0.63% Sell Part,-,,2024-11-19 01:41:16
11,Eliza's Sister,BieefG47jAHCGZBxi2q87RDuHyGZyYC3vAzxpyu8pump,8.37%,91.25%,60.66%,41,11.7K,2M,417.84,787,17d,28.08%,0.97% Buy More,-,https://t.me/elizassister,2024-11-19 01:41:16
12,pmairca,7rRfJ5tdUjFPCWZRyYM7UNnfrpK1dqwzfpMYDknspump,21.72%,173.7%,360.7%,81,66.9K,4.3M,631.73,1076,22d,21.66%,0.6% Buy More,-,,2024-11-19 01:41:16
13,▶︎ •၊၊||၊|။|•,39UTeYte1enkw4PRvuxjEbYVd8AmVEf5r7GU3wzUpump,51.66%,8980.1%,8980.1%,419,159.8K,649K,192.95,1228,31min,17.23%,4.99%,-,https://t.me/JUST10SEC,2024-11-19 01:41:16
14,Advice Engine,F892kxJ9RT3rknZpQFRT1wHZnH6wmEbp8qAqpytepump,61.18%,7671.7%,7671.7%,435,110.2K,552.4K,177.85,1338,42min,15.45%,0%,-,,2024-11-19 01:41:16
