row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
0,Sendor,4dPW2SdbKcTEUiHpQRTWspT78zgS98v5TMhVpGPoPLzq,18.83%,22.39%,58.27%,9,2K,1.6M,321.99,1037,1d,29.28%,4.04% Sell Part,-,https://t.me/SendorSolanaPortal,2024-11-16 05:45:15
1,fip,3pAH2nEZxcZXAvfMUBMPCw58F3c5o2MqKnBzowPHpump,93.02%,669.2%,669.2%,307,13.9K,48.2K,49.51,125,30min,26.55%,0%,-,,2024-11-16 05:45:15
2,Open Satoshi AI,3udZbFn14HaYYL8y7UvN5uCqHSVxif81tUc18JvVpump,89.09%,125.1%,124.2%,38,5.5K,41.2K,47.42,129,19d,25.34%,2.49% Buy More,-,,2024-11-16 05:45:15
3,You’re going back,nrbo9zr4zSqUmsM54cswhzqFBcgmVJgzEaR7DXDpump,9.59%,19.9%,36.34%,4,567.6,18.9K,22.92,48,9h,22.42%,3.69% Buy More,-,,2024-11-16 05:45:15
4,TopProtocol,2icC5NjHcYjmwQjVc8fAhbR1hbu3w9reFGXi2Lxopump,16.36%,59.4%,77.15%,14,6.9K,2.5M,473.88,653,1d,22.5%,0%,-,,2024-11-16 05:45:15
5,CATIME,HYphn685w3NcFsqscYJg741uZLyKWNGdSbuUhJgBpump,56.47%,7493.4%,7493.4%,433,171.2K,482.9K,201.97,1242,35min,20.82%,3.46%,-,http://t.me/catimetravelsol,2024-11-16 05:45:15
6,Bellscoin Mascot,8UDBzN4xHmnE3JSnHhj65q4PPuDJqdvnqYpkjGX6pump,38.93%,284.4%,297.2%,45,2.7K,23.5K,26.15,48,12h,41.13%,0%,-,,2024-11-16 05:45:15
7,Tyson lost,HNKUofd9j4W1wAVqLFRPtT7YadHtCR7AC4ke7N1Vpump,14.22%,234.1%,234.1%,210,9.7K,21.3K,22.71,72,30min,28.65%,0%,-,,2024-11-16 05:45:15
8,Forky,F6KXgwa2cA9Ahp1mZJnrLKNSRTNnv4ayxDiDapn8pump,13.01%,18.45%,64.9%,878,3.3K,303.5K,149.18,263,23h,45.47%,4% Buy More,-,https://t.me/my_forky,2024-11-16 05:45:15
9,goob,74ZnBs4M4q2icYPLKry6RDFhCEKwgYNZAqq5Hxjkpump,52.52%,211.5%,248.6%,71,33.6K,941.6K,258.3,1095,1d,22.9%,0%,-,https://t.me/goobctoportal,2024-11-16 05:45:15
