row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
0,FIRST CAT WITH DOWN SYNDROME,GwWFEiYxvdhUCZzkqKzV1qZbH6aAmGs1SD2SPkFjTc2D,49.47%,1301.4%,1301.4%,276,44.3K,97K,68.78,395,35min,22.71%,0%,-,,2024-11-21 03:38:15
1,EDGAR,55bMMmhJGFyL1A8BNCiGttvBCwYcvs2THrfeyeLbpump,364.5%,361.5%,290.7%,36,19.1K,110.2K,41.74,388,4d,31.65%,1.68% Buy More,-,https://t.me/edgarshitlife,2024-11-21 03:38:15
2,btc 100k$(real,GMrCLQP6XeiJAmJfFj3ApJPwKQt4xusd69rve3Dxpump,59.83%,128.9%,225.3%,96,17.4K,294.7K,121.85,896,1d,26.21%,0%,-,,2024-11-21 03:38:15
3,dog tortured to death,Bxogn1WHZf9NbwLyn23CMZBSKuRcA9W9eV5AqSaopump,,,,459,190K,1.1M,216.19,780,3h,21.99%,0%,-,,2024-11-21 03:38:15
4,divinely protected,GcWVDkoaBWZYW7bBgqCHDiqAmfnwwPxvbusA3s77pump,,,,785,731.7K,2.6M,424.9,1953,5h,19.52%,0%,-,https://t.me/thedivinelyprotectedcoin,2024-11-21 03:38:15
5,21,EzG93Y2AatLFaafrfyqYAkZVhcYNErXKFPTK3LKipump,36.61%,4774.1%,4774.1%,405,101.1K,327K,140.62,708,36min,26.14%,1.76%,-,,2024-11-21 03:38:15
6,Amanda Brandow,4HtMTVNcH3wgeX1ZRT3enLfVbSRqZUY5Snws15n6pump,513.1%,513.1%,513.1%,6,21.4K,157.4K,107.63,78,96d,15.2%,0%,-,https://t.me/redo_sol,2024-11-21 03:38:15
7,PhilB Chill Guy,DUstrGofSPeKfwu6uCHYVzrcnEXmCvmtoEvwhCM2pump,187.5%,7435.7%,7435.7%,1608,598.8K,663.8K,125.38,413,5min,28.49%,0%,-,,2024-11-21 03:38:15
8,FOX Weather's Mascot,BVNqTAiDsnbfhJ14ay8omZKZJtrd278zAR4SjruF44NY,2.41%,982%,982%,3,215.6,76.1K,70.99,113,49min,11.63%,0%,-,,2024-11-21 03:38:15
9,Merv The Cat,J9wmRe2LGupWVVufweBrZxqAuyRLi9tqnseQWavwpump,79.43%,3064.2%,3064.2%,249,99.3K,223.1K,108.33,350,14min,26.19%,0%,-,https://t.me/MervPortal,2024-11-21 03:38:15
10,Chill Pill,CYcrgbDYSXfTSxtRrgnsyQjbxQP9PPGhPN9suzAupump,66.86%,2027.9%,2027.9%,371,50.3K,154.1K,92.15,801,38min,24.9%,1.32% Sell Part,-,https://t.me/chillpillport,2024-11-21 03:38:15
11,Just Like Me Fr,E5bR9oFb8LQvk95Cbz4Lz5tGWq1NMyuf3p7WLQPapump,186.4%,1311%,1311%,113,18.1K,98.7K,61.07,225,32min,24.91%,0%,-,,2024-11-21 03:38:15
12,Just Like Me Fr,E5bR9oFb8LQvk95Cbz4Lz5tGWq1NMyuf3p7WLQPapump,189.9%,1311%,1311%,116,19K,98.7K,61.07,225,32min,24.91%,0%,-,,2024-11-21 03:38:15
13,Just Like Me Fr,E5bR9oFb8LQvk95Cbz4Lz5tGWq1NMyuf3p7WLQPapump,182.4%,1311%,1311%,111,18K,98.7K,61.07,225,,24.91%,0%,-,,2024-11-21 03:38:15
14,Dundus Gladiator2 Monkey,SA32nia2RVzCbyx6BMVZn6UenzYpR6uURGtcitXpump,5.73%,13.46%,22.95%,1,344.8,53.2K,53.37,217,4d,26.15%,0%,-,https://t.me/+5BAzdSY_DRA0Mjdk,2024-11-21 03:38:15
15,Memez.GG,5wboNZ7wBtkCPGR1WgDPW4HKrEeFZyjy6NNqX3fFpump,1.68%,361.2%,361.2%,37,6.7K,62K,57.51,101,35min,12.96%,0%,-,,2024-11-21 03:38:15
16,NeverFade AI,EmEbvjJKqVYhdvCyyuxqEq5Uwxu8ArFqnWgTkdu7pump,36.14%,35.12%,45.59%,16,2.9K,93.6K,71.56,173,5d,29.85%,9.63% Sell Part,-,https://t.me/neverfadeai,2024-11-21 03:38:15
