row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
0,Shiro Neko,45ifTVsV6UN6KsNcFqniaQHaNxkLXL1Ve32Msno4pump,62.57%,313.8%,402.3%,59,8K,166.5K,103,317,4d,42.41%,0%,-,https://t.me/solshironeko,2024-11-17 22:44:21
1,BlackAzzBulla,Dw7XeKfXAWRdmdpsgs4w2MxeYE1b5aeMEvSQEyBqpump,12.2%,29.91%,76.72%,18,1.1K,38.4K,39.47,104,19h,26.28%,1.8% Buy More,-,,2024-11-17 22:44:21
2,licky,9ZK86yVrL1SxVzDuEtC78AUTS8juSSszyiSLkxhSpump,35.92%,576.6%,576.6%,80,10.9K,46.5K,46.66,135,32min,29.01%,0%,-,,2024-11-17 22:44:21
3,ANDREW TATBULLA,EV7L5LmU7LDRKB83G5WKcVSUqBTDiCDoWasCw2wHpump,55.47%,233.6%,255.8%,253,3.4K,24.1K,24.68,83,1h,26.68%,0%,-,,2024-11-17 22:44:21
4,walking dog,AZgwaRTFdLaT1kjpBbu2Xqyt5FyxcLBxYbNxBarMpump,23.55%,52.37%,228.7%,129,4K,21.9K,21.99,111,1h,23.29%,0%,-,,2024-11-17 22:44:21
5,POPO,9hL5DGy5jDzutg2Mz7QijncTGFbPFgutVCRn1qAHpump,178.3%,1031.9%,924.7%,158,10.3K,80.1K,35.8,104,7h,46.97%,0%,-,,2024-11-17 22:44:21
6,ELE the Elephant,HWPUECduQ4XR5qVwNN1MtTTZEyuxGdgoiK2MtMCMpump,10.49%,250.5%,302.2%,194,5.3K,27.9K,31.03,154,1h,27.13%,0%,-,,2024-11-17 22:44:21
7,ANDYCHAOS,FaGU9cdfdRpy3LREbwMzES2pGCNJGKfMYMeDWx8Jpump,36.36%,71.71%,89.8%,19,5.1K,182.7K,111.24,308,19d,29.26%,3.46%,-,,2024-11-17 22:44:21
8,Don't Quit,A4WNERx2tKdei7mZJ1rQ7dPGhjDAUn9BF6rJ1zffpump,14.63%,238%,238%,158,1.4K,23K,26.02,42,41min,29.26%,0%,-,,2024-11-17 22:44:21
9,Number Go Up,37MAoPvBCURdukrM6XAEDfdcwNATmMgsEs13XUompump,259.9%,311%,311%,119,24.4K,28.6K,26.53,67,18d,34.68%,1%,-,,2024-11-17 22:44:21
10,Pablo Hasbullah Escobar,67CaxbAH1f4e4XNfG6JxM57KbaE7cGLxKTvyNFufpump,30.39%,226.7%,226.7%,110,2.7K,22.2K,23.48,79,36d,24.55%,0%,-,,2024-11-17 22:44:21
11,In Da Clerb,7hZH5F6cMWFXS8UdtHk9tbunkNc3MCwLRj1s6JWVpump,109.1%,277.8%,267.1%,107,43.6K,444.5K,142.73,599,13d,19.31%,0%,-,https://t.me/CLERBPORTAL,2024-11-17 22:44:21
