row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
0,Black Friday Coin,7bmwhHrXqznuRarggN2i1PRTKpjatuyTWtkgPgvnpump,50.15%,173%,203.1%,45,2.4K,20.3K,22.31,55,1h,24.3%,2.11% Buy More,-,https://t.me/+0YcEP3UIpNg1NjYy,2024-11-17 22:18:19
1,1 sol 1 dream,2n8VGVMR6b8xEAG4T8q3JX5HfHrPqUwvkayFWzE8pump,11.44%,539.1%,539.1%,13,1.9K,46.2K,49.55,81,33min,35.54%,9.75%,-,,2024-11-17 22:18:19
2,Farmer,8GV1eDzgT2LHDxLy9RWHx9GKanr4SqotqH6traXYpump,23.66%,207.1%,198.9%,143,2.8K,20.9K,23.88,51,10h,32.04%,0%,-,,2024-11-17 22:18:19
3,FWOGGY,5d3k7c7TCiEKGEdg3fzfAbYjQzYQUBDXnrudC8dXpump,205.6%,205.6%,205.6%,40,9.6K,25.5K,21.82,13,4d,44%,0%,-,,2024-11-17 22:18:19
4,send everything cycle,J76j63KU268KH7oeNhUAwWPYC9iNgTDSuwR8RM9Fpump,70%,297.8%,297.8%,112,9.1K,27.4K,30.64,121,30min,22.78%,0%,-,https://t.me/secsolanaportal,2024-11-17 22:18:19
5,Modretro Chromatic,9Pbozj1bgFqdUWHT7VCgp5WcYjYqwz7MgHZ2eiz4pump,289.7%,1196%,2545.6%,123,53.8K,184.1K,109.09,317,2h,34.81%,0%,-,,2024-11-17 22:18:19
6,qnn,5S4nnB9MH7Mq33Bku3UdX3Cv7aH4QAESDyMeDEdwpump,2287.9%,2287.9%,2287.9%,507,162.9K,105.8K,17.59,29,1d,39.53%,0%,-,,2024-11-17 22:18:19
7,Peanut The Squirrel,ccL1kWWsemQtuxdnBz6uivX2RGWs4rGgXuG7F6epump,67.7%,204.3%,2968.6%,22,83.5K,5.3M,499.96,216,4d,18.24%,0%,-,,2024-11-17 22:18:19
8,POPFUR,8EAo1wWkvQZ5AvxrKiQCf1UhHnaWP8xR5TvFCTidpump,26.72%,222.8%,222.8%,100,2.9K,22.2K,21.69,60,35min,27.02%,0%,-,,2024-11-17 22:18:19
9,Non Fren,E3Ayo7gTUdGUhmcS56EaXkdeyaYTSRrRzjzzV2X1pump,662.8%,806.3%,806.3%,138,51.6K,62.6K,50.94,14,1d,34.52%,0%,-,,2024-11-17 22:18:19
10,Popcorn The Painter,BB1yVn4JAwLCeKfYyicgRhyQwJWPXzbnzakNKkEgpump,22.78%,244.1%,244.1%,258,2.7K,23.2K,24.59,55,30min,26.37%,0%,-,,2024-11-17 22:18:19
11,Tucker,2i4yVrkAH66ZekohRra989GoAaDWujVNUaiQFzDZpump,8.88%,133.1%,805.8%,25,9.5K,1.5M,308.24,219,1d,14.12%,0%,-,,2024-11-17 22:18:19
12,qt,B3acSbP8gdqCfhiveW6HZJVNmNZfo5yDBg8RnDVzpump,134.2%,878.5%,878.5%,243,23K,65.7K,66.88,125,30min,24.75%,0%,-,,2024-11-17 22:18:19
13,PNUT DOGE,Ea5syZ1REa5dAzjcjX9NrYoKjadMSqGHSvZAV8vFpump,8.93%,808.4%,808.4%,15,1.2K,228.7K,122.68,220,48min,10.27%,0%,-,,2024-11-17 22:18:19
14,Buck's Coin of Destiny,DSBfvHvZbKHHJXXouwgkp5ixCTttWFSSxxvCimqcpump,99.88%,4028.3%,4028.3%,173,56.4K,272.3K,97.28,362,31min,24.34%,1.76%,-,,2024-11-17 22:18:19
15,BlackAzzBulla,Dw7XeKfXAWRdmdpsgs4w2MxeYE1b5aeMEvSQEyBqpump,12.2%,29.91%,76.72%,18,1.1K,38.4K,39.47,104,19h,26.28%,1.8% Buy More,-,,2024-11-17 22:18:19
16,Shiro Neko,45ifTVsV6UN6KsNcFqniaQHaNxkLXL1Ve32Msno4pump,62.57%,313.8%,402.3%,59,8K,166.5K,103,317,4d,42.41%,0%,-,https://t.me/solshironeko,2024-11-17 22:18:19
