row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
0,In Da Clerb,7hZH5F6cMWFXS8UdtHk9tbunkNc3MCwLRj1s6JWVpump,109.1%,277.8%,267.1%,107,43.6K,444.5K,142.73,599,13d,19.31%,0%,-,https://t.me/CLERBPORTAL,2024-11-17 23:17:02
1,Pablo Hasbullah Escobar,67CaxbAH1f4e4XNfG6JxM57KbaE7cGLxKTvyNFufpump,30.39%,226.7%,226.7%,110,2.7K,22.2K,23.48,79,36d,24.55%,0%,-,,2024-11-17 23:17:02
2,Number Go Up,37MAoPvBCURdukrM6XAEDfdcwNATmMgsEs13XUompump,259.9%,311%,311%,119,24.4K,28.6K,26.53,67,18d,34.68%,1%,-,,2024-11-17 23:17:02
3,Don't Quit,A4WNERx2tKdei7mZJ1rQ7dPGhjDAUn9BF6rJ1zffpump,14.63%,238%,238%,158,1.4K,23K,26.02,42,41min,29.26%,0%,-,,2024-11-17 23:17:02
4,ANDYCHAOS,FaGU9cdfdRpy3LREbwMzES2pGCNJGKfMYMeDWx8Jpump,36.36%,71.71%,89.8%,19,5.1K,182.7K,111.24,308,19d,29.26%,3.46%,-,,2024-11-17 23:17:02
5,ELE the Elephant,HWPUECduQ4XR5qVwNN1MtTTZEyuxGdgoiK2MtMCMpump,10.49%,250.5%,302.2%,194,5.3K,27.9K,31.03,154,1h,27.13%,0%,-,,2024-11-17 23:17:02
6,POPO,9hL5DGy5jDzutg2Mz7QijncTGFbPFgutVCRn1qAHpump,178.3%,1031.9%,924.7%,158,10.3K,80.1K,35.8,104,7h,46.97%,0%,-,,2024-11-17 23:17:02
7,walking dog,AZgwaRTFdLaT1kjpBbu2Xqyt5FyxcLBxYbNxBarMpump,23.55%,52.37%,228.7%,129,4K,21.9K,21.99,111,1h,23.29%,0%,-,,2024-11-17 23:17:02
8,ANDREW TATBULLA,EV7L5LmU7LDRKB83G5WKcVSUqBTDiCDoWasCw2wHpump,55.47%,233.6%,255.8%,253,3.4K,24.1K,24.68,83,1h,26.68%,0%,-,,2024-11-17 23:17:02
9,licky,9ZK86yVrL1SxVzDuEtC78AUTS8juSSszyiSLkxhSpump,35.92%,576.6%,576.6%,80,10.9K,46.5K,46.66,135,32min,29.01%,0%,-,,2024-11-17 23:17:02
10,Disinformation News Network,4Ly3UtD5kbC9o6Xb98AfVCyimhgx2d8YiytZGt7ypump,89.77%,5907.5%,5861.3%,127,74.2K,756.5K,179.51,385,9d,34.02%,0%,-,https://t.me/ddncommunity,2024-11-17 23:17:02
11,TEST,2w79QkjSTZXhMaSUCaWYTA1TPHkWgwo1AsrMpwErpump,107.5%,244%,244%,69,13.8K,23.4K,25.04,50,68d,24.14%,0%,-,,2024-11-17 23:17:02
12,QNN,8DnU5RJJkkD5ip6GhrRxTdMa62Vo1SzWCU4nuXbkpump,3.94%,201.7%,201.7%,241,6.3K,20.4K,21.55,95,39min,24.73%,0%,-,,2024-11-17 23:17:02
13,Longcat,CBW9tWMs2yF7oXLCZpRfGUjyqui5ppEKQ3NrQvjEpump,43.55%,987.6%,987.6%,26,4.4K,83K,76.07,122,53min,21.03%,0%,-,,2024-11-17 23:17:02
14,Baby barsik,FkrpVhugt15Y38fYkBk3LXcjKaaZYSsoAbFQZCsapump,23.17%,35.52%,35.9%,94,2.5K,54.7K,48.47,234,1d,29.09%,0%,-,,2024-11-17 23:17:02
15,VISIONARY,AFbgYZzmEW36RAJgFyoiyQMsgxKP2Gm8sviyB85fpump,45.46%,253.4%,251.3%,250,6.8K,23.7K,22.8,50,3h,28.36%,0%,-,,2024-11-17 23:17:02
16,SMACK,AtVzTp2yyhrb6aS3a2rJkD1a7oKKcp851PJYJkuhpump,11.5%,16.5%,36.53%,4,2.3K,414.7K,174.44,397,9d,30.47%,0.92% Add Liquidity,-,https://t.me/SmackSOL,2024-11-17 23:17:02
17,Non fren,ELLYrCYRVeDm8wJdU8MYwy2CjbzYnMPDg13kpawfpump,283.5%,410.2%,566.1%,90,22.9K,44.6K,36.75,80,1d,31.73%,0%,-,,2024-11-17 23:17:02
18,Havoc AI,8e1mHyvw23YLLi4YjCis9FatFrf9iMNy4sCEEZXYErTD,34.87%,1147%,1147%,107,13.8K,94K,79.01,305,6s,27.04%,9.31%,-,,2024-11-17 23:17:02
19,Shaking CAT,5KR47912g16Rnwz4Zubmxh2qk9db1nNHbj5JJeVBpump,32.62%,232.6%,232.6%,135,5.6K,22.7K,22.87,60,33min,25.51%,0%,-,,2024-11-17 23:17:02
20,BOB,2AkzNQ23RafGboTrPxW9p4D4g4hpY71Jc1pgQ4Ycpump,1270.6%,1068%,1068%,26,19.9K,96.9K,79.01,14,3s,34.27%,0%,-,,2024-11-17 23:17:02
21,chami,BV9m9fzKSSauWzVEHUKSChbYkea2mWntnqW1veybpump,8.89%,26.39%,187.5%,255,1.4K,19.8K,21.9,54,1h,23.43%,0.7% Sell Part,-,,2024-11-17 23:17:02
22,money,JAqc4ksU7wvW9r2eKp6YJjVS5kviLMALSzNAfs8Wpump,43.09%,37.84%,288.9%,37,4.6K,26.3K,27.4,78,6d,28.57%,0%,-,,2024-11-17 23:17:02
23,Pepzard by Matt Furie,GyHoUNNc4wLEN5SjC7Qp3v7qdbHgyWHM7Xox2cnfpump,31.37%,273.7%,3953.6%,190,38.8K,398.4K,168.84,1129,1h,17%,0%,-,,2024-11-17 23:17:02
24,Joe Rogan’s Dog Johnny Cash,8hT5hgzNUG3wC4eFweqiWNquRB1MsbkCBH9NFG4Npump,101.9%,3286%,3286%,452,69.3K,245.2K,95.09,387,14min,28.12%,0%,-,https://t.me/Johnnycashsol,2024-11-17 23:17:02
25,BrahVerse,GgvFJw7eGMwVruF3kTYeuwiTGBx12buZxt6gG6FTpump,1202.4%,1290.3%,1123.7%,326,405K,2M,120.88,1629,15h,15.85%,0%,-,https://t.me/brahversesol,2024-11-17 23:17:02
26,Amazon Mascot,7FYZLgHjq6eUvnGMS1HCGxTy6mqt6D2ZLtyTWr66pump,124.3%,118.5%,251.5%,18,15K,43.3K,50.73,270,17d,28.84%,0%,-,https://t.me/amznpeccy,2024-11-17 23:17:02
27,Divine's Daughter,Aoczm91kv3dVCqbtuEiP9EMwX66yh5JCZtVfgB4Apump,45.36%,228.3%,228.3%,159,7.1K,22.5K,23.17,27,31min,27.17%,0%,-,,2024-11-17 23:17:02
28,Panpu,CZQm8vx5JH3JETyJZevRybuB689QNKJgwafErYKzpump,533.9%,533.9%,533.9%,1,21.2K,25.5K,107.02,199,154d,16.09%,0%,-,https://t.me/PanpuCoin,2024-11-17 23:17:02
29,Plankton Army,FHNVUesDJPYLcGezEpnRpkiAefnKFQNZcW86BmFopump,6.86%,70.32%,141.7%,48,528.9,21.4K,24.01,128,1d,24.51%,0.53% Buy More,-,"https://t.me/PlanktonArmy, https://t.me/+Ao07L6D6MZphODc5",2024-11-17 23:17:02
