name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
OG NETFLIX,CBovMiNTJYTz3FeVhYdX7gTTUpK65M39Je94ubbwpump,148.3%,1314.6%,1314.6%,287,54.8K,96.8K,81.08,363,10min,22.07%,0%,-,,2024-11-16 03:06:29
Whats The CA?,D4rpbSf2abxzYusueUcSmWSgWyMS2S4M9TrVWLjxpump,19.89%,224.4%,224.4%,191,9.8K,23.2K,28.19,116,38min,24.4%,0%,-,,2024-11-16 03:06:29
REAL NO1 TIKTOK MONKEY,3mbP9zqPLLPxJTw52ykeS667Q8JSAZFTztC3xSkJpump,17.43%,1742.1%,1742.1%,476,106.5K,131.7K,94.53,487,17min,20.57%,0%,-,,2024-11-16 03:06:29
LONGO the Peanut Daddy,GtNVtKyKf1YvorDxf9ywbKuxxicsyf2gBZquRDnPpump,8.61%,362.5%,362.5%,77,14.1K,32K,40.63,171,47min,27.54%,0%,-,,2024-11-16 03:06:29
Big Tiddy Goth Girl,8nhyWNA5YJRgWpesRFHpyyAghHvRcegZqRREYg3Zpump,157.4%,243.5%,325.5%,92,9.5K,26.8K,28.85,129,2h,24.9%,3.46%,-,https://t.me/BigTiddyGothGirl,2024-11-16 03:06:29
Mike Tysons Tiger,GfoHBDXoWvEiHy8HVx6xT4ooNe81Gj6LcZoacYfipump,21.12%,217.9%,217.9%,53,6K,19.5K,23.42,57,54d,29.93%,0%,-,,2024-11-16 03:06:29
Solana Mascot,9vHizhLqqpTEhVduy12qL6goNMa4GDguLhhiiDKRpump,67.41%,1995.3%,1995.3%,71,11.5K,128.8K,75.2,295,14min,5.65%,0.26% Sell Part,-,https://t.me/LumioSolana,2024-11-16 03:06:29
FuckDEXX,BMsgyE3R6h1sh9gy1hosg9Zix33J6rpBEgpksf5ypump,50.94%,281.6%,281.6%,37,4K,24.1K,26.04,79,40min,27.78%,0%,-,,2024-11-16 03:06:29
Baby Maya,GzjGh7qPwSahvNJCy1mMWtLn7yT9Di2uF9jbebKdpump,11.92%,19.44%,236.2%,9,1.4K,21.1K,23.61,40,2h,26.9%,3.8%,-,,2024-11-16 03:06:29
BALKIZ THE WASTED BEAR,EeQDYp2bFCiLB4f8UydQ5HbssN6Ek8uFrJqz5fzzpump,17%,140.5%,217.1%,140,1.3K,19.4K,23.1,78,1h,24.39%,0.18%,-,,2024-11-16 03:06:29
Jake Paul,CM7Lsgy5g8zYZDYX6n5smqcLNFMEwQGk3DnrXeryHhns,14.33%,213.8%,213.8%,26,1.8K,20K,24.04,145,,21.31%,4.25%,-,https://t.me/paulversustyson,2024-11-16 03:06:29
CUS D'AMATO,BhCq8LzDi3mUW9eLYwzSVLLUcpJgfi8yMNZ5QDhMpump,27.4%,220.7%,220.7%,329,3.8K,19.6K,23.59,65,47min,27.91%,0%,-,,2024-11-16 03:06:29
Catsaurus 🦖,AmvXgLjeUKWDAzr8c5ieKk5HwBWRP7z3DA5CGkicpump,28.99%,409.5%,409.5%,127,7.9K,32.1K,37.01,131,31min,22.99%,0%,-,,2024-11-16 03:06:29
Gen Wealth,3Y6WbtBHVpNVg8g6Fu1LCRMWx7LyZ272V7GqrAr7m5VW,35.48%,48.61%,60.97%,9,45K,746.2K,248.19,539,11d,27.12%,0.04% Sell Part,-,https://t.me/GrowEntry,2024-11-16 03:06:29
FwogPaulVsPepeTyson,CyXDvZDn8L7ZAr4iJECaW2QzAJ2DJAHQu1Lfy7e8pump,17.63%,1094.7%,1094.7%,40,2.1K,80.5K,79.05,139,30min,33.01%,10%,-,https://t.me/FwogPaulVsPepeTyson,2024-11-16 03:06:29
