row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
0,BrahVerse,GgvFJw7eGMwVruF3kTYeuwiTGBx12buZxt6gG6FTpump,1202.4%,1290.3%,1123.7%,326,405K,2M,120.88,1629,15h,15.85%,0%,-,https://t.me/brahversesol,2024-11-18 00:24:17
1,Abduroziks Cat,39vSxii1Ef3a9sh2mQ5DHY9Cg5ht1BQpUswC9pBzpump,30.44%,291.9%,674.7%,286,121.6K,1.5M,350.76,1346,1d,20.81%,0%,-,https://t.me/murkactoo,2024-11-18 00:24:17
2,AMC Mascot,DaK2dLpGWCEbRBEf3J1dqaHXLi8LMPnk7zovt8xpump,21.55%,1019.2%,682.9%,241,122.3K,2.4M,550.89,2745,17h,15.01%,0%,-,https://t.me/Clip_AMC,2024-11-18 00:24:17
3,DeSci,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,67.15%,250.1%,262%,1151,762.1K,7.9M,798.6,7102,1d,10.44%,0%,-,https://t.me/DeSci_Real_CTO,2024-11-18 00:24:17
4,Joe Rogan's Dog,F4Lyq5tJJGwEo1hhLweQPg6xG1aVKv4SZqAmDBQepump,36.55%,160.9%,2710.7%,263,122.3K,1.1M,265.65,1695,5h,23.16%,0%,-,https://t.me/JoeRoganDogSOL,2024-11-18 00:24:17
5,Just a chill guy,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,22.14%,64.88%,164.7%,77,56.6K,6.5M,719.7,2411,1d,17.76%,0%,-,,2024-11-18 00:24:17
6,Fukupuku,2KchKijPuwnwC92LPWVjFjRwB3WxKtzx9bbXZ7kRpump,36.34%,97.2%,175%,51,36.3K,1.3M,297.75,779,4d,27.41%,0%,-,https://t.me/fukuonsol,2024-11-18 00:24:17
7,PNDA,96jjpsvUefDpFuT7kHBg8ZDtDr3D8tCULULnnSG2pump,15.3%,49.26%,42.31%,8,11.9K,4.1M,601.7,1155,17d,16.9%,1.3% Buy More,-,https://t.me/pndasolana,2024-11-18 00:24:17
8,Satoshi's Willy,4zUmw6iTRhREKZLv1p7mLADrMHXG7XZ78h24fpsMmfQc,9.18%,31.02%,24.29%,11,6.1K,910.7K,246.73,783,5d,32.44%,2.44% Buy More,-,https://t.me/SatoshisWilly,2024-11-18 00:24:17
9,First City on Mars,54Ah6XTV7n27SuFa2sqyz7DSoRmVmFTbB6wbuzqPpump,126.4%,449%,508.7%,705,377.7K,1.3M,323.46,826,95d,26.93%,0%,-,https://t.me/terminusctosol,2024-11-18 00:24:17
10,BAYC1626,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,153.5%,9332.4%,9332.4%,617,209.9K,657.6K,163.21,1221,33min,18.33%,0%,-,,2024-11-18 00:24:17
11,SAMOI,FfYhzJ7j3rrs4m4i1wKy5Bz5aYW8mKEGq2rxChU3pump,122.7%,621%,538.4%,758,609.3K,1.5M,280.69,2136,1d,15.52%,0.04%,-,,2024-11-18 00:24:17
12,MIKA (zerebro gf,7fgkPfcSrv3WHfWegTrT1UFT4XhkNFhYeypyEiqepump,92.08%,285.3%,743.5%,542,219.5K,2M,513.37,1706,1d,25.96%,0%,-,,2024-11-18 00:24:17
13,xing xing,5JcdnWEwuHh1v3SAARq8zH9tEwDQGpaHzBrZ81m4pump,10.49%,59.96%,97.09%,10,8.1K,1.7M,394.36,1273,9d,16.91%,0%,-,,2024-11-18 00:24:17
14,FIENDS,B4zJ6ETHFAu7JCr45gjMdkMY2yigHwxLUWs52iUqpump,99.93%,8202.8%,8202.8%,552,215.7K,580.4K,185.54,1438,35min,23%,3.46%,-,,2024-11-18 00:24:17
15,HYPERBOREAL INFINITY,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,30.48%,25.57%,195.8%,50,25K,2.8M,539.93,1153,17d,20.65%,0.62% Buy More,-,,2024-11-18 00:24:17
16,KEK,2fZTwhbLg3xPquk8CqS3KKYbrNMbhKj7Q5zBKuT2pump,25.44%,73.56%,304.4%,81,23K,2.6M,457.27,1089,34d,18.72%,0%,-,https://t.me/kekcoinonsolana,2024-11-18 00:24:17
17,Pengwin,ARXn3nwwPeGYD3dZWDbtDiDDRTYaW9PXtBKwGjLRpump,9.65%,22.44%,45.3%,6,8.1K,3.5M,503.64,3337,4d,21.89%,0%,-,https://t.me/pengwinportal,2024-11-18 00:24:17
18,DEGEN8BALL,8iQCQd8TwARsBGyB7zUvEQqU3LCWXRFPmaKvyTPytPCP,102.8%,170%,142.5%,11,37.6K,2.2M,358.35,1684,7d,18.08%,1.01%,-,https://t.me/degen8ballai,2024-11-18 00:24:17
19,GnosisGod,Be6mYmT59zuB98hY55aYecnBXRetZvQwe3KSypmbpump,26.56%,68%,729.6%,158,70.5K,2.2M,405.9,1633,1d,17.28%,0%,-,,2024-11-18 00:24:17
20,CIA'S AI MASCOT,9gzA3kSZvB25YwHj4JPfcx473KyZ6ZQZA59D9BiGpump,17.33%,78.01%,133.7%,31,17.7K,2M,413.37,1635,1d,23.9%,0%,-,,2024-11-18 00:24:17
21,ZOA AI,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,3.75%,31.61%,26.06%,60,52.2K,5.2M,858.31,2292,21d,18.56%,2.46%,-,http://t.me/ZOAAIBUNNYGIRL,2024-11-18 00:24:17
22,W / I / B W \ O \ B,5qmL9rCSfZ7pBYAsaoeG8SP76ZELeRCK8XtMmYZvpump,7.87%,60.97%,96.9%,29,8.5K,2.9M,605.72,885,28d,26.5%,0%,-,https://t.me/wibwob_portal,2024-11-18 00:24:17
