row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
0,Packed Lunch,BqCeYWtMDT3rwZCSMygMVNfDB3eAuWNUw8TinpPspump,236.7%,236.7%,236.7%,105,15.5K,23.7K,33.81,57,1min,30.84%,5.43%,-,,2024-11-19 01:41:16,18K,+254.7%
1,ENERGON,4c47HM7ZqV8BgbEgxFRHDxFUMu93szfxMA7jei9vpump,328.4%,516.8%,516.8%,102,13K,42.1K,39.43,73,8min,28.42%,1.93%,-,,2024-11-19 01:41:16,32.6K,+361.1%
2,P Diddys Bird Sacrifice,8CiRpgZwiWg7h2YxgSWi71HSUp1gXJn3Buf8AobQpump,317.4%,317.4%,317.4%,125,42.2K,28.9K,37.2,58,1min,31.47%,0%,-,,2024-11-19 01:41:16,24.5K,+354.4%
3,Kirby's Brother,6rGyqS7WgrdQhcekCcSry26gEMxY9QLNdXkTfBVxpump,277.7%,482.1%,482.1%,107,21.5K,41.7K,52.25,49,17min,26.97%,0%,-,,2024-11-19 01:41:16,30.4K,+275.6%
4,Cobie The Hedgehog,EfnzpDWEq7pLtXi1iJ97cQRXW3mpGb4a1qubm3eTpump,1033%,1033%,1033%,155,52.5K,77.3K,51.85,92,53s,27.65%,1.76%,-,,2024-11-19 01:41:16,59.1K,+865.5%
5,Cortana AI,5QoTG1HiN6aqZj8tkyBFNtWn41ivYUf5g8daKRTFyc73,401%,401%,401%,123,48.8K,35.4K,22.89,71,55s,33.27%,0.37%,-,,2024-11-19 01:41:16,20.8K,+294.8%
6,hedgehog,GkbGrdjnQ8W2Gkmzcqm48soidYmcXFoNmGwrd9tF7hiu,247.5%,247.5%,247.5%,259,56.8K,25.7K,25.68,61,1min,17.21%,0% Sell Part,-,,2024-11-19 01:41:16,17.2K,+233.1%
7,Hasbullah's Inu,DtmTnfUxseJCfkjpE6euxmUPwNJQE5F8nAWGq2q8pump,482.8%,482.8%,482.8%,102,13.6K,40.5K,42.16,109,54s,42.18%,3.46%,-,https://t.me/hinu_coin,2024-11-19 01:41:16,33.6K,+482.9%
8,HOOPS,BJhnejFNSCqfdnJ3CmVLBUk6bDyupzDTusGFpsUBpump,52.24%,782.4%,782.4%,88,4.7K,62.9K,62.03,53,5min,45.65%,0%,-,https://t.me/hoopsonsol,2024-11-19 01:41:16,55.9K,+783.9%
9,LAMINA1,3eyq4g981ecJfyjvYRtVfMkJNQdNKEpiT15cJEPVpump,315.5%,315.5%,315.5%,195,69.6K,32.5K,8.55,50,3min,31.86%,0%,-,,2024-11-19 01:41:16,24.7K,+315.4%
10,Sago New Tsushima wildcat,9ckER33dUVYMc1Mo8JaYjeXpvxszRTpGUZ1d5SPypump,257.7%,257.7%,257.7%,111,19K,24.8K,25.34,59,2min,27.76%,0.02% Buy More,-,,2024-11-19 01:41:16,17.3K,+248.6%
11,boog,9kJv7QwJv1cFnML1zGSHSu4eQ2hNRTE1Jpw1epmqcDp,309.8%,309.8%,309.8%,174,53K,29.8K,20.08,53,2min,23.9%,0%,-,,2024-11-19 01:41:16,15.2K,+209.7%
12,Foxium,5xK5ry8yBrPqmPUEYR3H7uH5bSFiGTxuyA4UTxcYpump,494.4%,494.4%,494.4%,102,13.6K,41.1K,43.24,187,56s,14.62%,1.81%,-,https://t.me/thefoxium,2024-11-19 01:41:16,33.7K,+488.2%
13,Cortana AI,5QoTG1HiN6aqZj8tkyBFNtWn41ivYUf5g8daKRTFyc73,363.4%,1257.4%,1257.4%,284,43.5K,96K,84.67,145,8min,22.23%,0%,-,,2024-11-19 01:41:16,72.1K,+306.4%
14,DEX,9KpAptZp6pLaTc5qJk3ZUc1yoi35dnTsZudUS5VdLXp,253.2%,253.2%,253.2%,178,50.7K,25.6K,25.05,26,2min,37.39%,0%,-,,2024-11-19 01:41:16,18.3K,+253.2%
15,Ants of Empires,5ZjBJV3LPRkz37jDMBNWoynWDpYnZEAsCzHeyA94pump,728%,728%,728%,114,22.5K,57K,46.15,67,3min,30.69%,3.06%,-,https://t.me/Ants_of_Empires,2024-11-19 01:41:16,48.1K,+698.7%
16,P diddy's bird,Db37FNnsZayVexsDVKH2DVnyT7VcmH1X84A4X4fipump,162.6%,191.3%,191.3%,234,12.2K,23.5K,23.32,52,9min,27.18%,0%,-,,2024-11-19 01:41:16,15.7K,+202.1%
17,Cookies Kingdom,Av151PZ26qZtvtC8ntj5phgpVjS7BMD328Jgkbpbpump,493.8%,493.8%,493.8%,117,10.6K,41.1K,42.9,136,57s,29.78%,3.12%,-,https://t.me/CokinfunPo,2024-11-19 01:41:16,33.9K,+489.9%
18,Pliny the Liberator,9GSdeoZrpWrDWQhP3rL8MuJ1vpqH5ai7QTkcKLiVpump,382.3%,382.3%,382.3%,102,28.8K,43.1K,38.49,58,4min,28.11%,0%,-,,2024-11-19 01:41:16,32.9K,+368.5%
19,npcs,6cVVkYchorBCufiEsE9Z3fTFiZE32bzee4dCa2Xnpump,202.5%,202.5%,202.5%,102,21.2K,22.3K,30.74,55,2min,34.14%,0%,-,,2024-11-19 01:41:16,16K,+217.9%
20,GARF on SOL,6L8JvFMqSqXe491FrAPTg6wGxS6zF582A8U42YVXpump,484.2%,484.2%,484.2%,119,10.4K,40.3K,42.54,107,1min,42.18%,3.46%,-,,2024-11-19 01:41:16,33.1K,+479.3%
21,early retirement,4qSBBM46EFNHSSeSLXLLEnpa5AAjmRhNbdpUEfytpump,242%,242%,242%,132,10.9K,25.1K,24.24,39,2min,24.44%,0%,-,,2024-11-19 01:41:16,17.4K,+237.1%
22,🧙‍♂️Code Wizard AI,HdA5QdVUvVYdBPwkcHZzjCawysvKBmWxviHhYv5cpump,334.8%,334.8%,334.8%,128,33.8K,30.2K,36.7,71,2min,28.8%,0%,-,,2024-11-19 01:41:16,36.7K,+528.5%
23,TSOLARIS,Ci5LzsoUF23yaTZpSpQD8sEsodv5kc4ePu13ge6Kpump,770.7%,770.7%,770.7%,106,16.4K,61.6K,60.56,48,4min,45.65%,0%,-,https://t.me/solarisofficial,2024-11-19 01:41:16,53.9K,+761.5%
24,Sister Yurei,CPHtbY4cnPd2AozP3u3GPprongCR7RtpCcEL1Vr3pump,323.5%,323.5%,323.5%,145,40.2K,29.2K,30.82,74,58s,31.19%,3.46%,-,,2024-11-19 01:41:16,22.7K,+329.7%
25,npcs,6cVVkYchorBCufiEsE9Z3fTFiZE32bzee4dCa2Xnpump,335.3%,1157.2%,1157.2%,416,82.2K,92.5K,74.69,212,7min,22.76%,0%,-,,2024-11-19 01:41:16,64K,+287.2%
26,DON'T FADE CRYPTO,AKuRQTSBT6AE3oskgJCs3fBAvFxmAFh4FNreRmwnpump,406.7%,406.7%,406.7%,104,39K,37.2K,41.07,45,1min,35.06%,9.75%,-,,2024-11-19 01:41:16,32.1K,+436.9%
27,npcs,HSD6z53jtpyeauB6pWZCwMgYTLqKz37ch5Vszv7bpump,271.2%,271.2%,271.2%,143,62.7K,26.5K,23.69,77,1min,30.98%,0%,-,,2024-11-19 01:41:16,17.2K,+241.7%
28,Quantum Science Research,7iPky1HnKcpxY7GCZEzxS3SaNx2Sa73qYoA6U6Zupump,462.8%,462.8%,462.8%,134,42.3K,39.5K,62.13,59,58s,38.54%,5.11%,-,,2024-11-19 01:41:16,49.6K,+707.1%
29,DOGEai16z,F119fYWDYA96fcKDWE9dHiE7JNSWpyjx5qt77D7sMkZE,278.2%,278.2%,278.2%,104,28.3K,26.6K,29.96,60,1min,38.14%,0.37%,-,,2024-11-19 01:41:16,20.3K,+288.8%
30,Bag Of Memes,8SDfFNiJwZ2SxYv4SXmJt6XyA3neZbtgfR5UfsJEpump,502.5%,1146.4%,1146.4%,114,32.8K,87.3K,55.57,47,9min,32.04%,2.55% Sell Part,-,,2024-11-19 01:41:16,70.5K,+486.4%
31,SHE,7QbYV2eomzrZLMXVE7WoskNQnYCi15abZTN9wwzdsJs2,256.5%,256.5%,256.5%,133,23.5K,24.6K,20.28,64,4min,35.15%,3.22%,-,,2024-11-19 01:41:16,17K,+247.1%
32,Kirby's Brother,DFVBTnvQi4t9EzB5pf5UjUjfDCcvLcrF2dR1oF5ipump,235.6%,347.3%,347.3%,167,17.1K,31.5K,25.72,17,10min,27.38%,0%,-,,2024-11-19 01:41:16,22K,+234.1%
33,npcs,HSD6z53jtpyeauB6pWZCwMgYTLqKz37ch5Vszv7bpump,87.27%,221.9%,221.9%,104,22.2K,22.9K,46.47,62,7min,33.15%,0%,-,,2024-11-19 01:41:16,29.7K,+212.9%
34,Cannabis,2GsJuRGrGt7soUNhLpVUdhy1QrhLPQJSQf5ytJMtpump,14.01%,14.01%,14.01%,187,17K,8.3K,16.95,20,2min,26.61%,0%,-,,2024-11-19 01:41:16,16.5K,+228.5%
35,adDICKted,HVret9Cm9jfFVRTxAAVLKhqQpi3TeK43rrRKMmJ3pump,732.9%,732.9%,732.9%,109,15.4K,59.1K,58.57,74,2min,45.65%,0%,-,https://t.me/+2siQea1gpogyNjcx,2024-11-19 01:41:16,51K,+719.2%
36,LABUBU,CDe6P84XZLTVkUfpWB1sxjRXYPJdHCUGvy34jqpGpump,514.2%,514.2%,514.2%,126,10.9K,42.4K,44.02,159,1min,26.05%,0.02%,-,https://t.me/labubuonsuiportal,2024-11-19 01:41:16,34.1K,+494.1%
37,Keep going,4BujPjcdTBAtw5bLc3YiQWiAU5443MuLXfHkEjBypump,228.5%,293.1%,293.1%,110,12.5K,27.2K,27.49,58,5min,23.3%,3.46%,-,,2024-11-19 01:41:16,18.1K,+220.2%
38,Pooch,2cfsMVEFZ7hq1AhcPmJBXwEtCoKMfCsMSRXz97uzpump,235.1%,235.1%,235.1%,218,153.8K,23.2K,25.41,51,3min,28.22%,0%,-,,2024-11-19 01:41:16,16.3K,+235.1%
39,Griff,BhMQhVJw2g47GAEeHJHTCW5SD3pqCywWRrrFs7e2pump,198.5%,198.5%,198.5%,202,22.9K,21.3K,17.38,81,3min,26.52%,0%,-,,2024-11-19 01:41:16,16.7K,+233.2%
40,⬛️⬛️⬛️⬛️⬛️,6BqKGwaVdyjBWtrduGerN6EbBVfTnGwE3vJuhfvpump,821.8%,821.8%,821.8%,115,44.3K,64.8K,74.43,168,2min,14.7%,5%,-,https://t.me/blackemojisol,2024-11-19 01:41:16,55.1K,+783.7%
41,🌀,2k3pChziHPd1ZJPRFC7aLdo1ht3JbyXa5YK9cy1bpump,255.6%,255.6%,255.6%,108,19.7K,24.6K,26.02,27,5min,29.12%,3.46%,-,,2024-11-19 01:41:16,17.4K,+251.8%
42,LazyCoin,FsdvzmiygRPUyicnz2NDXTAKLxxkBYZVy4x5c1jvpump,489.1%,489.1%,489.1%,106,10.6K,40.9K,42.96,191,50s,11.08%,0.14%,-,https://t.me/LazyCoinLZY,2024-11-19 01:41:16,33.1K,+476.8%
43,Griff,BhMQhVJw2g47GAEeHJHTCW5SD3pqCywWRrrFs7e2pump,286.3%,836.4%,836.4%,623,108.2K,66.9K,62.8,301,8min,23.1%,0%,-,,2024-11-19 01:41:16,52.7K,+256.9%
44,OOGI,JAnWm6RGvwNEcqx2UTDNkmVgvuk3YtgvYgUZjKGhpump,251.6%,251.6%,251.6%,102,22.9K,47.1K,49.4,73,4min,53.26%,45% Sell Part,-,,2024-11-19 01:41:16,33.5K,+250.1%
45,Cashew,4d1SuWNASwoiyXbc1FxBE7GuTdyJiaXdbakJ4okjpump,474.9%,474.9%,474.9%,126,10.3K,39.8K,42.7,132,58s,36.77%,3.46%,-,https://t.me/cashewsol,2024-11-19 01:41:16,32.8K,+473.6%
46,zerebra,7spbe3oyVvwm2EXHB69mQuj1myedbEjr5w991TndkyuA,206.2%,206.2%,206.2%,103,17K,22K,24.26,61,2min,33.66%,2.15%,-,,2024-11-19 01:41:16,14.8K,+206.2%
47,Neuro,2UYd76agnSma3ShBoXX1Dkk9JgBkxG2SduYkzaZFpump,493.7%,493.7%,493.7%,105,23.1K,46.5K,43.69,67,4min,26.93%,0%,-,,2024-11-19 01:41:16,38.2K,+488.1%
48,Trench demons,rQkxAn3pAybt6mPFwioUv3csW2a5jFa9Wy4sEDhpump,225.4%,225.4%,225.4%,149,17.1K,22.4K,15.73,99,2min,18.53%,0%,-,https://t.me/trench_demons,2024-11-19 01:41:16,15.2K,+220.9%
49,titsai,Do9iZ2EJwPgcKN6uvktHRoE3VQTBQMcZPbvuKRDZpump,135.9%,216.9%,216.9%,100,7.8K,23.4K,27.61,38,5min,32.83%,9.75%,-,,2024-11-19 01:41:16,16.2K,+220%
50,Lesters's dog,CiCsHHor2Z7DVqL7VrfZso3nWs3UE4Y2ap5b2zfYpump,632.3%,632.3%,632.3%,113,20.5K,51.6K,27.13,80,1min,34.38%,5.43%,-,,2024-11-19 01:41:16,33.1K,+469.8%
51,Larp,3KjvcqBw9t33RsNDR94CeA3BzBENvXYJguPmHPPycPSc,236.3%,236.3%,236.3%,116,25.4K,23.7K,21.95,68,1min,31.71%,0.37%,-,,2024-11-19 01:41:16,16.1K,+228.1%
52,BUY THIS COIN,92tpV7HiQMnedqHACedeLeRvNf2jcdwwFo9df1Wopump,200.3%,319.2%,319.2%,109,14.4K,37.5K,40.99,46,6min,49.9%,0%,-,,2024-11-19 01:41:16,25K,+200.4%
53,Legen wait for dary!,FdNcTrfz1JdS7m7nWy4T8xXEmjbXi1fwoD5VEqc5ks38,219.1%,219.1%,219.1%,116,27.3K,22.5K,24.27,62,1min,32.37%,0.37%,-,,2024-11-19 01:41:16,19.2K,+272.9%
54,MOODENG,BwxB5ubzbUxt3xscSBtVt8oNmGFPJZfTgfKqb2BNpump,524.7%,524.7%,524.7%,172,11.1K,43.2K,44.03,195,1min,9.44%,0.12%,-,,2024-11-19 01:41:16,35.9K,+519.3%
55,TRENCH KOMBAT,AfP8gneVGf5dhbNLXwvUhqRwDsCUBG9J6PKG7Aq9pump,247.2%,247.2%,247.2%,109,21.4K,24K,22.49,62,3min,37.11%,3.46%,-,,2024-11-19 01:41:16,17.1K,+247.6%
56,Herm,G7bG8c1b5tvgimkrUnWNA28kfWDQzVMSoosoWmaocxCi,192.9%,192.9%,192.9%,109,21.5K,20.4K,32.59,59,2min,30.47%,4.29%,-,,2024-11-19 01:41:16,16K,+230.1%
57,Taylor,CtwDYpLZe9fPZJBTaVaeiLjYS1Uadg56xJ635fXQpump,482.5%,482.5%,482.5%,102,14.7K,40.3K,43.21,134,1min,31.11%,0.03%,-,https://t.me/TaylorOnSolana,2024-11-19 01:41:16,33.4K,+482%
58,zerebra,7spbe3oyVvwm2EXHB69mQuj1myedbEjr5w991TndkyuA,515.2%,1206.5%,1206.5%,102,39.7K,93.9K,70.86,54,15min,47.72%,2.15%,-,,2024-11-19 01:41:16,78.6K,+515.2%
59,Shitcoin,2qFCGMBasfE6a3q6W2TTkwvPQ5J2AYAaCom2HqF5pump,793.4%,793.4%,793.4%,108,15.7K,63.6K,61.14,64,3min,45.65%,0%,-,https://t.me/justashitcoin,2024-11-19 01:41:16,55.6K,+781.4%
60,locked in dog,EoiXQFxX9bYHm1rWd7Mqh3573djmxwcVQw3E6zGvpump,233.7%,233.7%,233.7%,162,44.2K,23.9K,23.61,59,2min,36.47%,0%,-,,2024-11-19 01:41:16,16.2K,+225.9%
61,titsai,Do9iZ2EJwPgcKN6uvktHRoE3VQTBQMcZPbvuKRDZpump,201.8%,734.7%,734.7%,108,27.1K,61.6K,60.52,85,16min,35.23%,9.75%,-,,2024-11-19 01:41:16,42K,+214.7%
62,Māori Haka,G268Rh7bnxFXxhXyQxjsjeCsqJ14DogZQ3GNydPHpump,372.1%,372.1%,372.1%,106,31.7K,31.9K,28.09,54,1min,40.27%,0.85% Buy More,-,,2024-11-19 01:41:16,25.5K,+378%
63,KONG,7Mu1Ui8btrB6UUsrQZ3Pxtj3LWPWiPCJJTW3ttDMpump,485.4%,485.4%,485.4%,126,10.5K,40.6K,42.88,149,50s,36.82%,2.37%,-,https://t.me/kongavax,2024-11-19 01:41:16,33.6K,+484.7%
64,Kurami,D2vMqPgMEkFpVpPWKnbTUPCyMdtvJxEQGzV4he2zpump,417%,661.5%,661.5%,101,24.8K,68K,72.69,57,8min,34.52%,0%,-,,2024-11-19 01:41:16,54.9K,+417%
65,Vitalik With Moodeng,CRxZTrw8tfuQR2qpwXmRwDtCHcvSP1nvsPKbB4G4pump,836.1%,836.1%,836.1%,116,25.7K,64.9K,35.93,90,1min,48.87%,3.46%,-,,2024-11-19 01:41:16,54.3K,+782.5%
66,EXO AI,3aq7kSBU2AtJTkZ74a3iEV15JmwRSxqLiwpGhE8gpump,269.2%,269.2%,269.2%,103,27.1K,26.1K,29.78,61,1min,32.54%,5.11%,-,,2024-11-19 01:41:16,19.3K,+272.8%
67,Rio,AcYtkHXpg8G9zxsYjAyBJsHYHSCRBAZX1dbQZGTPfvgP,996.5%,996.5%,996.5%,101,17.5K,77.1K,70.1,73,4min,42.67%,0%,-,,2024-11-19 01:41:16,70.1K,+996.5%
68,The Best Investment,36phDfL7UCaGTK2Ki4PooSrEGNSrowFBZN6fbzrzpump,255.5%,255.5%,255.5%,127,28.1K,26.3K,14.46,62,50s,29.03%,0%,-,,2024-11-19 01:41:16,15.4K,+208.3%
69,Pepegorian Theorem,A8PGTiT3rcAq8wtDpmwgX3nPNQqcLi4SENryEzyVpump,162.7%,162.7%,162.7%,113,13.6K,18.9K,15.19,38,1min,28.37%,0%,-,,2024-11-19 01:41:16,14.5K,+202.3%
70,Diamond DOGE,8MomcLsvCRzioN99wDqaJurYHuLSPvqhXEAuRHLxpump,496.1%,496.1%,496.1%,117,10.7K,41.5K,43.38,175,36s,20.14%,1.85%,-,,2024-11-19 01:41:16,34.4K,+494.2%
71,my homie's asshole,6uKf9kVo3ByMhiQDgqMYr8vvrwFRwmcUkGR2r8rLpump,353.6%,353.6%,353.6%,189,21.8K,31.2K,15.86,19,3min,34.89%,0%,-,,2024-11-19 01:41:16,22.4K,+325.9%
72,Cat Makes,Ah5bQ2H9eWCf9thD6bHRRfsCx6vEFrWaoEmCAUJApump,221.8%,221.8%,221.8%,190,19K,23.1K,10.53,35,4min,25.42%,0%,-,,2024-11-19 01:41:16,15.4K,+214.8%
73,Memeus Maximus,G9sEZnmzJ2Qk2vg2EbesWYdpWGAB2QaJFGsT72Xic9SH,458.2%,458.2%,458.2%,125,33.5K,40.1K,27.5,85,53s,35.67%,6.8%,-,,2024-11-19 01:41:16,35.5K,+494%
74,Woman = Problems,6yezxNAWhXV1aiyp2Lb8WzGN2MBy9DbC2hRgBtAZxtzt,810.3%,810.3%,810.3%,107,16K,64.3K,59.7,75,3min,42.67%,0%,-,,2024-11-19 01:41:16,55.2K,+782.7%
