row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
0,Pepzard by Matt Furie,GyHoUNNc4wLEN5SjC7Qp3v7qdbHgyWHM7Xox2cnfpump,131.7%,352.4%,352.4%,281,36K,44.5K,45.55,110,9min,23.78%,0%,-,,2024-11-17 22:44:21,31.1K,+257.1%
1,HEGE,35dtxFoTaf1KFujYvxghiU7Qi9GwMkgfBUvuuuWwpump,723.3%,723.3%,723.3%,109,15.1K,57.1K,56.37,66,2min,45.65%,0%,-,https://t.me/hegeonsolana,2024-11-17 22:44:21,49.6K,+714.9%
2,CZience,5U6eoMCY66pP6Md47vy7tVErC5vLAkyMQRxDDnupump,455.6%,455.6%,455.6%,162,56.3K,39.9K,41.41,90,51s,33.59%,0%,-,,2024-11-17 22:44:21,27.2K,+379.1%
3,CULT OF CTHONIA,EpWE18zk26yptqSoKGqk2Lm8Cp8YWpzL257tuWWRpump,444.3%,444.3%,444.3%,101,40.9K,54.6K,50.91,66,2min,27.27%,0%,-,,2024-11-17 22:44:21,44.8K,+446.7%
4,Cult,GkhQ62PJ9YakARBY5cpjZ57zFKdUfZ4BVLVnwdChpump,978.5%,978.5%,978.5%,124,34K,80K,60.74,71,2min,57.28%,12.62%,-,,2024-11-17 22:44:21,72.7K,+980.5%
5,CZ SCIENCE,XmmJxxQGC9dBvDDV9gQ9ztwLfup7viez3CG9Mcwpump,477.5%,477.5%,477.5%,105,37.5K,54K,60.1,59,2min,32.33%,0%,-,,2024-11-17 22:44:21,44.7K,+477.5%
6,BABYBWONK,47714SMBMe7XfWpmqWyF8Rmgb1n4FJdk4scnCFfPpump,512.1%,512.1%,512.1%,124,10.9K,41.2K,45.35,184,2min,9.72%,0.05%,-,https://t.me/BabyBwonk,2024-11-17 22:44:21,34.4K,+510.9%
7,KABA,6gys973B7Wn6Teu5rmbCzs3BoA8YWb47p1yCnDSYpump,228.8%,353.6%,353.6%,184,24.7K,29.8K,30.06,20,11min,23.78%,0%,-,,2024-11-17 22:44:21,20.3K,+223.9%
8,🔥,4AfzZ7Z7AqrBDiF2RhmMX1Gdhp73kddvy3frBpnspump,236%,236%,236%,103,38.5K,33.6K,29.39,63,2min,26.78%,0%,-,,2024-11-17 22:44:21,21.7K,+216.9%
9,you’re not sick,A1bgzHAjzwBYdMWdkVwnNTNg8GPqbxtgKnRfyv9bpump,368%,368%,368%,121,36.8K,31.1K,27.35,55,2min,34.31%,1.76%,-,,2024-11-17 22:44:21,17.6K,+264.9%
10,Magic 8-Ball,PpythPY6dfi9mr4dGnRPb2MA4U3SWf9smYMco25JLMP,170.2%,170.2%,170.2%,182,72.6K,19.6K,36.1,61,1min,24.66%,0%,-,,2024-11-17 22:44:21,15.9K,+219.4%
11,HAYES,G4qhk2xjNdG1fp19KpQwNjySpgk8hHQ2nKMMmaygpump,1278.3%,1278.3%,1278.3%,113,52.2K,95.6K,34.75,78,1min,42.01%,6.07%,-,,2024-11-17 22:44:21,88.7K,+1278.3%
