row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,message_timestamp,timestamp,fdv_surge_amount,fdv_surge_percent
0,Terminalius Maximus,PZkZdFmVQbP41q2JKDim7ytnUzTscrvBz2zMH6fpump,38.8%,37.83%,357.9%,1261,633.8K,5M,707.49,30790,6h,3.78%,,-,https://t.me/baron_on_solana,2024-11-24 04:05:15,2024-11-24 05:13:18,1.4,+38.8%
1,Meffy,84kZchrTycmQxKnM2epXCXZJEA5LULEzQeRErzQp5qeW,34.31%,-7.69%,-36.8%,722,298.5K,7.4M,786.75,20698,14h,1.01%,Add Liquidity,-,https://t.me/Meffy_Portal,2024-11-23 21:24:35,2024-11-24 05:13:18,1.9,+34.31%
2,Meffy,84kZchrTycmQxKnM2epXCXZJEA5LULEzQeRErzQp5qeW,30.55%,5.36%,-46.72%,533,281.3K,10M,964.83,19815,13h,1%,Add Liquidity,-,https://t.me/Meffy_Portal,2024-11-23 20:40:57,2024-11-24 05:13:18,2.3,+30.55%
3,Pudgy Penguins,9rjESGZY2QGJ7B5Vn9WsbYadNsmysznqAfBDJrpAbabr,35.5%,-29.49%,-74.08%,679,92K,1.3M,288.12,15474,18h,2.14%,Add Liquidity,-,https://t.me/Pudgy_Penguins_Portal,2024-11-23 09:04:41,2024-11-24 05:13:18,319.3K,+34.34%
4,Pudgy Penguins,9rjESGZY2QGJ7B5Vn9WsbYadNsmysznqAfBDJrpAbabr,37.72%,-30.92%,-90.52%,518,226.4K,9.1M,807.96,14401,11h,1.92%,Add Liquidity,-,https://t.me/Pudgy_Penguins_Portal,2024-11-23 02:30:41,2024-11-24 05:13:18,2.5,+37.72%
5,Chillpepe,8yUKwk1gN3U8v9rRPgn24D9ifo3ksy8pnx62qNgqbcvh,32.31%,-7.74%,-79.03%,488,65.5K,491.4K,399.35,8374,20h,1.7%,Add Liquidity,-,https://t.me/Chillpepe_Portal,2024-11-22 16:05:49,2024-11-24 05:13:18,132.3K,+36.53%
6,Chillpepe,8yUKwk1gN3U8v9rRPgn24D9ifo3ksy8pnx62qNgqbcvh,28.86%,22.46%,-27.77%,607,152.7K,2.7M,868.97,8521,14h,3.22%,Add Liquidity,-,https://t.me/Chillpepe_Portal,2024-11-22 10:26:02,2024-11-24 05:13:18,625.7K,+30.44%
7,Chillpepe,8yUKwk1gN3U8v9rRPgn24D9ifo3ksy8pnx62qNgqbcvh,32.75%,-11.52%,-41.96%,641,139K,1.7M,683.72,10008,13h,3.34%,Add Liquidity,-,https://t.me/Chillpepe_Portal,2024-11-22 09:00:43,2024-11-24 05:13:18,428.4K,+32.75%
8,Doomer Pepe,8PgjwaRBDhY2ApcAPMK2av3ToG8RvtNR8CYtDtm5Bt64,36.84%,67.19%,26.71%,507,266.5K,7.9M,952.79,22216,16h,1.89%,Add Liquidity,-,https://t.me/Doomer_Pepe_Portal,2024-11-22 06:42:27,2024-11-24 05:13:18,2.1,+37.15%
9,Chillguywifhat,BnXjHFohXfbdCUtQTQYTfNxCdvYr88Tj6NpWnvsVvtNH,30.73%,4.91%,-46.14%,550,231.1K,519.1K,876.07,3919,10h,3.82%,Add Liquidity,-,https://t.me/Chillguywifhat_Portal,2024-11-22 06:35:39,2024-11-24 05:13:18,122K,+30.73%
10,CHILL STEVE,9yfTr7qNbbHHHKsecmSMwPZHU5ixNVzK1XpZY2Npump,44.75%,-6.7%,7457.8%,822,640.7K,812.5K,306.89,16776,4h,2.79%,,-,https://t.me/CHILLESTEVE,2024-11-22 04:24:59,2024-11-24 05:13:18,251.2K,+44.75%
11,Chillpepe,8yUKwk1gN3U8v9rRPgn24D9ifo3ksy8pnx62qNgqbcvh,48.73%,-26.51%,-60.09%,530,177.1K,2.3M,665.75,11792,8h,2.91%,Add Liquidity,-,https://t.me/Chillpepe_Portal,2024-11-22 04:13:53,2024-11-24 05:13:18,764.2K,+48.73%
12,Chillguywifhat,BnXjHFohXfbdCUtQTQYTfNxCdvYr88Tj6NpWnvsVvtNH,30.93%,-39.42%,-67.77%,621,232.4K,428.1K,769.17,2795,8h,2.59%,Add Liquidity,-,https://t.me/Chillguywifhat_Portal,2024-11-22 04:08:02,2024-11-24 05:13:18,101.1K,+30.93%
13,Doge AI,HdQFfbuEyR6zYDet9ivQRB8QnSqvLjTj8PfoYF4HCuo8,368.5%,5294.6%,5294.6%,501,313.9K,1.4M,419.89,827,11min,3.64%,Add Liquidity,-,,2024-11-22 02:44:45,2024-11-24 05:13:18,1.1,+368.5%
14,TikTok Talking Husky,5R6m74xGVoXsNoWs1ZWg881KFV6eQ4C1uzC78VyJpump,30.17%,110%,-70.38%,786,196K,3.3M,518.83,14606,7h,3.67%,,-,https://t.me/MEEKAPORTALSOL,2024-11-21 19:04:40,2024-11-24 05:13:18,772.8K,+30.17%
15,SINNER,B3PFb4QiZghdB5EEmZtN9VcjVkMLZXpHP9C9EZwCUXdG,49.67%,72.34%,-71.73%,513,166.7K,1M,691.9,6600,16h,2.57%,Add Liquidity,-,https://t.me/SINNER_Portal,2024-11-21 12:28:36,2024-11-24 05:13:18,333.5K,+49.67%
16,SINNER,B3PFb4QiZghdB5EEmZtN9VcjVkMLZXpHP9C9EZwCUXdG,36.89%,-55.89%,-81.4%,609,316.8K,759.2K,505.75,6205,15h,3.2%,Add Liquidity,-,https://t.me/SINNER_Portal,2024-11-21 11:34:06,2024-11-24 05:13:18,218.5K,+37.47%
17,SINNER,B3PFb4QiZghdB5EEmZtN9VcjVkMLZXpHP9C9EZwCUXdG,30.61%,17.07%,-70.23%,535,167.9K,2.5M,914.91,7624,12h,2.1%,Add Liquidity,-,https://t.me/SINNER_Portal,2024-11-21 09:02:58,2024-11-24 05:13:18,583.2K,+30.61%
18,Kerope,G7MJbB14hHm4LCzBptJSynMi6jUac6dB5dybXzFhkrMG,30.04%,-21.05%,-91.14%,563,38.1K,500.9K,310.06,7068,11h,3.25%,0% Add Liquidity,-,https://t.me/Kerope_Portal,2024-11-21 06:22:39,2024-11-24 05:13:18,115.7K,+30.04%
19,Kerope,G7MJbB14hHm4LCzBptJSynMi6jUac6dB5dybXzFhkrMG,30.4%,-38.63%,-83.14%,501,56.7K,796.8K,386.17,10647,11h,3.29%,0% Add Liquidity,-,https://t.me/Kerope_Portal,2024-11-21 05:31:00,2024-11-24 05:13:18,185K,+30.23%
20,Kerope,G7MJbB14hHm4LCzBptJSynMi6jUac6dB5dybXzFhkrMG,39.11%,-84.75%,-83.81%,799,77.4K,754.8K,355.83,13024,9h,3.08%,0% Add Liquidity,-,https://t.me/Kerope_Portal,2024-11-21 04:22:32,2024-11-24 05:13:18,212.2K,+39.11%
21,Scott Bessent,Bh3qipvCMm8vS2UbnmCMje7Qiow7KHCHDXsdJnDonUSa,60.03%,21.77%,14.33%,636,256.9K,2M,476.16,16219,21h,2.61%,0.04% Add Liquidity,-,https://t.me/Scott_Bessent_Portal,2024-11-21 03:57:49,2024-11-24 05:13:18,565.7K,+45.12%
22,Scott Bessent,Bh3qipvCMm8vS2UbnmCMje7Qiow7KHCHDXsdJnDonUSa,30.31%,62.29%,20.4%,791,75.6K,2.3M,570.93,19554,19h,1.88%,0.04% Add Liquidity,-,https://t.me/Scott_Bessent_Portal,2024-11-21 02:14:40,2024-11-24 05:13:18,539K,+30.31%
23,SINNER,B3PFb4QiZghdB5EEmZtN9VcjVkMLZXpHP9C9EZwCUXdG,31.11%,-20.37%,-60.15%,611,187.6K,2.6M,916.42,9080,6h,3.79%,0.01% Add Liquidity,-,https://t.me/SINNER_Portal,2024-11-21 02:07:20,2024-11-24 05:13:18,620.5K,+31.11%
24,Kerope,G7MJbB14hHm4LCzBptJSynMi6jUac6dB5dybXzFhkrMG,42.79%,-41.49%,4.76%,523,185.5K,3.4M,811,14041,7h,1.39%,0% Add Liquidity,-,https://t.me/Kerope_Portal,2024-11-21 01:59:23,2024-11-24 05:13:18,1,+42.79%
