Name,Symbol,Market Cap,Volume 24h,24h Change (%),Liquidity,Address,decimals,symbol,name,price,liquidity,uniqueWallet30m,uniqueWallet30mChangePercent,uniqueWallet1h,uniqueWallet1hChangePercent,uniqueWallet2h,uniqueWallet2hChangePercent,uniqueWallet4h,uniqueWallet4hChangePercent,uniqueWallet6h,uniqueWallet6hChangePercent,uniqueWallet8h,uniqueWallet8hChangePercent,uniqueWallet12h,uniqueWallet12hChangePercent,uniqueWallet24h,uniqueWallet24hChangePercent,realMc,holder,numberMarkets,coingeckoId,telegram,twitter,website,discord
popo,popo,503K,1.73Mil,613.5161359544499,145669.6982815989,6kJhG826LGowg7zG6PLd6tg7mqvVSdq2WzHhsfc7pump,6,popo,popo,0.0004851104862317,145669.6983661743,26,-10.344827586206897,37,76.19047619047619,51,8.51063829787234,94,-32.857142857142854,,,206,-39.233038348082594,,,927,1419.672131147541,485K,2009,3,popo-2,https://t.me/poposolana_cto,https://twitter.com/poposolanacto,https://popo.baby/,
Finance Wizard ,Wizard,510K,2.49Mil,1844.7618355826648,150578.43324563437,AU1rxhY276GepM4bm7VaYrgVPJW7tg4z2MtR2jfPpump,6,Wizard,Finance Wizard ,0.0004977521178768,150620.67559702235,35,6.0606060606060606,61,-25.60975609756097,137,-24.725274725274726,263,46.927374301675975,,,400,-56.85005393743258,,,1218,1591.6666666666663,493K,3990,1,finance-wizard,https://t.me/financewizardcto,https://twitter.com/financewizardio,https://financewizard.io/,https://discord.com/invite/titantrades
Eaten by a Pelican,PELICAN,511K,21.27Mil,248.94696189438784,109795.68199821224,SWKT3Sksvtcepkn7MRn74WPUNH1Lo8H25MAogVepump,6,PELICAN,Eaten by a Pelican,0.0005206765573665,104803.78265636408,124,19.230769230769237,202,-5.607476635514018,346,-25.26997840172786,675,63.83495145631069,,,934,-26.514555468135327,,,7961,1363.4191176470588,521K,1846,6,,,,,
ECOFUK,ECOFUK,527K,29.29Mil,-5.405183788067322,116854.9843735942,Ff639RjQYbqrS9VJgYM1p1ifXCAzC8GrbWUu4YAVpump,6,ECOFUK,ECOFUK,0.0003939307385505,116958.1879274102,289,14.682539682539684,452,127.1356783919598,588,31.838565022421523,888,-2.094818081587652,,,1526,-6.951219512195123,,,8278,231.5178213856628,394K,2289,7,,,,,
Omega,OMEGA,543K,4.20Mil,-36.787436268536425,123589.57876983631,FuVVu23hbFcXiiEM7ASp1CKY38DA3M7E626kGf7Upump,6,OMEGA,Omega,0.0005274795393913,123589.57876983631,56,47.368421052631575,87,52.63157894736842,131,25.961538461538463,217,-11.788617886178862,,,415,-54.29515418502202,,,2405,-5.649274225186347,527K,2347,4,,,,,
iShares Fartcoin Trust,iFART,561K,3.76Mil,927.1544035796688,130283.51622319336,5eNQJ87WnfMMfgNrc8qSJNTGmMyFqmQdnDYY9phApump,6,iFART,iShares Fartcoin Trust,0.0004075424362577,129059.8961662643,70,2.941176470588235,119,72.46376811594203,164,46.42857142857143,236,27.56756756756757,,,351,-56.82656826568265,,,1491,2882.0,408K,585,4,,,,,
KAFKA ai,KAFKA,563K,5.65Mil,,102673.69022766704,H758qwhw8YHLbDYmJsdN6Jta2ioguZ53PY6Qcisupump,6,KAFKA,KAFKA ai,0.0004659210236033,101647.7636766514,111,-13.953488372093023,200,-26.199261992619927,407,-11.904761904761903,730,-9.316770186335404,,,1187,130.93385214007782,,,3032,,466K,775,2,,,,,
Shadow AI,SHADOAI,573K,1.47Mil,195.1459815091646,117089.1694385105,7VwxiPZeSYfQbQxqorGBctSyorPMJusrGDFkX5TFpump,6,SHADOAI,Shadow AI,0.000577191936488,117089.16842044557,15,0.0,28,64.70588235294117,43,-8.51063829787234,79,-32.47863247863248,,,173,-54.83028720626631,,,837,-40.04297994269341,577K,1246,4,,,,,
memOS AI,memOS,574K,21.10Mil,,124910.9348336034,3KCDgWw1C6PdjUsUXonYm6TGaDWKsLxmEjdBP7s8pump,6,memOS,memOS AI,0.0006507930249445,125145.69877349086,226,-19.8581560283688,434,33.95061728395062,646,-7.977207977207977,1117,-7.990115321252059,,,1950,-63.92229417206291,,,8167,,651K,2196,6,,,,,
Solaria Utopia,SOLARIA,576K,2.00Mil,96.01971766504634,113363.04938148808,H3c9RZhvCzxQSmLULh4RsJC8GuK9rVNV2bcoLhMQmoon,9,SOLARIA,Solaria Utopia,0.000571176090648,113363.04938148808,13,44.44444444444444,20,-55.55555555555556,60,-23.07692307692308,120,-55.0561797752809,,,333,-8.011049723756907,,,1014,-38.582677165354326,566K,815,4,,,,,
DEGEN TAYLOR,DEGEN,579K,35.99Mil,,129588.79490899452,ATEWnH7CyLUyDAYVnUS4jxBi243SWUnBmmpRf3QRpump,6,DEGEN,DEGEN TAYLOR,0.00057925549599,128517.01974645116,118,4.424778761061947,224,-20.84805653710248,498,-22.79069767441861,1112,-48.9908256880734,,,3222,-38.13364055299539,,,8289,,579K,10997,2,,,,,
ZeroByte,ZB,580K,29.99Mil,-39.9059069372094,155536.77823667848,H1hcBegR2A6b2mCGqhH5zA4sTZvMxrqT4v3fHY1kpump,6,ZB,ZeroByte,0.0005320596674614,155523.93820626131,448,11.72069825436409,745,24.37395659432387,1185,-5.6528662420382165,2123,-41.5312586064445,,,4811,9.018808067074552,,,13497,17.161458333333332,532K,5832,13,,,,,
SEAL,SEAL,602K,1.06Mil,,106873.71190560536,Ho6wN4ff7RdTdXE1UsCZjrjuFVMHyRFTv1oBdbSECnJS,6,SEAL,SEAL,0.0006405751148511,98964.16078442744,43,-33.84615384615385,95,-33.098591549295776,205,225.3968253968254,244,360.37735849056605,,,277,222.093023255814,,,897,,641K,384,5,,,,,
Goatse Glebe,GLEBE,632K,5.16Mil,,112685.98791536472,5oDWr3xbRxJZ74VhDF5H4UnnSEstPJT7tJm4c5EFpump,6,GLEBE,Goatse Glebe,0.0007763996290959,105081.59120563956,190,15.151515151515152,323,-7.183908045977011,545,108.81226053639848,708,-6.472919418758257,,,1247,-34.81442760062728,,,2998,,776K,1044,2,,,,,
Lemonade Stand Duck,DUCK,633K,28.58Mil,,138356.37363157753,2ru7VX6NnaZ78znCtgGmYs2PdcAQRCr3UaPfRkDUpump,6,DUCK,Lemonade Stand Duck,0.0007892230031514,133919.389021616,854,-22.009132420091323,1792,-2.343324250681199,3220,-11.123378415677616,5951,17.469403868930122,,,9262,-70.5575688219213,,,38057,,789K,7041,4,,,,,
infinite backrooms,IB,641K,2.36Mil,465.7049870360528,222643.66381586532,4J5HoZWoKcbo2JQxEEVCKRBfUQtEroY1QdRrKtZFpump,6,IB,infinite backrooms,0.0007337606986187,222772.7634458821,36,44.0,58,16.0,102,17.24137931034483,158,-45.70446735395189,,,387,-46.398891966759,,,985,598.581560283688,733K,3987,4,infinite-backrooms,https://t.me/IB_CTO,https://twitter.com/ibtoken,https://www.infinitebackrooms.com/,
HYVEMYND,HYVE,657K,25.71Mil,,135730.91010467958,ABAGcLC6hoapG3xFcBkwaXzmdFzdH7nup2JD1feapump,6,HYVE,HYVEMYND,0.0007521166573628,131402.29643095183,102,-15.0,194,-17.4468085106383,376,-24.04040404040404,722,-34.660633484162894,,,1524,-42.36006051437216,,,8074,,752K,1931,4,,,,,
Straight Tuah Prison,TUAH,663K,16.94Mil,45.53403280723606,185870.3427756209,AkukwSXUTkDSeh2c1ypyvN4unzyr4xb2T4SmKkix6bT8,6,TUAH,Straight Tuah Prison,0.0007598719796109,186001.7995104428,60,300.0,73,15.873015873015872,121,70.4225352112676,173,16.89189189189189,,,287,-12.76595744680851,,,1029,-23.94678492239468,760K,16368,10,,,,,
Goatse Forest Rave,GFR,669K,6.51Mil,,112298.72469321088,FN9tn6JQzegrUuHx7CyXyNsiSBZkRyoaHZuKF1Smpump,6,GFR,Goatse Forest Rave,0.0006688737073404,107509.60542222978,142,-48.73646209386281,360,-27.27272727272727,680,-2.158273381294964,1089,156.83962264150944,,,1314,-37.39876131491186,,,3282,,669K,1166,5,,,,,
Shred,SHRED,671K,1.65Mil,-33.57932234398754,127303.84034994022,98geVJZfj1JkzyRePEFRr2AHjLcs1TDwSptcVjMC2Eks,6,SHRED,Shred,0.0006952406787875,127303.84034994022,25,78.57142857142857,36,-12.195121951219512,64,-20.0,118,-53.72549019607843,,,340,34.387351778656125,,,644,-2.865761689291101,695K,1164,1,,,,,
Sigma Sigma Boy,SIGMABOY,690K,7.29Mil,238.50595811902977,139914.7310419358,uSy45a8ZvRCdnWriPaAuiRHygrRPChSvHM53Myapump,6,SIGMABOY,Sigma Sigma Boy,0.0006148166270997,139914.7310419358,116,-4.132231404958678,205,-9.691629955947135,350,15.13157894736842,582,-44.78178368121442,,,1393,-38.28090385467435,,,3318,950.0,615K,3351,1,,,,,
Voice Artificial,VAR,709K,2.44Mil,-52.46768996628589,116987.4568885721,8c8gJSmaU4yiDsZFWTiCtsMoVBuqp5WGyzSv4VVpump,6,VAR,Voice Artificial,0.0006986097198079,116987.4568885721,4,-33.33333333333333,9,-18.181818181818183,16,33.33333333333333,25,-66.66666666666666,,,94,95.83333333333334,,,194,21.25,699K,473,2,,,,,
ponzi dot market,ponzi,720K,2.43Mil,21.3269327133469,156056.74094918082,tqrRt3AsuGa3aYYSvABMDrPJEWVzpAnh3p6LxXGpump,6,ponzi,ponzi dot market,0.0007222085806333,156060.2994438892,39,56.00000000000001,57,16.3265306122449,95,1.0638297872340423,157,-24.15458937198068,,,315,-17.539267015706805,,,1970,851.6908212560386,722K,2602,4,,,,,
venti,venti,722K,5.68Mil,53.59491943340613,153215.9711713521,FRpTyMBDavKsdYN1FQZcEeZ2iwGvHaZKFSkvr5izpump,6,venti,venti,0.0008218502251785,153215.97118285118,30,-30.23255813953488,65,-59.375,202,-11.790393013100436,376,98.94179894179894,,,507,-42.71186440677966,,,2244,-66.69634906500445,822K,3938,9,,,,,
LLM,LLM,773K,1.44Mil,-82.24908699608451,164118.05589289576,DyT6mdhiAYbHPML2AVXviGVxMQbc6Z3VmPZ2MQG6pump,6,LLM,LLM,0.0007418357303785,164118.05589289576,56,180.0,69,13.114754098360656,108,20.0,168,13.513513513513514,,,251,-25.297619047619047,,,672,-19.61722488038277,741K,1860,5,,,,,
Oraichain Token (Wormhole),ORAI,779K,3.41Mil,-30.885418706529773,644781.671147906,2hZWncnmsSMdbkdwzSHJfrnDVkL66g63gncdRWqjTbBB,8,ORAI,Oraichain Token (Wormhole),12.189931548367635,644781.8320700438,38,-7.317073170731707,73,48.97959183673469,91,-12.5,153,-32.89473684210527,,,314,5.016722408026756,,,607,50.62034739454094,783K,206,3,,,,,
Ruby AI Agent,ruby,787K,2.86Mil,2250.6497251122323,121691.6598720972,ABHQGzXNoRbJ1sjUsCJ2TmTAo1uMx4EUpV1qYiSVpump,6,ruby,Ruby AI Agent,0.0006900757145523,121693.24451523136,164,182.7586206896552,191,516.1290322580645,213,446.1538461538462,238,50.63291139240506,,,355,-22.489082969432317,,,935,3124.137931034483,690K,663,3,,,,,
The Honest Dev,DEV,788K,3.08Mil,645.3352558479183,132872.9909085922,FJsU8cSyKUgHwJgoB2LpuB9G3m7V47wfNwESndyWpump,6,DEV,The Honest Dev,0.0007610394687394,132888.61867084776,186,3.333333333333333,320,16.363636363636363,516,-4.797047970479705,930,12.318840579710146,,,1527,-25.729571984435797,,,3461,917.9411764705884,751K,2314,4,,,,,
Right Click Save As Guy ,RCSAG ,810K,3.21Mil,-86.23287046179655,160991.2817364141,9XWUzTYsRdyWdcQsJ7qibwgaJSNAm8aMKLLe2zbapump,6,RCSAG ,Right Click Save As Guy ,0.0007785662543485,161875.25303611718,12,0.0,22,-50.0,58,-28.39506172839506,134,-10.666666666666668,,,228,245.45454545454547,,,322,61.80904522613066,685K,1941,2,,,,,
Tether USD (Wormhole),USDT,818K,2.06Mil,-60.49362066978223,823443.4036715768,Dn4noZ5jgGfkntzcQSUZ8czkreiZ1ForXYoV2H8Dm7S1,6,USDT,Tether USD (Wormhole),1.0002452154608097,823447.0630601344,7,16.666666666666664,8,60.0,10,66.66666666666666,15,0.0,,,25,4.166666666666666,,,79,-27.522935779816518,818K,2184,3,tether,,https://twitter.com/wormholecrypto,https://wormholenetwork.com/en/,https://discord.com/invite/xsT8qrHAvV
Miko.ai,MIKO,824K,27.19Mil,288.24153937448256,281108.71408574056,ED5BQCNvt5RSm9ZLn1CHBAoSWFuixNnudHFJ4SSQx6yb,6,MIKO,Miko.ai,0.000937105346552,281108.71408876707,1856,-28.25666795516042,4284,1.4444707553871654,8243,-22.56458431188351,18633,65.05447781025777,,,23650,31.710848741367787,,,40755,-10.039070260247666,937K,86120,2,,,,,
glamorous,glam,837K,1.89Mil,-42.510964574749806,158001.44710773067,73rzMJ8uEqjAf5vE1YPGrXbg7Cb2Yv85EoxpJh2mpump,6,glam,glamorous,0.0008549452006327,169009.2188280566,41,-12.76595744680851,76,-30.909090909090907,144,58.24175824175825,210,8.24742268041237,,,339,-3.6931818181818175,,,884,-38.69625520110957,855K,2615,2,glamorous,https://t.me/glamcto,https://twitter.com/GlamCatSol,https://www.glamcat.lol/,
Nexus AI Network ,NEXUS,839K,20.07Mil,,142205.14615436454,FQnSa9XvoXVzC15MnoNyCCs9vNhF5AKQuFuZ5Dkhpump,6,NEXUS,Nexus AI Network ,0.0009973083607744,144710.65599873377,1199,20.26078234704112,1843,-16.832129963898918,3290,-12.126068376068377,5548,-8.008622119051568,,,9505,9128.155339805826,,,9535,,997K,3882,4,,,,,
gemxbt,GEMXBT,840K,1.94Mil,-41.11722243719097,116579.61343370586,68YY6KjfnmPuQubYkFTsmXGaF2FuwcxumWLFxb6cpump,6,GEMXBT,gemxbt,0.0008570408370451,116579.61343370586,46,-8.0,70,42.85714285714285,112,47.368421052631575,171,0.0,,,296,-6.624605678233439,,,902,-33.33333333333333,857K,848,4,,,,,
Man,MAN,847K,6.84Mil,,130076.18903965584,WhZEoFj5uejcq392GeYEC7Fmwr5q49wyq9jD5U3pump,6,MAN,Man,0.0008521159669323,126897.30374690838,857,-18.5361216730038,1625,20.817843866171003,2435,46.775165762507534,3429,12.389380530973453,,,5504,279.06336088154274,,,6104,,852K,3109,2,,,,,
Convo.wtf,convo,863K,7.24Mil,-64.51793632659864,173072.30094827316,KnrmAHo1wW2fGqVXcSZSpo6kmiKam5vNbDByrURpump,6,convo,Convo.wtf,0.0009171419777394,173072.3471076815,34,-5.555555555555555,61,29.78723404255319,97,-35.333333333333336,225,-32.83582089552239,,,459,21.108179419525065,,,860,-9.663865546218489,917K,2526,4,convo,https://t.me/convo_community,https://twitter.com/convodotwtf,https://convo.wtf/,
Solycat,SOLYCAT,876K,1.04Mil,-45.14575094788716,173671.27202182933,5v62ivFK6pAERaZC8ysBD66dCJS83MbqyVAmXYddbM78,5,SOLYCAT,Solycat,0.0008827579665148,173671.27202182933,194,1.5706806282722512,382,-2.051282051282051,767,32.01376936316696,1332,1724.657534246575,,,1390,676.536312849162,,,1845,-44.62785114045618,883K,1157,1,,,,,
Wrapped BNB (Wormhole),WBNB,883K,2.43Mil,-14.56623158756765,716014.9311177427,9gP2kCy3wA1ctvYWQk75guqXuHfrEomqydHLtcTCqiLa,8,WBNB,Wrapped BNB (Wormhole),715.919782877592,748117.2297929871,32,100.0,45,136.8421052631579,55,61.76470588235294,81,-10.989010989010987,,,149,49.0,,,300,20.967741935483872,880K,6583,13,binance-coin,,https://twitter.com/wormholecrypto,https://wormholenetwork.com/,
tardigrade,tardi,887K,1.02Mil,-59.81185008684941,163834.52433818005,DTTLrCGbqn6fmNuKjGYqWFeQU5Hz153f5C3pNnxepump,6,tardi,tardigrade,0.0008972148029308,163876.67758806446,21,-4.545454545454546,42,-28.8135593220339,93,3.333333333333333,154,-24.87804878048781,,,301,15.32567049808429,,,616,32.758620689655174,897K,2566,2,tardigrade,https://t.me/tardionchain,https://twitter.com/tardionchain,https://tardionchain.xyz/,
巳升升,巳升升,951K,1.02Mil,-22.61299364053002,144028.00481893538,FhQjKRfcwPkBHuuJzdxbfgQcTnyxuiMi1kxvfTxkpump,6,巳升升,巳升升,0.0009926517163382,144032.91086294752,28,-6.666666666666667,55,-33.734939759036145,122,-18.12080536912752,236,-43.94299287410927,,,589,55.00000000000001,,,908,407.2625698324022,993K,1627,2,,,,,
Big Bull,BBULL,953K,15.52Mil,,140746.19514688558,DUo7dGKvw7Q2q3dZDWX8SmAisHtbbTzVrK5827VJpump,6,BBULL,Big Bull,0.0009129198822882,137466.06359282671,440,-19.854280510018217,878,3.051643192488263,1561,-17.144373673036092,3000,1.2829169480081026,,,5232,-35.84304107909258,,,11882,,913K,6677,3,,,,,
DOGE DEPT,DEPT,977K,24.24Mil,,315022.38146628346,HkVs1CuNJhTxniwL7tmgn9s8B3o5F9NXRywNa4dZDsCk,6,DEPT,DOGE DEPT,0.0009976746485833,310765.3276463839,783,-3.333333333333333,1549,7.271468144044321,2949,-5.511054149311119,6027,-2.7746410711405067,,,10123,1.0884761334132214,,,10302,,998K,11205,1,,,,,
