Name,Symbol,Market Cap,Volume 24h,24h Change (%),Liquidity,Address,decimals,symbol,name,price,liquidity,uniqueWallet30m,uniqueWallet30mChangePercent,uniqueWallet1h,uniqueWallet1hChangePercent,uniqueWallet2h,uniqueWallet2hChangePercent,uniqueWallet4h,uniqueWallet4hChangePercent,uniqueWallet6h,uniqueWallet6hChangePercent,uniqueWallet8h,uniqueWallet8hChangePercent,uniqueWallet12h,uniqueWallet12hChangePercent,uniqueWallet24h,uniqueWallet24hChangePercent,realMc,holder,numberMarkets,coingeckoId,telegram,twitter,website,discord
memOS AI,memOS,502K,21.41Mil,,123503.84810829467,3KCDgWw1C6PdjUsUXonYm6TGaDWKsLxmEjdBP7s8pump,6,memOS,memOS AI,0.0004571241891193103,112366.07546122385,210,-3.669724770642202,362,-14.218009478672986,654,1.3953488372093024,1076,-2.8003613369467026,N/A,N/A,1857,-57.192254495159055,N/A,N/A,8244,,457K,2159,6,N/A,N/A,N/A,N/A,N/A
HYVEMYND,HYVE,514K,25.89Mil,,119011.2743405909,ABAGcLC6hoapG3xFcBkwaXzmdFzdH7nup2JD1feapump,6,HYVE,HYVEMYND,0.00040078275096543374,109798.2121542969,227,167.05882352941177,293,55.026455026455025,436,3.0732860520094563,723,-37.88659793814433,N/A,N/A,1557,-22.767857142857142,N/A,N/A,8129,,401K,1918,4,N/A,N/A,N/A,N/A,N/A
Shadow AI,SHADOAI,530K,1.38Mil,182.37609116564016,117089.16384351818,7VwxiPZeSYfQbQxqorGBctSyorPMJusrGDFkX5TFpump,6,SHADOAI,Shadow AI,0.0005001976051135651,117089.16061308389,55,243.75,67,139.28571428571428,84,86.66666666666667,115,12.745098039215685,N/A,N/A,191,-48.37837837837838,N/A,N/A,776,-46.408839779005525,500K,1257,4,N/A,N/A,N/A,N/A,N/A
ZeroByte,ZB,536K,25.10Mil,-51.9060059515042,155435.64948216046,H1hcBegR2A6b2mCGqhH5zA4sTZvMxrqT4v3fHY1kpump,6,ZB,ZeroByte,0.00045872195795570504,155513.0518104425,442,-9.979633401221996,774,1.1764705882352942,1347,14.443500424808835,2181,-26.836632002683665,N/A,N/A,4295,-12.986223662884926,N/A,N/A,12262,-3.051865907653384,459K,5630,13,N/A,N/A,N/A,N/A,N/A
DEGEN TAYLOR,DEGEN,540K,36.80Mil,,126018.460077783,ATEWnH7CyLUyDAYVnUS4jxBi243SWUnBmmpRf3QRpump,6,DEGEN,DEGEN TAYLOR,0.0005485454091788485,127424.46268099027,110,-5.172413793103448,223,0.45045045045045046,434,-14.229249011857709,924,-54.325259515570934,N/A,N/A,2888,-49.71269371408671,N/A,N/A,8484,,549K,11166,2,N/A,N/A,N/A,N/A,N/A
popo,popo,544K,1.70Mil,287.9534895714181,145669.6982815989,6kJhG826LGowg7zG6PLd6tg7mqvVSdq2WzHhsfc7pump,6,popo,popo,0.0006249847675042054,145669.6983661743,37,37.03703703703704,51,45.714285714285715,78,50,120,11.11111111111111,N/A,N/A,196,-35.947712418300654,N/A,N/A,900,383.8709677419355,625K,2013,3,popo-2,https://t.me/poposolana_cto,https://twitter.com/poposolanacto,https://popo.baby/,N/A
Finance Wizard ,Wizard,554K,2.53Mil,1903.7271066654039,150578.43324563437,AU1rxhY276GepM4bm7VaYrgVPJW7tg4z2MtR2jfPpump,6,Wizard,Finance Wizard ,0.000621516795942922,150620.67559702237,56,43.58974358974359,78,23.809523809523807,123,-40.86538461538461,276,101.45985401459853,N/A,N/A,363,-35.294117647058826,N/A,N/A,1239,1670,615K,3997,1,finance-wizard,https://t.me/financewizardcto,https://twitter.com/financewizardio,https://financewizard.io/,https://discord.com/invite/titantrades
Solod The Buddy,BUDDY,559K,1.04Mil,-49.1871428728654,128483.88523796968,6AH9xWmRkjsKL3wnMTixhWrht6ZgCsngfUCwt8pDpump,6,BUDDY,Solod The Buddy,0.000564053128546279,128519.45721429055,2,-92.3076923076923,26,-23.52941176470588,54,14.893617021276595,95,-18.103448275862068,N/A,N/A,183,-6.153846153846154,N/A,N/A,592,42.30769230769231,564K,2845,5,solod-the-buddy,https://t.me/solod_portal,https://twitter.com/solod_diary,https://www.soloddiary.com/,N/A
Sigma Sigma Boy,SIGMABOY,572K,7.48Mil,248.50383816175338,139914.7310419358,uSy45a8ZvRCdnWriPaAuiRHygrRPChSvHM53Myapump,6,SIGMABOY,Sigma Sigma Boy,0.0005347856056481213,139914.7310419358,141,12.8,224,4.186046511627907,370,8.823529411764707,593,-36.236559139784944,N/A,N/A,1307,-44.712351945854486,N/A,N/A,3371,960.062893081761,535K,3355,1,N/A,N/A,N/A,N/A,N/A
Cove Quant,COVE,581K,13.03Mil,,108884.49563286483,DcU8uHn7abXgYL8AJUK3t8FckeAXrNcGYYBK7uBFpump,6,COVE,Cove Quant,0.0005594235080708925,110392.54573857356,82,30.158730158730158,134,-23.863636363636363,285,14.000000000000002,481,-27.23146747352496,N/A,N/A,998,-81.47735708982925,N/A,N/A,5802,,559K,1570,3,N/A,N/A,N/A,N/A,N/A
