Name,Symbol,Market Cap,Volume 24h,24h Change (%),Liquidity,Address,decimals,symbol,name,price,liquidity,uniqueWallet30m,uniqueWallet30mChangePercent,uniqueWallet1h,uniqueWallet1hChangePercent,uniqueWallet2h,uniqueWallet2hChangePercent,uniqueWallet4h,uniqueWallet4hChangePercent,uniqueWallet6h,uniqueWallet6hChangePercent,uniqueWallet8h,uniqueWallet8hChangePercent,uniqueWallet12h,uniqueWallet12hChangePercent,uniqueWallet24h,uniqueWallet24hChangePercent,realMc,holder,numberMarkets,coingeckoId,telegram,twitter,website,discord
Chad Grammatical Model Launch,PEMDAS,502K,11.30Mil,,155323.34329665411,6f41LGHuU2HVV67ao9GwJ6kv2jNUz9HL6FJPVYcJpump,6,PEMDAS,Chad Grammatical Model Launch,0.000530455801931,155323.34329665411,309.0,50.0,435.0,41.69381107491857,608.0,-25.853658536585368,1163,-36.48279628618241,,,2434,-24.57390765416796,,,4739,,530K,1721,2,,,,,
iShares Fartcoin Trust,iFART,505K,3.60Mil,1707.5047348726475,118175.01717740353,5eNQJ87WnfMMfgNrc8qSJNTGmMyFqmQdnDYY9phApump,6,iFART,iShares Fartcoin Trust,0.0005670375615795,118175.0171774035,29.0,11.538461538461538,51.0,-19.047619047619047,90.0,-22.41379310344828,186,-33.57142857142857,,,389,-67.50208855472013,,,1432,5014.285714285715,567K,583,4,,,,,
Solaria Utopia,SOLARIA,533K,3.73Mil,795.7160365078564,101711.37187462024,H3c9RZhvCzxQSmLULh4RsJC8GuK9rVNV2bcoLhMQmoon,9,SOLARIA,Solaria Utopia,0.0005734128696403,101711.37187462024,31.0,-55.072463768115945,69.0,-50.0,167.0,26.51515151515152,265,45.604395604395606,,,374,-22.88659793814433,,,1531,29.0893760539629,568K,839,4,,,,,
popo,popo,578K,1.68Mil,619.8966396390862,196018.3887185712,6kJhG826LGowg7zG6PLd6tg7mqvVSdq2WzHhsfc7pump,6,popo,popo,0.0005679795801176,196018.38880314663,21.0,425.0,25.0,-45.65217391304348,65.0,-36.27450980392157,140,-10.256410256410255,,,250,-51.36186770428015,,,904,1823.404255319149,568K,2024,3,popo-2,https://t.me/poposolana_cto,https://twitter.com/poposolanacto,https://popo.baby/,
Windfall SOL,windSOL,578K,1.12Mil,,577209.4555372704,WinDfAPoDk4P8D7eMkCVzY3Ged5vXtvT32XkWVBYGU8,9,windSOL,Windfall SOL,231.2377078816829,577209.4555372704,,,,,,-100.0,1,,,,1,0.0,,,2,,578K,4,1,,,,,
Straight Tuah Prison,TUAH,616K,17.00Mil,48.1725324709692,185811.7275224332,AkukwSXUTkDSeh2c1ypyvN4unzyr4xb2T4SmKkix6bT8,6,TUAH,Straight Tuah Prison,0.0006163036044579,185943.18425725508,10.0,0.0,20.0,-71.01449275362319,81.0,1.25,146,3.546099290780142,,,262,-41.90687361419069,,,1068,-23.605150214592275,616K,16400,10,,,,,
Solod The Buddy,BUDDY,620K,1.03Mil,-52.24768661241026,126768.55163211103,6AH9xWmRkjsKL3wnMTixhWrht6ZgCsngfUCwt8pDpump,6,BUDDY,Solod The Buddy,0.0006231748366257,126804.12360843192,12.0,33.33333333333333,19.0,-58.69565217391305,59.0,-29.761904761904763,127,98.4375,,,179,-49.14772727272727,,,614,34.64912280701755,623K,2876,5,solod-the-buddy,https://t.me/solod_portal,https://twitter.com/solod_diary,https://www.soloddiary.com/,
infinite backrooms,IB,624K,2.28Mil,496.0205879274012,170205.80085854692,4J5HoZWoKcbo2JQxEEVCKRBfUQtEroY1QdRrKtZFpump,6,IB,infinite backrooms,0.0006422387786351,170334.90048856367,52.0,108.0,74.0,-8.641975308641975,129.0,-37.37864077669903,279,-60.81460674157303,,,856,671.1711711711712,,,941,635.15625,642K,3984,4,infinite-backrooms,https://t.me/IB_CTO,https://twitter.com/ibtoken,https://www.infinitebackrooms.com/,
BALDIE,ALPHA,667K,5.71Mil,20329.81532407388,138209.54376868223,4WcCBEMXaf1pCdNKnJJMZE2cmQnb7AVtYVFQqeVkpump,6,ALPHA,BALDIE,0.0009293458591468,138209.54376868223,14.0,0.0,22.0,-12.0,28.0,-15.151515151515152,41,-28.07017543859649,,,69,6800.0,,,70,483.3333333333333,929K,1878,1,,,,,
ponzi dot market,ponzi,690K,2.34Mil,16.36717135450062,166391.89605241278,tqrRt3AsuGa3aYYSvABMDrPJEWVzpAnh3p6LxXGpump,6,ponzi,ponzi dot market,0.0007827653629085,166395.45454712116,18.0,-21.73913043478261,38.0,-32.142857142857146,86.0,-42.66666666666667,202,32.89473684210527,,,314,-81.61592505854802,,,1933,833.8164251207729,783K,2612,4,,,,,
Shadow AI,SHADOAI,691K,1.87Mil,242.52435270881557,107460.06244183052,7VwxiPZeSYfQbQxqorGBctSyorPMJusrGDFkX5TFpump,6,SHADOAI,Shadow AI,0.00069763569135,107460.06244183052,5.0,-77.27272727272727,26.0,-23.52941176470588,56.0,-25.333333333333336,111,-49.08256880733945,,,291,-25.19280205655527,,,1092,-2.5869759143621764,698K,1267,4,,,,,
Omega,OMEGA,692K,5.28Mil,-32.40351952880686,134078.3586558308,FuVVu23hbFcXiiEM7ASp1CKY38DA3M7E626kGf7Upump,6,OMEGA,Omega,0.0006802976128697,134078.3586558308,37.0,37.03703703703704,56.0,-32.53012048192771,118.0,-25.31645569620253,249,-28.034682080924856,,,535,-65.19193233571895,,,2847,33.34894613583138,680K,2412,4,,,,,
Shred,SHRED,695K,1.68Mil,-34.272003076832256,124215.41684341818,98geVJZfj1JkzyRePEFRr2AHjLcs1TDwSptcVjMC2Eks,6,SHRED,Shred,0.0007429369703,124215.41684341818,15.0,15.384615384615383,28.0,-12.5,56.0,-75.33039647577093,256,29.949238578680205,,,391,74.55357142857143,,,651,-10.94391244870041,743K,1172,1,,,,,
queefcoin,queef,715K,6.65Mil,1030.3282019783817,143069.22338056465,4VdCEb24qJ24yvq8H14skQ5gJpyT9xCMcg4ssA4zpump,6,queef,queefcoin,0.0006999927163231,143069.22338056465,18.0,-35.714285714285715,39.0,-63.888888888888886,127.0,-35.204081632653065,272,-34.77218225419664,,,554,-65.5258245177349,,,2087,1188.2716049382716,700K,1205,3,,,,,
venti,venti,715K,6.47Mil,46.03153376591241,191289.9570462636,FRpTyMBDavKsdYN1FQZcEeZ2iwGvHaZKFSkvr5izpump,6,venti,venti,0.0005930798089362,191289.95705776263,76.0,347.05882352941177,91.0,68.51851851851852,129.0,4.032258064516129,233,-41.16161616161616,,,557,-52.14776632302406,,,2567,-65.47410894418292,593K,3975,9,,,,,
Oraichain Token (Wormhole),ORAI,766K,3.15Mil,-39.67970468086483,570047.6269608097,2hZWncnmsSMdbkdwzSHJfrnDVkL66g63gncdRWqjTbBB,8,ORAI,Oraichain Token (Wormhole),12.236948218001572,44274.32212766368,49.0,104.16666666666669,64.0,-32.631578947368425,132.0,-3.64963503649635,221,8.333333333333332,,,331,35.65573770491803,,,556,24.66367713004484,786K,207,3,,,,,
ACT,ACT,774K,8.55Mil,145.36009341271398,117181.06682613098,9VY8jhtRWS8P1e27tN8V3ajjsBmCjjr8pPvyujympump,6,ACT,ACT,0.0008186194761307,117181.06682613098,94.0,-68.13559322033899,369.0,822.5,382.0,21.26984126984127,676,865.7142857142857,,,705,626.8041237113403,,,829,428.0254777070064,819K,721,2,,,,,
HYVEMYND,HYVE,798K,24.87Mil,,112434.14455115086,ABAGcLC6hoapG3xFcBkwaXzmdFzdH7nup2JD1feapump,6,HYVE,HYVEMYND,0.0007687695236217,112434.14455115086,166.0,-36.88212927756654,362.0,-44.64831804281346,817.0,70.20833333333333,1107,30.23529411764706,,,1670,-76.42241987858253,,,7867,,769K,1974,4,,,,,
Santa Pepe,SANTAPE,835K,28.49Mil,,254194.21164997903,GxWyh17McYtY3h9m75nyTdy8Cp6WAzkdyNRDPKmjHU4c,9,SANTAPE,Santa Pepe,0.0008368484847662,254194.21164997903,516.0,3.2,993.0,3.870292887029288,1922.0,18.568784700801974,3513,68.81307063911581,,,5221,-4.13147264047007,,,8474,,837K,9298,1,,,,,
Tether USD (Wormhole),USDT,847K,2.44Mil,-47.66994887505967,823585.6917892925,Dn4noZ5jgGfkntzcQSUZ8czkreiZ1ForXYoV2H8Dm7S1,6,USDT,Tether USD (Wormhole),0.9999496702550934,823589.3511778502,4.0,0.0,6.0,-40.0,12.0,140.0,15,0.0,,,27,-18.181818181818183,,,87,-20.18348623853211,835K,2182,3,tether,,https://twitter.com/wormholecrypto,https://wormholenetwork.com/en/,https://discord.com/invite/xsT8qrHAvV
ECOFUK,ECOFUK,848K,30.89Mil,,159816.39339831728,Ff639RjQYbqrS9VJgYM1p1ifXCAzC8GrbWUu4YAVpump,6,ECOFUK,ECOFUK,0.0009608935492951,159816.39339831728,118.0,-1.6666666666666667,210.0,-25.0,429.0,-35.0,908,6.323185011709602,,,1443,-44.52133794694348,,,9731,,961K,2448,7,,,,,
Right Click Save As Guy ,RCSAG ,863K,3.30Mil,-84.52888225321996,125007.36384113856,9XWUzTYsRdyWdcQsJ7qibwgaJSNAm8aMKLLe2zbapump,6,RCSAG ,Right Click Save As Guy ,0.0010329329253566,125891.33514084168,85.0,18.055555555555557,121.0,1000.0,129.0,268.57142857142856,155,318.9189189189189,,,180,260.0,,,275,12.704918032786884,909K,1942,2,,,,,
Convo.wtf,convo,864K,7.23Mil,-64.70280486999323,191302.7173620608,KnrmAHo1wW2fGqVXcSZSpo6kmiKam5vNbDByrURpump,6,convo,Convo.wtf,0.0008499718301601,191302.7635214692,56.0,-8.19672131147541,98.0,-53.77358490566038,258.0,65.38461538461539,339,40.082644628099175,,,469,57.38255033557047,,,875,-16.267942583732058,850K,2533,4,convo,https://t.me/convo_community,https://twitter.com/convodotwtf,https://convo.wtf/,
Wrapped BNB (Wormhole),WBNB,881K,2.37Mil,-20.629099822573057,696360.3503895928,9gP2kCy3wA1ctvYWQk75guqXuHfrEomqydHLtcTCqiLa,8,WBNB,Wrapped BNB (Wormhole),725.571437451777,728462.6490648373,6.0,-25.0,10.0,-82.75862068965517,58.0,1.7543859649122806,92,91.66666666666666,,,121,16.346153846153847,,,266,-3.6231884057971016,881K,6575,13,binance-coin,,https://twitter.com/wormholecrypto,https://wormholenetwork.com/,
DEGEN TAYLOR,DEGEN,886K,31.26Mil,,150165.45167529865,ATEWnH7CyLUyDAYVnUS4jxBi243SWUnBmmpRf3QRpump,6,DEGEN,DEGEN TAYLOR,0.0009223096365035,150165.45167529865,289.0,3.956834532374101,562.0,-2.599653379549393,1125.0,3.211009174311927,2187,1.2968967114404817,,,4280,35.27180783817952,,,7356,,922K,10219,2,,,,,
