,address,c,h,l,o,type,v,token,timestamp
0,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,0.00010497064805572374,0.00014948594615184416,9.552501904392561e-05,0.00011479813687833762,1m,109758955.40859,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,1970-01-01 00:00:00
1,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,0.00021703920634379828,0.000264250733843445,5.077616862944747e-05,0.00010497064805572374,1m,1036157683.5462168,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,1970-01-01 00:00:01
2,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,0.0001852905116879333,0.00023739244610205103,0.00012256501326989133,0.00021703920634379828,1m,468512445.42704797,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,1970-01-01 00:00:02
3,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,0.000276539917943884,0.0003861561926870361,0.00013407536228851217,0.0001852905116879333,1m,626957309.7200208,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,1970-01-01 00:00:03
4,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,0.0003430409514443638,0.0003667549501464291,0.00023439189244716388,0.000276539917943884,1m,321865756.17943424,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,1970-01-01 00:00:04
5,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,0.00016715738789586872,0.0003583243494250784,0.00016318955991151643,0.0003430409514443638,1m,306949339.8165719,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,1970-01-01 00:00:05
6,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,0.00019829894345002965,0.0002522635030107516,0.00015238639915122419,0.00016715738789586872,1m,250401006.11119407,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,1970-01-01 00:00:06
7,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,0.0002662140047665084,0.0003134261348681007,0.00019040917563612207,0.00019829894345002965,1m,170025942.60692,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,1970-01-01 00:00:07
8,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,0.00036099446951535444,0.0004601128041662728,0.0002639860537027576,0.0002662140047665084,1m,275859142.86219406,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,1970-01-01 00:00:08
9,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,0.00046697454468452485,0.0005550121270478463,0.00033420579385792353,0.00036099446951535444,1m,243751299.637362,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,1970-01-01 00:00:09
10,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,0.0003583276608377295,0.0005992522882028551,0.0002850428828885848,0.00046697454468452485,1m,327147059.19632185,3p2uekTmsRrDjqHCLWx37xhnpAocyYHMkKxfUDeSgNqU,1970-01-01 00:00:10
