row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
0,FEIN FEIN FEIN FEIN,CJMjyWJDrnNQ38M1ank3DnJxjvNb2bxLn2j6h2zgpump,257.9%,257.9%,257.9%,115,31.5K,25.2K,23.3,34,1min,37.58%,0%,-,,2024-11-20 01:45:37,14.1K,+200.2%
1,#1 Tiktok Law Firm,JA5KvimYeA7Gfb4Di72rfcEw7HkWG3biuSCq5jYLpump,235.1%,235.1%,235.1%,112,38.6K,23.6K,28.25,47,50s,32.34%,0.73% Buy More,-,,2024-11-20 01:45:37,17.6K,+249.6%
2,The Last Thing,Cv4qYBs9YRmXXTVmsuHNVWu6o4N1vFuBWntMcMqVpump,485.8%,485.8%,485.8%,123,24.2K,41.9K,29.46,73,1min,34.09%,0%,-,,2024-11-20 01:45:37,31.2K,+435.9%
3,drippy cheese,8SPdyrnhZHmsPWT9GK4j7zC8QXvciX2T2ouqowZk91bt,35.7%,35.7%,35.7%,171,79.8K,9.6K,66.07,60,4min,11.28%,0%,-,,2024-11-20 01:45:37,67.3K,+948.6%
4,PAINT,29E1HBmH9ZuumvxrmhFgAjLVcbWJ9kWS2nhv1jLEpump,391.2%,391.2%,391.2%,167,41.6K,33.9K,29.53,84,1min,33.96%,0%,-,,2024-11-20 01:45:37,18.2K,+264.1%
5,Do you not get the,BVjmDG31MZpgsmCKZCzvZk9afFW5fY3jnSwRDuPr7qzb,281%,281%,281%,112,15.6K,25.8K,29.25,67,2min,27.29%,0%,-,,2024-11-20 01:45:37,19.2K,+284.1%
6,Kim new friend,FHspwcvMtum9Gad94eatfu7CKRfydkZWWRgYBiD1pump,458.9%,563.5%,563.5%,135,42.8K,44.3K,32.18,5,5min,38.25%,0%,-,,2024-11-20 01:45:37,37.7K,+475.3%
7,Chill guys bestfriend,6SQLoWcex1i2SstrHQQhrxN2abzAPN76mMNZsR9pump,323%,323%,323%,224,49.2K,29.2K,28.3,104,1min,28.94%,0%,-,,2024-11-20 01:45:37,24.4K,+353.9%
8,oraai16z,47A65cY3sZHBV54ijLDoNw5WEZZpjv7UJFWrb8jBpump,221.9%,221.9%,221.9%,109,26.9K,23.1K,27.21,47,4min,42.17%,8.25%,-,,2024-11-20 01:45:37,17.5K,+244.9%
9,FIRST TOKEN ON YOUTUBE,9EDwK1BfKs13bgyEFEhU4Zu7uW2Rju1YipQb3W3hpump,355.2%,355.2%,355.2%,103,39.6K,50.1K,54.3,64,4min,18.72%,0%,-,,2024-11-20 01:45:37,40.8K,+370.2%
10,Just a little guy,Af4ciKSS4LyAmXaT6gr6Hy3GxBAZWM85ipxH149qpump,239.6%,239.6%,239.6%,104,14.8K,23.1K,17.63,67,2min,26.88%,0%,-,https://t.me/HasbullaLittleGuy,2024-11-20 01:45:37,14.3K,+209.9%
11,subtle forshadowing,UZBkHApy4CYdR59qwByrnvZo7VvVRQq5qX73G38pump,293.7%,293.7%,293.7%,124,37.4K,27.6K,22.31,69,58s,30.5%,0%,-,,2024-11-20 01:45:37,19.4K,+276.6%
12,The Ocean Meme,71eRU5ocAppJFMs3vkeY7XPHcmw92dX7ZgcGbke4pump,654.3%,654.3%,654.3%,133,37.8K,51.5K,61.24,94,58s,29.65%,0%,-,,2024-11-20 01:45:37,31.7K,+463.5%
13,RizzSkibidiPetuniaSigmaAura69inu,J6qkNGJioam7GR7qgMtic5E2aue6szbuUysdUi2jpump,425.5%,425.5%,425.5%,136,34.3K,36.8K,43.33,98,1min,41.58%,0%,-,https://t.me/+N4gRwQpxJEs5Njg5,2024-11-20 01:45:37,29.9K,+426.2%
14,FIRST TOKEN ON 4CHAN (4CHAN,FenC6nXvbVcwj2tPKpjmgn7qUJDg4iYwzwHt98VApump,431.5%,431.5%,431.5%,106,18.3K,35.5K,23.15,87,55s,37.03%,1.76%,-,,2024-11-20 01:45:37,27.3K,+408.5%
15,flawed mangoes,2iBJkxhrMrou1tLH3iWPdozdxLUzMmXEx1iaRxCapump,784.5%,784.5%,784.5%,110,28.3K,59.3K,60.18,62,2min,37.79%,2.1%,-,,2024-11-20 01:45:37,49.9K,+744.2%
16,FIRST LAUNCH ON TIKTOK,6jEX9aL7NDDBYg4WrkJxaPPaMpYQVnaci667Y5N11VnZ,752.7%,752.7%,752.7%,104,15.3K,60K,56.48,53,4min,51.13%,0%,-,,2024-11-20 01:45:37,53K,+752.7%
17,drippy cheese,5scXE9KLbz3Upjz8Yx9Fd1n4VzoHSw1aYBy6mAjHpump,392.1%,804.3%,804.3%,133,20.4K,61.6K,45.75,156,16min,26.02%,0%,-,,2024-11-20 01:45:37,29.2K,+233.4%
18,Tiktok Roman Empire Trend,3jfgYNxXRG8G1ZV1eVUbtSpizKWPatXzfgHeYCcfpump,258.6%,469.2%,469.2%,105,15.2K,39.2K,43.6,28,9min,28.68%,0%,-,,2024-11-20 01:45:37,29.1K,+274.9%
19,no 1 viral dance on tiktok,CmRMNg8B1JP7qaXkNuUD8Nk9iud6pFxArCkGjWuUpump,208.5%,208.5%,208.5%,125,27.8K,20.9K,27.53,59,1min,26.46%,0%,-,https://t.me/fireballportal,2024-11-20 01:45:37,22.1K,+325.5%
20,PopFrog,HhyCeocRdCQzZ6m22KvLEzS96M1zck7i1FcJoUiypump,752.7%,752.7%,752.7%,110,15.6K,59.5K,59.87,62,2min,45.65%,0%,-,https://t.me/popfrogofficial,2024-11-20 01:45:37,51.5K,+737.8%
21,No chill guy,77j8zLVpaEgQuEGbKap2pksLDWy1CJQJqfhthNC6pump,235.3%,235.3%,235.3%,102,16.8K,24.5K,27.35,69,3min,32.5%,0%,-,,2024-11-20 01:45:37,16.8K,+229.3%
22,Not My Problem,5Hb3XyZQZpyKriLNX9afmiDoSctEaRzDoyc1kHmppump,658.8%,658.8%,658.8%,146,52.5K,51.4K,38.9,85,1min,36.89%,0%,-,,2024-11-20 01:45:37,49.4K,+729.1%
23,Hawk Tuah,G9o9cNQCkkqDpT7A3QjEhqHpzpd7M46m7RKt1M9Ppump,215.2%,215.2%,215.2%,103,34.2K,23.4K,28.3,34,1min,45.57%,12.34%,-,,2024-11-20 01:45:37,15.4K,+208.1%
24,Just a chill baby guy,6LXbBppSsxwnZKtbg8xMh26FKNLU1E8tSUNFL1sLpump,139.6%,139.6%,139.6%,125,30.2K,16.2K,56.72,50,46s,26.43%,3.46%,-,,2024-11-20 01:45:37,28K,+412.5%
25,ashleyivy159,ANyzJSoF6EXNAUB19dJr8TBk8MudduQYoooS8MYrpump,773.5%,773.5%,773.5%,130,28.8K,60.2K,41.81,91,1min,38.74%,5.11%,-,,2024-11-20 01:45:37,33.7K,+488.8%
26,Dax Flame,5NFj4MrJNgaRJw7AfsnnQAmrASNRcswBjynaXe7cpump,470.7%,470.7%,470.7%,115,24.8K,37.5K,39.61,81,1min,40.17%,0.36%,-,,2024-11-20 01:45:37,28.8K,+437.1%
27,CHILL RETARD GUY,H96jDboyGGAgm2pi7rwB2R4dtHWTKL5v8FMLGxT4pump,215.3%,210.3%,210.3%,102,14.4K,20.7K,22.17,44,8min,25.42%,0%,-,,2024-11-20 01:45:37,13.7K,+208.8%
28,RIZZ CAT,9xbcYJvQ8vabHWjwHDyGcqxaeC8mEUK3d3GhrtZ4EFyx,472.4%,472.4%,472.4%,136,10.4K,39.2K,43.04,131,3min,22.83%,0.51%,-,https://t.me/RizzCat_CTO,2024-11-20 01:45:37,32K,+466.8%
29,#1 Tiktok Dance,GohLoaL5Ubjhkx4RDNeFaaSNcraAfGLqHbcURp7cpump,302.7%,302.7%,302.7%,130,22.3K,28.2K,18.23,83,1min,30.77%,0%,-,,2024-11-20 01:45:37,19.8K,+283%
30,litterally predicted everything,AVf9t5r2Z5b28W2xCMcPMqY18dE7QrSv8rjT2FJLpump,477.5%,477.5%,477.5%,121,39.6K,42.9K,49.86,62,1min,36.57%,0%,-,,2024-11-20 01:45:37,37.9K,+510.3%
31,Double Chunk Chocolate Cookie,HChgUFrZ9MLhQM6G9JTSeaWR1CQ7YSAbxqVP4Rfcpump,1020.1%,1020.1%,1020.1%,145,40.9K,75.9K,52.81,89,2min,46.78%,0%,-,,2024-11-20 01:45:37,50.8K,+749.9%
32,GREEN FN,GAMdHUDprQCmoJHhUPx9MTygGD6vhwwq4xP9ipTqpump,174.3%,174.3%,174.3%,133,36.2K,18.6K,29.46,41,1min,31.29%,0%,-,,2024-11-20 01:45:37,20.5K,+302.4%
33,TikTok Shop,K31UgUMeSYUy8i3qTRm16HAziMJkcTTxgYPQb9upump,244.7%,244.7%,244.7%,122,11.8K,23K,17.35,79,2min,29.78%,0%,-,,2024-11-20 01:45:37,16.6K,+249.4%
34,thru the thick of it,GaH85ome55JihuaZ75x9p8jyb3kow1AMYttbcQfspump,711%,711%,711%,145,35.4K,54.9K,22.24,88,1min,34.98%,3.26%,-,,2024-11-20 01:45:37,54.4K,+804.1%
35,No chill guy,77j8zLVpaEgQuEGbKap2pksLDWy1CJQJqfhthNC6pump,220.9%,980.8%,980.8%,196,33.9K,79.1K,70.44,94,10min,34.52%,0%,-,,2024-11-20 01:45:37,49.4K,+209.2%
36,its just alkahal,CGCecp2N7VPcD35S4bci66XGgxWxeMXShpkBkdyWpump,355.1%,355.1%,355.1%,130,35.7K,30.9K,32.53,62,1min,39.9%,3.8%,-,,2024-11-20 01:45:37,29.2K,+430.1%
37,Humble King,Aw96etAPEvT7tw6AMxrgtbrWmJ3wFqaURTfjjna9pump,639.2%,639.2%,639.2%,134,36.3K,51.7K,45.13,84,59s,37.02%,0%,-,,2024-11-20 01:45:37,40.4K,+577.1%
38,#1 HOTTEST TIKTOKER,ETZz2oV6i1Q5HK9MnRZzXifK4Z3Su3Gjr9oQvgPXpump,192.1%,192.1%,192.1%,169,33.8K,20.1K,37.1,78,1min,27.36%,0%,-,,2024-11-20 01:45:37,27K,+391.2%
39,green fn,33fAiLj53j1zEKSnsSL6XA5UppyaVL2g3YtJQnndpump,377.4%,377.4%,377.4%,116,28.3K,33.4K,34.55,58,2min,39.02%,0.57% Buy More,-,,2024-11-20 01:45:37,23.8K,+340.3%
40,NPC Miles Morales,7qgKS5ApPtjBxQJhnbwTmjL4Qp1DHTaTYDPXSaZKpump,91.63%,91.63%,91.63%,141,30.4K,13.4K,28.72,36,1min,25.34%,0%,-,,2024-11-20 01:45:37,17.7K,+253.3%
41,#1 Nigga On TikTok,5AK72VEhNj6U9FHSwvZmzFYviG5ErLegeJCshiJ4pump,198.4%,198.4%,198.4%,114,22.6K,20.2K,23.99,63,1min,28.09%,0%,-,,2024-11-20 01:45:37,13.8K,+203.2%
42,Type Shit,Bg3qWngAHe4UVna6U1KTMpb5gP3SjtWJQFd2jzPEpump,855.3%,855.3%,855.3%,155,41.3K,66.9K,24.77,100,1min,40.39%,1.89% Sell Part,-,,2024-11-20 01:45:37,48.6K,+693.2%
43,English or Spanish?,cavh28He58Ev7ZnuKtNoGCFMHLDyc2Y9NAf8Waapump,297.7%,297.7%,297.7%,125,31.1K,28.7K,20.02,68,2min,30.56%,4.88% Sell Part,-,,2024-11-20 01:45:37,18.4K,+255.4%
44,Just A Family Guy,5RSGEi4rkoEuFJCv1xZHjDWoWJz6R7y8hVcqW5Hhpump,782.4%,782.4%,782.4%,108,40.8K,59.8K,21.18,68,1min,57.13%,0%,-,,2024-11-20 01:45:37,52.7K,+777.6%
45,Most Viral Food,6VMwuCr5iPbZQMU4UHkXu1HWYiPhxj6LoUvxa7Uzpump,609.7%,609.7%,609.7%,111,36.7K,49.6K,47.32,52,1min,44.71%,0%,-,,2024-11-20 01:45:37,45K,+643.4%
