row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
0,ELVIS wif LEVIS,D4APt7RDp6qrb6TLASnMDK9eBY1WcKmcGyDYa5kbpump,467.8%,467.8%,467.8%,133,9.5K,36.2K,42.66,127,51s,42.18%,3.46%,-,https://t.me/EVLISsolana,2024-11-16 05:45:15,29.8K,+466.9%
1,CODEXX102,3pShmFTeV4wfxVhLKYZ3PyhfYAfkdbjd5h9oaZ8Kpump,446%,446%,446%,100,38.8K,53.9K,42.86,52,1min,26.19%,0%,-,,2024-11-16 05:45:15,44K,+446%
2,TOTO is NUTS,9jnMPPnbkJwDUYafhGZ4LVhxwAYP7c6tBnQaKNjxpump,526.9%,526.9%,526.9%,109,10.5K,40K,44.62,189,1min,10.42%,0.05%,-,https://t.me/totonutsol,2024-11-16 05:45:15,33.9K,+531.2%
3,BITING FIXATION,6efKfftLugYXqahtB5KndBjV7Sb5bWcawJdWcWJUpump,623.3%,623.3%,623.3%,124,45.1K,46.3K,18.07,71,34s,36.95%,0%,-,,2024-11-16 05:45:15,38.4K,+599.4%
4,LOGAN VS MIKE,9AWN5MFHwAbquUtUyw6VBENehB4vK87Fnhw8mAHwpump,386.5%,386.5%,386.5%,110,34.6K,46K,47.5,61,1min,24.29%,0%,-,,2024-11-16 05:45:15,30.8K,+325.5%
5,EAR STAYS ON,FxmS7We6357kD1rGopRSdABKr2HqxrrFhNhwfLRcpump,541%,541%,541%,139,31K,39.7K,19.66,70,1min,33.34%,0%,-,,2024-11-16 05:45:15,28.3K,+457.6%
6,Airdog,CWyL1RNAH1SjzrR6jY7QgzJ1KXb42V2FL8mWJxZKpump,513.4%,513.4%,513.4%,130,10.1K,39.1K,44.25,189,1min,9.17%,0%,-,https://t.me/AlDogsToken,2024-11-16 05:45:15,31.6K,+496.1%
7,Equinox Studios,vN41VHqtuHA7H92zhNjTiuDUGXMHZ2nRqvs7W23pump,697.1%,697.1%,697.1%,109,12.6K,51K,55.8,58,1min,34.03%,3.46%,-,https://t.me/EquinoxOnSolana,2024-11-16 05:45:15,44.6K,+697.1%
8,Jake Paul,4iFynQbUz32ww2iwrrHkoc8QCREqr2ddHsx14CLGpump,197.1%,197.1%,197.1%,109,12.8K,19K,22.17,53,4min,32.85%,3.46%,-,,2024-11-16 05:45:15,13.1K,+205.6%
9,Solana's Prediction Market,FnenpuMQATdPf992B9pHhHtUGEv8DZWpZwtbDYdJpump,347.8%,347.8%,347.8%,119,24.6K,32.2K,42.91,40,2min,40.62%,15%,-,https://t.me/predifysol,2024-11-16 05:45:15,26.8K,+372.1%
10,86,J8qmugkg9dWTxtKU6QjbUpcNrcPvsgKoxsN9yrzTpump,361.8%,361.8%,361.8%,153,33.5K,30.5K,23.01,54,2min,27.65%,0%,-,,2024-11-16 05:45:15,18.9K,+286.6%
11,TIGER THE TYSON,J4AMgHrSEtZjWKzgknQv5sagtVmMWYt2b2J5X7RZpump,511.7%,511.7%,511.7%,200,11K,39.1K,44.32,194,1min,10.53%,0.02%,-,,2024-11-16 05:45:15,31.5K,+493.2%
12,Sergio The Sea Lion,9oExnXzX4nG4LWXqY7VrvEZnraSMgLyBQFZys616pump,299.3%,299.3%,299.3%,112,19.7K,25.4K,25.16,71,55s,32.58%,0%,-,,2024-11-16 05:45:15,22K,+345%
13,WHO NEEDS SLEEP,HZzTKDg9QzPxo3qYcijAKv4N7Ws9vWoJJ1Sy48uypump,262.9%,262.9%,262.9%,139,20.1K,23.4K,22.06,40,3min,27.79%,0%,-,,2024-11-16 05:45:15,14.9K,+230.3%
14,MUSK VS ZUCK,2QCEVA7u55vWGSBssUZvmhze5bfw6zDFe8Fy2BoLpump,307.8%,307.8%,307.8%,111,45.5K,28.5K,41.43,43,1min,31.05%,0%,-,,2024-11-16 05:45:15,18.8K,+268.3%
15,WHO NEEDS SLEEP,HZzTKDg9QzPxo3qYcijAKv4N7Ws9vWoJJ1Sy48uypump,211.2%,1056%,1056%,574,54.8K,74.6K,65.62,151,8min,26.86%,0%,-,,2024-11-16 05:45:15,48.4K,+202%
16,𝙊𝙧𝙗𝙞𝙩𝙖𝙡,Dkq6QSfvC3dmTLwLKoWxobbQN3QcYvhBV8XmZ6jmpump,282.8%,282.8%,282.8%,143,29.5K,24.8K,28.41,74,1min,34.16%,5.11%,-,https://t.me/+eM5cMVrMCz02NTVh,2024-11-16 05:45:15,16.8K,+259%
17,Fortnite Henchmen,AoqMHpq9WjqkrsvKQAAXh8dYRdfhnT5z5CWADdMCpump,706.4%,706.4%,706.4%,124,68.6K,52K,66.44,74,1min,37.91%,4.78%,-,,2024-11-16 05:45:15,52.2K,+808.2%
18,Seraph of the end,4PBrdomSxc5sKKeuKrUPUCFwZgqKTo9haGHQ6WJ2pump,217%,217%,217%,110,16.1K,20.2K,24.21,37,2min,31.69%,3.46%,-,,2024-11-16 05:45:15,13.6K,+212.6%
19,Mini Squishy,5pibh7K2RMZWztLG6UFjQJVVdmPuuYTGSMemsm2Mpump,460.2%,460.2%,460.2%,105,39K,52.9K,60.09,52,2min,24.47%,0%,-,,2024-11-16 05:45:15,43.2K,+457.1%
20,Monster Andy,jZcZo2HejovbKmy4a79YioC68qweVUK9j7CNLA3pump,538.6%,538.6%,538.6%,101,10.7K,39.4K,45.84,48,3min,26.53%,0%,-,https://t.me/andercoinsol,2024-11-16 05:45:15,33.2K,+538.6%
21,Disney Newborn Gorilla Samson,GkbaxrYP21ShUgkfj1caYYLdoLy74sRhzLHtwyStpump,187%,187%,187%,132,39.4K,18.8K,24.56,57,1min,29.78%,0%,-,,2024-11-16 05:45:15,13.7K,+208.7%
22,Seraph of the end,4PBrdomSxc5sKKeuKrUPUCFwZgqKTo9haGHQ6WJ2pump,201.3%,916.6%,916.6%,231,28.2K,64.8K,58.49,161,8min,29.61%,3.46%,-,,2024-11-16 05:45:15,42.8K,+211.9%
23,Bitcoin Mascot,CKkbnTjgeFYyg9nxKU9XD6M4g6imPkjurQKhB6H5pump,305.4%,305.4%,305.4%,125,20.4K,27K,28.49,65,1min,27.24%,0%,-,,2024-11-16 05:45:15,18.6K,+279%
24,TARD,3LrNkojh1RKqZSXebZfXnEFgZhtaFujxi9h3Qppqpump,474.7%,474.7%,474.7%,145,9.8K,36.5K,42.71,140,59s,31.92%,2.86%,-,https://t.me/+wWE3saF-HWs3NDMy,2024-11-16 05:45:15,29.7K,+467.9%
25,peanut patron saint of magnum,B5c8djQu38cwBHFu4yD7mDyZKwofV8oPnTCR7ctWpump,317.4%,317.4%,317.4%,109,22K,28.2K,33.69,39,1min,47.84%,9.75%,-,,2024-11-16 05:45:15,21.6K,+319.3%
